Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;
6. КУЛЬТУРА, ОТДЫХ И ТУРИЗМ;;;;;;;;;;;
ЧИСЛО СПОРТИВНЫХ СООРУЖЕНИЙ;;;;;;;;;;;
6.2.2. Плоскостные спортивные сооружения (площадки и поля);;;;;;;;;;;
;2005;2010;2012;2013;2014;2015;2016;2017;;;
Российская Федерация;113127;129637;138259;140650;145570;148194;154553;147472;;;
Центральный    федеральный округ;27942;32516;36589;37743;38935;40280;44786;41032;;;
Белгородская область;2786;3088;3208;3253;3266;3300;3348;3219;;;
Брянская область;1458;1571;1570;1557;1550;1517;1506;1472;;;
Владимирская область;1286;1381;1439;1511;1539;1554;1709;1754;;;
Воронежская область;3127;3471;3739;3983;4117;4171;4395;4366;;;
Ивановская область;602;667;931;972;1005;1030;1036;1044;;;
Калужская область;1021;1032;1047;1048;1056;1066;1112;996;;;
Костромская область;660;684;681;640;641;653;655;660;;;
Курская область;1156;1189;1146;1181;1187;1159;1159;1142;;;
Липецкая область;1687;1734;1797;1865;1908;1941;1972;1988;;;
Московская область;2185;3079;3635;3841;4212;4901;5542;1971;;;
Орловская область;927;1026;1052;1050;1067;1071;1087;1061;;;
Рязанская область;1367;1333;1296;1304;1334;1359;1346;1318;;;
Смоленская область;1093;1173;1180;1187;1209;1207;1217;1217;;;
Тамбовская область;1120;2223;2601;2687;2764;2803;2823;2844;;;
Тверская область;1243;1669;1808;1827;1880;1947;2024;2037;;;
Тульская область;1017;1064;1085;1186;1208;1234;1260;1288;;;
Ярославская область;963;1048;1042;1067;1096;1128;1184;1221;;;
г. Москва;4244;5084;7332;7584;7896;8239;11411;11434;;;
Северо-Западный    федеральный округ;7360;8318;8640;8882;9149;9622;10353;10644;;;
Республика Карелия;514;547;541;573;597;624;632;604;;;
Республика Коми;585;755;765;774;785;800;853;869;;;
Архангельская область;726;696;732;762;832;880;1037;1108;;;
в том числе:;;;;;;;;;;;
Ненецкий автономный округ;20;-;-;31;31;35;35;36;;;
Архангельская область      без автономного округа;706;696;732;731;801;845;1002;1072;;;
Вологодская область;510;707;765;771;778;806;829;847;;;
Калинингpадская область;929;1015;1001;1013;1033;1058;1076;1088;;;
Ленинградская область;684;827;940;1003;1083;1279;1481;1610;;;
Мурманская область;262;212;215;264;283;299;311;311;;;
Новгородская область;570;700;724;734;757;786;832;858;;;
Псковская область;735;589;589;571;583;551;537;528;;;
г. Санкт-Петербург;1845;2270;2368;2417;2418;2539;2765;2821;;;
Южный         федеральный округ;19573;14180;14962;15132;17124;17459;17438;17038;;;
Республика Адыгея;202;383;510;532;581;603;619;626;;;
Республика Калмыкия;357;360;222;211;227;288;293;302;;;
Республика Крым;;;;;1497;1577;1627;1511;;;
Краснодарский край;3964;5016;5212;5269;5347;5414;5445;5306;;;
Астраханская область;891;918;914;943;905;916;903;729;;;
Волгоградская область;1850;2085;2481;2484;2487;2503;2459;2447;;;
Ростовская область;4521;5418;5623;5693;5762;5844;5908;5915;;;
г. Севастополь;;;;;318;314;184;202;;;
Северо-Кавказский    федеральный округ;7788;6807;7067;7275;7328;7406;7586;7646;;;
Республика Дагестан;2229;1844;1959;2027;2032;2048;2113;2122;;;
Республика Ингушетия;144;138;148;158;158;159;173;183;;;
Кабардино-Балкарская  Республика;498;686;771;922;929;935;939;939;;;
Карачаево-Черкесская    Республика;511;264;270;297;299;303;309;309;;;
Республика Северная Осетия – Алания;468;482;519;545;566;571;571;556;;;
Чеченская Республика;1098;694;815;714;693;695;724;745;;;
Ставропольский край;2840;2699;2585;2612;2651;2695;2757;2792;;;
Приволжский федеральный округ;29221;30955;32322;32334;33120;33659;34430;32461;;;
Республика Башкортостан;5104;5579;5975;6059;6257;6345;6387;6405;;;
Республика Марий Эл;947;954;1002;1002;1008;1003;1003;999;;;
Республика Мордовия;1571;1234;1255;1257;1272;1268;1267;1212;;;
Республика Татарстан;4246;4661;4789;4802;5053;5172;5583;3861;;;
Удмуртская Республика;864;1260;1382;1335;1337;1369;1375;1367;;;
Чувашская Республика;2068;2210;2225;2231;2245;2253;2283;2308;;;
Пермский край;2305;2204;2216;2158;2184;2329;2337;2208;;;
Кировская область;978;1003;1019;1063;1087;1087;1103;1100;;;
Нижегородская область;2453;2530;2687;2717;2790;2830;2922;2938;;;
Оренбургская область;2286;2490;2464;2488;2519;2535;2587;2637;;;
Пензенская область;1989;2060;2397;2217;2227;2235;2267;2285;;;
Самарская область;1927;1971;2054;2154;2253;2313;2357;2404;;;
Саратовская область;1515;1614;1623;1613;1615;1622;1644;1684;;;
Ульяновская область;968;1185;1234;1238;1273;1298;1315;1053;;;
Уральский     федеральный округ;8663;10717;11126;11256;11502;11845;11987;11730;;;
Курганская область;697;1042;1191;1244;1267;1289;1352;1304;;;
Свердловская область;3145;4062;4143;4080;4100;4151;4110;3895;;;
Тюменская область;1875;2313;2401;2531;2668;2830;2992;3074;;;
в том числе:;;;;;;;;;;;
Ханты-Мансийский   автономный округ – Югра;560;632;667;687;779;881;936;978;;;
Ямало-Ненецкий автономный округ;129;174;200;226;228;237;259;270;;;
Тюменская область    без автономных округов;1186;1507;1534;1618;1661;1712;1797;1826;;;
Челябинская область;2946;3300;3391;3401;3467;3575;3533;3457;;;
Сибирский     федеральный округ;15597;20264;21546;21899;22153;21487;21692;20672;;;
Республика Алтай;120;164;159;162;164;175;175;184;;;
Республика Бурятия;704;827;914;958;980;992;1005;1021;;;
Республика Тыва;355;365;473;473;486;466;473;420;;;
Республика Хакасия;420;480;501;511;564;571;575;569;;;
Алтайский край;2778;3352;3450;3428;3444;2919;2897;2888;;;
Забайкальский край;1430;1774;1811;1925;1800;1509;1428;1163;;;
Красноярский край;2364;2615;2705;2731;2759;2799;2883;2458;;;
Иркутская область;1493;1652;1778;1845;1913;1913;1921;1854;;;
Кемеровская область;1618;3829;4292;4339;4422;4457;4553;4438;;;
Новосибирская область;1709;2097;2221;2243;2261;2262;2247;2185;;;
Омская область;2143;2517;2580;2596;2645;2694;2736;2744;;;
Томская область;463;592;662;688;715;730;799;748;;;
Дальневосточный   федеральный округ;4771;5880;6007;6129;6259;6436;6281;6249;;;
Республика Саха (Якутия);471;499;521;535;542;548;555;556;;;
Камчатский край;160;270;272;277;287;283;271;272;;;
Приморский край;1529;1849;1910;1935;1941;1953;1783;1742;;;
Хабаровский край;876;1314;1337;1428;1451;1589;1614;1642;;;
Амурская область;1092;1245;1214;1178;1219;1212;1214;1218;;;
Магаданская область;115;104;106;120;124;133;143;147;;;
Сахалинская область;355;390;384;380;416;438;441;411;;;
