Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;
6. КУЛЬТУРА, ОТДЫХ И ТУРИЗМ;;;;;;;;;;;;
6.4. ВЫПУСК ГАЗЕТ на 1000 человек населения1);;;;;;;;;;;;
"(разовый тираж; экземпляров)";;;;;;;;;;;;
;2005;2010;2011;2012;2013;2014;2015;2016;2017;;;
Российская Федерация;1234;1446;1621;1665;1804;1692;1387;1481;1196;;;
Центральный федеральный округ;2248;2414;2587;2595;2878;2748;2039;2240;1950;;;
Белгородская область;673;1005;1419;1907;2025;3113;4410;4114;2858;;;
Брянская область;809;388;425;393;491;722;549;660;558;;;
Владимирская область;199;249;618;659;702;819;799;986;764;;;
Воронежская область;257;1217;1102;1281;1143;1137;1070;1115;858;;;
Ивановская область;727;420;755;819;694;770;606;547;1336;;;
Калужская область;631;769;752;876;808;911;1045;1308;971;;;
Костромская область;500;5252;790;1437;1324;1098;728;764;530;;;
Курская область;964;1368;1428;1189;1258;1415;1408;1390;1441;;;
Липецкая область;951;508;749;748;885;949;799;972;587;;;
Московская область;530;745;765;843;869;690;842;683;1142;;;
Орловская область;181;564;733;839;763;813;707;780;491;;;
Рязанская область;317;517;514;583;599;565;554;491;539;;;
Смоленская область;1775;3523;4924;6116;6675;6224;5522;4856;4575;;;
Тамбовская область;360;362;275;338;365;372;784;433;418;;;
Тверская область;252;504;799;764;506;581;601;638;463;;;
Тульская область;269;597;594;815;898;1295;584;681;623;;;
Ярославская область;363;617;880;985;1978;1411;1041;1141;748;;;
г. Москва;6547;5929;6387;5945;6675;6176;3864;4606;3748;;;
Северо-Западный    федеральный округ;1629;2651;2967;3068;3367;3134;2334;2368;1920;;;
Республика Карелия;618;1011;1288;2269;2440;2728;2285;2296;2191;;;
Республика Коми;668;827;903;1036;1265;1156;1277;1082;1172;;;
Архангельская область;1670;2159;2352;2173;2718;2423;2222;2174;2208;;;
в том числе:;;;;;;;;;;;;
Ненецкий автономный округ;…;349;308;493;468;674;518;807;762;;;
Архангельская область      без автономного округа;;;;;2802;2489;2287;2227;2265;;;
Вологодская область;1416;1074;1236;1477;1418;1219;1178;1508;1060;;;
Калинингpадская область;1837;987;602;923;1455;1810;1743;1532;1118;;;
Ленинградская область;274;351;428;467;394;470;455;425;405;;;
Мурманская область;782;819;784;1223;1062;1518;756;766;598;;;
Новгородская область;207;1485;1608;2069;2226;1888;1883;1949;1630;;;
Псковская область;388;1126;1065;907;1193;1104;1063;1371;1060;;;
г. Санкт-Петербург;3012;5519;6260;6148;6619;5930;4000;4043;3123;;;
Южный              федеральный округ;505;1050;1146;971;1031;876;756;750;651;;;
Республика Адыгея;274;363;597;603;538;528;491;369;378;;;
Республика Калмыкия;624;380;393;327;679;505;304;442;280;;;
Республика Крым;;;;;;4;685;666;554;;;
Краснодарский край;547;756;795;723;757;703;718;624;707;;;
Астраханская область;472;387;555;740;587;663;518;698;274;;;
Волгоградская область;457;850;912;916;1005;1109;766;956;793;;;
Ростовская область;510;1803;1969;1449;1573;1069;913;781;626;;;
г. Севастополь;;;;;;…;2500;1970;1177;;;
Северо-Кавказский        федеральный округ;636;289;320;336;327;337;282;285;228;;;
Республика Дагестан;1339;109;130;97;107;137;142;142;140;;;
Республика Ингушетия ;5;46;48;49;46;32;32;38;31;;;
Кабардино-Балкарская Республика;110;242;216;211;223;201;129;120;104;;;
Карачаево-Черкесская Республика;296;231;207;251;209;202;177;180;143;;;
Республика Северная Осетия – Алания;175;314;302;509;414;319;262;245;255;;;
Чеченская Республика ;64;50;50;67;64;49;51;51;46;;;
Ставропольский край;630;638;741;770;759;808;659;678;498;;;
Приволжский     федеральный округ;1105;1196;1447;1535;1668;1598;1519;1558;1121;;;
Республика Башкортостан;1292;1163;1389;1419;1468;1308;1183;889;826;;;
Республика Марий Эл;1228;2277;3584;3512;3673;3291;2839;3624;3662;;;
Республика Мордовия;1591;513;626;665;598;693;599;649;709;;;
Республика Татарстан;1634;1421;1663;1547;1980;1867;1574;1196;1054;;;
Удмуртская Республика;390;786;661;962;1303;1497;1430;1447;1029;;;
Чувашская Республика;981;1103;1380;1278;914;946;1761;1644;792;;;
Пермский край;1123;1287;1888;2250;1550;1465;1519;2420;1131;;;
Кировская область;283;1242;1618;1643;1611;1639;1361;1342;1004;;;
Нижегородская область;1408;2216;2364;2623;3886;3497;3190;3436;2203;;;
Оренбургская область;431;510;616;782;727;892;922;581;442;;;
Пензенская область;457;1025;1563;1622;1518;1281;1086;857;1007;;;
Самарская область;1585;737;854;908;1078;1096;1131;1238;2481;;;
Саратовская область;894;1173;1271;1362;1154;1277;1324;1319;2544;;;
Ульяновская область;689;666;936;915;853;819;800;1480;1086;;;
Уральский       федеральный округ;730;749;910;1035;1011;1099;964;1273;828;;;
Курганская область;252;479;495;553;446;579;525;477;470;;;
Свердловская область;381;630;800;898;884;794;712;1407;656;;;
Тюменская область;858;797;720;718;680;675;606;684;728;;;
в том числе:;;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;…;586;518;683;456;503;333;485;508;;;
Ямало-Ненецкий автономный округ;…;182;210;182;368;165;146;164;310;;;
Тюменская область    без автономных округов;;;;;1056;1062;1085;1095;1124;;;
Челябинская область;1174;920;1341;1647;1645;2038;1754;1915;1232;;;
Сибирский        федеральный округ;479;640;772;861;886;796;722;791;635;;;
Республика Алтай;158;146;134;324;466;557;325;582;525;;;
Республика Бурятия;186;361;444;570;711;571;594;609;464;;;
Республика Тыва;23;247;240;197;234;139;223;161;205;;;
Республика Хакасия;308;522;621;744;769;590;559;532;501;;;
Алтайский край;920;654;858;826;791;681;661;667;704;;;
Забайкальский край;292;271;287;379;430;406;409;365;355;;;
Красноярский край;238;578;690;642;857;1007;712;1002;629;;;
Иркутская область;754;739;744;966;932;765;748;1057;663;;;
Кемеровская область;431;496;848;804;894;782;673;761;620;;;
Новосибирская область;300;906;1085;1195;1257;1035;889;809;697;;;
Омская область;719;857;994;1267;940;739;835;648;632;;;
Томская область;308;759;613;952;965;1029;1060;1153;975;;;
Дальневосточный    федеральный округ;664;531;583;734;728;840;733;702;597;;;
Республика Саха (Якутия);138;370;469;564;608;549;431;424;374;;;
Камчатский край;517;1451;1633;1624;1720;1852;1718;1571;1428;;;
Приморский край;708;735;712;955;967;1213;1086;919;822;;;
Хабаровский край;376;320;468;666;510;683;477;586;440;;;
Амурская область;2069;345;336;323;562;526;624;704;485;;;
Магаданская область;575;492;490;347;388;475;441;353;428;;;
Сахалинская область;312;495;537;823;545;579;452;410;454;;;
Еврейская автономная область;…;180;225;259;312;347;350;401;208;;;
Чукотский автономный округ;…;223;195;193;186;162;137;134;125;;;
??????;;;;;;;;;;;;
1) Расчет осуществлен на основе данных филиала «Российская книжная палата» ФГУП ИТАР-ТАСС, ТАСС.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
