;Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
;13. ПРОМЫШЛЕННОЕ ПРОИЗВОДСТВО;;;;;;;;;
13.1.;Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности ;;;;;;;;;
13.1.1.;«Добыча полезных ископаемых» в в соответствии с ОКВЭД;;;;;;;;;
13.1.2.;«Добыча полезных ископаемых» в  в соответствии с ОКВЭД2;;;;;;;;;
13.1.3.;«Обрабатывающие производства» в в соответствии с ОКВЭД;;;;;;;;;
13.1.4.;«Обрабатывающие производства» в  в соответствии с ОКВЭД2;;;;;;;;;
13.1.5.;«Производство и распределение электроэнергии, газа и воды» в соответствии с ОКВЭД;;;;;;;;;
13.1.6.;"«Обеспечение электрической энергией, газом и паром; кондиционирование воздуха» в соответствии с ОКВЭД2";;;;;;;;;
13.1.7.;"«Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений» в соответствии с ОКВЭД2";;;;;;;;;
13.2.;Индексы промышленного производства;;;;;;;;;
13.2.1.;В соответствии с ОКВЭД;;;;;;;;;
13.2.2.;В соответствии с ОКВЭД2;;;;;;;;;
13.3.;Индексы производства по виду экономической деятельности «Добыча полезных ископаемых»;;;;;;;;;
13.3.1.;В  соответствии с ОКВЭД;;;;;;;;;
13.3.2.;В соответствии с ОКВЭД2;;;;;;;;;
13.4.;Индексы производства по виду экономической деятельности «Обрабатывающие производства»;;;;;;;;;
13.4.1.;В соответствии с ОКВЭД;;;;;;;;;
13.4.2.;В соответствии с ОКВЭД2;;;;;;;;;
13.5.;Индексы производства по виду экономической деятельности  «Производство и распределение электроэнергии, газа и воды» в  соответствии с ОКВЭД;;;;;;;;;
13.6.;"Индексы производства по виду экономической деятельности  «Обеспечение электрической энергией, газом и паром; кондиционирование воздуха» в соответствии с ОКВЭД2";;;;;;;;;
13.7.;"Индексы производства по виду экономической деятельности «Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений» в соответствии с ОКВЭД2";;;;;;;;;
13.8.;Мощность электростанций;;;;;;;;;
13.9.;Производство электроэнергии;;;;;;;;;
