;Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
;17. ТРАНСПОРТ;;;;;;;;;
17.1.;Отправление грузов железнодорожным транспортом общего пользования;;;;;;;;;
17.2.;Отправление  пассажиров железнодорожным транспортом общего пользования;;;;;;;;;
17.3.;Плотность железнодорожных путей общего пользования;;;;;;;;;
17.4.;Перевозки грузов автомобильным транспортом организаций всех видов деятельности  ;;;;;;;;;
17.5.;Грузооборот автомобильного транспорта организаций всех видов деятельности;;;;;;;;;
17.6.;Перевозки пассажиров автобусами общего пользования;;;;;;;;;
17.7.;Пассажирооборот автобусов общего пользования ;;;;;;;;;
17.8.;Удельный вес автомобильных дорог с твердым покрытием в общей протяженности автомобильных дорог общего пользования;;;;;;;;;
17.9.;Удельный вес автомобильных дорог с усовершенствованным покрытием в протяженности автомобильных дорог с твердым покрытием общего пользования;;;;;;;;;
17.10.;Плотность автомобильных дорог общего пользования с твердым покрытием  ;;;;;;;;;
17.11.;Число автобусов общего пользования на 100 000 человек населения  ;;;;;;;;;
17.12.;Число дорожно-транспортных происшествий на 100 000 человек населения;;;;;;;;;
17.13.;Число лиц, погибших в дорожно-транспортных происшествиях на 100 000 человек населения;;;;;;;;;
