;Социально-экономические показатели по субъектам Российской Федерации
;19. НАУКА И ИННОВАЦИИ
19.1.;Организации, выполнявшие научные исследования и разработки
19.2.;Численность персонала, занятого научными исследованиями и разработками
19.3.;Численность персонала, занятого научными исследованиями и разработками, по категориям  
19.3.1.;Исследователи
19.3.2.;Техники
19.3.3.;Вспомогательный персонал
19.3.4.;Прочие
19.4.;Численность исследователей с учеными степенями
19.4.1.;Всего
19.4.2.;С ученой степенью доктора наук
19.4.3.;С ученой степенью кандидата наук
19.5.;Внутренние затраты на научные исследования и разработки
19.6.;Внутренние текущие затраты на научные исследования и разработки по видам затрат
19.6.1.; Всего
19.6.2.;Оплата труда 
19.6.3.;Страховые взносы на  ОПС, ОМС, ОСС
19.6.4.;Приобретение оборудования 
19.6.5.;Другие материальные затраты
19.6.6.;Прочие текущие затраты
19.7.;Капитальные  затраты на научные исследования и разработки
19.8.;Внутренние текущие затраты на научные исследования и разработки по видам работ
19.8.1.;Всего
19.8.2.;Фундаментальные исследования
19.8.3.;Прикладные исследования
19.8.4.; Разработки
19.9.;Организации, ведущие подготовку аспирантов
19.9.1.;Число организаций
19.9.2.;Численность аспирантов
19.10.;Организации, ведущие подготовку докторантов
19.10.1.;Число организаций
19.10.2.;Численность докторантов
19.11.;Поступление патентных заявок и выдача патентов в России
19.11.1.;Подано патентных заявок на изобретения
19.11.2.;Подано патентных заявок на полезные модели
19.11.3.;Выдано патентов на изобретения
19.11.4.;Выдано патентов на полезные модели
19.12.;Разработанные передовые производственные технологии
19.13.;Используемые передовые производственные технологии
19.14.;Инновационная активность организации
19.14.1.;Удельный вес организаций, осуществлявших технологические, маркетинговые и организационные инновации, в общем числе обследованных организаций
19.14.2.;Удельный вес организаций, осуществлявших технологические инновации, в общем числе обследованных организаций
19.15.;Затраты на технологические инновации
19.15.1.;Всего
19.15.2.;В процентах от общего объема отгруженных товаров, выполненных работ, услуг
19.16.;Объем инновационных товаров, работ, услуг
19.16.1.;Всего
19.16.2.;В процентах от общего объема отгруженных товаров, выполненных работ, услуг 
