;Социально-экономические показатели по субъектам Российской Федерации;;;;;
  ;9. ВАЛОВОЙ РЕГИОНАЛЬНЫЙ ПРОДУКТ;;;;;
9.1.;Валовой региональный продукт  ;;;;;
9.2.;Валовой региональный продукт на душу населения  ;;;;;
9.3.;Индекс физического объема валового регионального продукта  ;;;;;
9.4.;Фактическое конечное потребление домашних хозяйств на территории субъектов Российской Федерации;;;;;
9.4.1.;Всего;;;;;
9.4.2.;Расходы домашних хозяйств;;;;;
9.4.3.;Социальные трансферты в натуральной форме;;;;;
9.5.;Фактическое конечное потребление домашних хозяйств на душу населения на территории субъектов Российской Федерации  ;;;;;
9.6.;Валовое накопление основного капитала в 2005-2015 гг.;;;;;
