Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
 1. НАСЕЛЕНИЕ;;;;;;;;;;;;;;;;;;;
1.17. ОБЩИЕ КОЭФФИЦИЕНТЫ БРАЧНОСТИ на 1000 человек населения;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;6,2;6,9;7,1;7,5;6,8;7,4;7,8;8,8;8,3;8,4;8,5;9,2;8,5;8,5;8,4;7,9;6,7;7,1;6,1
Центральный       федеральный округ;6,4;7,0;7,1;7,6;6,8;7,4;7,5;8,6;7,9;8,2;8,1;8,8;8,0;8,2;8,3;8,0;6,7;7,2;6,1
Белгородская область;6,0;7,1;7,2;8,1;6,5;8,0;8,2;9,8;8,1;8,4;8,5;9,8;8,1;8,7;8,5;8,3;6,1;7,3;6,7
Брянская область;5,7;7,0;7,0;7,4;6,5;7,4;7,8;9,3;8,1;8,1;8,0;9,3;7,9;8,0;8,3;7,9;6,2;7,1;6,0
Владимирская область;6,4;7,3;7,2;7,3;6,6;7,2;7,5;8,4;8,0;8,1;8,2;8,9;8,1;8,1;8,2;7,6;6,4;6,6;5,9
Воронежская область;6,0;7,0;7,0;7,9;6,3;7,0;7,3;8,4;7,3;7,8;8,0;9,0;7,6;8,1;8,0;7,8;6,2;7,3;6,2
Ивановская область;5,7;6,0;6,3;6,5;6,1;6,5;7,4;8,4;7,7;7,5;7,4;8,0;7,8;8,0;7,9;7,4;6,4;6,5;5,6
Калужская область;6,1;6,8;7,2;7,6;6,7;7,4;7,6;8,9;8,8;8,5;8,2;8,6;7,9;8,3;8,4;8,2;6,9;7,5;6,5
Костромская область;5,7;7,5;7,4;7,4;6,8;7,8;8,2;9,2;8,8;8,8;9,1;9,9;9,0;8,8;8,4;7,8;6,4;6,8;5,6
Курская область;6,2;7,0;6,9;7,9;6,5;7,4;7,8;9,5;8,0;8,3;8,3;9,4;8,2;8,4;8,4;8,0;6,1;6,9;6,3
Липецкая область;6,3;7,2;7,3;8,0;7,3;8,1;8,2;9,2;8,3;8,2;8,2;9,2;8,2;8,1;7,9;7,5;6,2;7,1;5,9
Московская область;6,9;7,4;7,6;8,2;7,4;7,9;7,9;8,9;8,1;8,5;8,2;8,8;8,4;8,6;9,0;8,7;7,5;7,8;6,5
Орловская область;6,0;7,0;7,4;7,9;6,4;7,7;7,8;9,4;8,0;8,3;8,3;9,3;7,7;8,3;8,0;7,5;6,0;7,2;6,1
Рязанская область;5,9;6,7;7,0;7,2;6,5;7,2;7,4;8,6;7,8;7,9;7,9;8,7;7,7;8,1;8,1;7,7;6,4;7,2;5,9
Смоленская область;6,1;6,9;7,1;7,4;6,7;7,4;7,6;9,0;8,0;8,4;8,5;9,1;8,2;8,4;8,1;7,6;6,2;6,8;5,5
Тамбовская область;6,5;7,1;7,1;7,5;6,7;6,9;6,8;7,8;7,2;7,4;7,6;7,9;7,1;7,4;7,2;6,9;5,8;6,2;5,5
Тверская область;6,1;6,9;7,1;7,6;6,9;7,3;7,8;9,3;8,7;8,8;8,7;9,2;8,3;8,2;8,0;7,5;6,7;7,1;5,9
Тульская область;6,1;6,8;6,8;7,4;6,5;7,1;7,2;8,5;7,9;7,9;7,7;8,5;7,5;7,7;7,7;7,3;6,3;7,0;5,7
Ярославская область;6,1;6,6;6,9;7,1;6,9;7,6;7,8;8,6;8,3;8,4;8,3;9,3;8,8;8,7;8,3;7,9;6,6;6,9;5,8
г. Москва;6,8;7,1;6,8;7,3;6,8;7,3;7,2;7,9;7,5;8,1;8,0;8,5;7,8;8,0;8,3;8,1;6,9;7,2;6,0
Северо-Западный     федеральный округ;6,2;7,0;7,1;7,6;7,0;7,7;7,9;8,8;8,7;8,9;9,0;9,7;9,3;9,2;9,2;8,8;7,6;7,9;6,6
Республика Карелия;6,0;6,4;6,8;7,0;6,8;7,3;8,0;8,8;9,0;8,7;8,8;9,5;8,9;8,5;8,4;7,8;6,7;6,9;6,4
Республика Коми;5,7;7,3;7,3;7,7;6,2;7,6;7,9;9,0;8,3;8,9;9,0;10,5;8,8;9,2;8,7;8,1;6,4;7,0;5,6
Архангельская область;5,2;6,4;6,6;7,3;6,0;7,5;7,7;8,9;8,0;8,5;8,9;9,7;8,1;8,4;8,3;7,6;6,2;6,9;5,8
в том числе:;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;6,2;7,0;7,3;6,9;5,1;6,3;7,6;8,9;8,4;8,1;8,1;8,8;7,7;7,8;7,3;7,0;5,3;5,7;4,8
Архангельская область     без автономного округа;;;;7,3;6,0;7,5;7,7;9,0;8,0;8,5;8,9;9,8;8,1;8,4;8,3;7,7;6,3;7,0;5,8
Вологодская область;5,6;6,2;6,2;6,8;6,3;7,2;7,5;8,5;7,9;7,8;8,3;9,4;8,8;8,5;8,2;7,5;6,1;6,5;5,3
Калининградская область;6,5;7,0;6,8;7,4;7,1;8,0;8,5;9,4;9,3;8,8;9,1;9,6;9,7;9,3;9,4;8,6;7,6;7,9;7,0
Ленинградская область;5,7;6,5;6,6;7,0;6,6;6,7;6,3;7,1;6,9;6,8;6,3;6,5;6,2;6,0;6,2;5,6;5,1;5,0;4,1
Мурманская область;7,0;7,9;7,9;8,7;7,5;8,6;8,8;9,7;9,0;9,3;9,3;9,9;9,2;9,2;8,9;8,3;7,5;7,7;6,7
Новгородская область;6,0;6,6;6,9;7,1;6,7;7,6;8,0;8,8;8,6;8,7;9,0;9,9;9,3;8,8;8,7;8,2;7,4;7,3;5,3
Псковская область;5,8;6,5;6,6;7,3;6,6;7,2;7,5;8,4;7,7;8,1;8,2;9,2;8,3;8,4;7,8;7,4;6,3;6,9;5,7
г. Санкт-Петербург;6,9;7,4;7,6;8,0;7,7;8,1;8,4;9,3;9,7;10,2;10,1;10,9;10,9;10,8;11,1;10,9;9,6;9,9;8,2
Южный          федеральный округ;6,1;7,0;7,1;7,8;6,7;7,3;7,7;8,9;8,0;8,1;8,2;9,1;8,2;8,4;8,4;8,1;6,7;7,3;6,1
Республика Адыгея;6,0;6,8;6,9;7,7;6,8;6,9;7,4;8,7;8,4;7,9;7,9;8,4;7,6;7,4;6,8;6,2;5,3;5,5;4,5
Республика Калмыкия;5,7;6,7;7,1;7,6;7,4;7,1;7,6;8,3;7,8;8,5;7,7;8,2;7,5;7,1;6,6;6,5;5,1;5,1;4,8
Республика Крым;;;;;;;;;;;;;;;8,7;9,2;7,1;7,5;6,1
Краснодарский край;6,4;7,4;7,5;8,5;7,0;7,5;8,0;9,2;8,2;8,4;8,6;9,6;8,6;9,0;8,9;8,4;7,2;8,0;6,9
Астраханская область;6,7;7,4;7,5;7,8;7,2;7,7;8,1;8,8;8,5;8,4;8,7;9,1;8,6;8,5;8,2;7,4;6,6;6,6;5,6
Волгоградская область;6,1;6,6;6,7;7,0;6,4;7,0;7,3;8,3;7,5;7,5;7,7;8,3;7,9;7,7;7,5;7,0;6,0;6,5;5,2
Ростовская область;5,8;6,9;6,9;7,6;6,3;7,1;7,6;9,0;7,9;8,0;8,0;8,9;7,8;8,2;8,1;7,8;6,3;7,0;5,9
г. Севастополь;;;;;;;;;;;;;;;11,0;11,5;9,5;10,0;7,6
Северо-Кавказский      федеральный округ;6,0;6,2;6,4;7,2;6,8;6,7;7,6;8,6;8,5;8,1;8,1;8,1;7,3;7,0;6,6;6,2;5,6;5,4;4,7
Республика Дагестан;5,9;6,1;6,5;6,8;6,6;6,6;7,4;8,2;8,5;8,3;8,1;8,1;7,6;7,2;6,8;6,3;5,8;5,3;4,8
Республика Ингушетия ;9,7;4,6;4,4;4,6;5,2;4,8;7,2;8,2;8,1;9,4;8,0;6,8;5,4;5,4;4,8;4,2;3,8;4,1;3,8
Кабардино-Балкарская Республика;5,4;5,8;5,8;6,0;5,9;6,2;7,3;8,0;7,7;8,0;8,2;8,4;7,9;7,4;6,7;6,2;5,6;5,5;4,5
Карачаево-Черкесская Республика;5,4;6,4;6,9;7,8;6,3;6,6;7,5;8,0;7,5;7,1;7,5;7,7;7,1;6,7;6,2;5,9;5,2;5,2;4,6
Республика Северная Осетия - Алания;5,3;5,9;6,2;6,3;6,3;6,5;6,8;7,5;7,0;7,3;7,1;7,6;7,0;6,5;6,1;6,0;5,1;5,0;4,7
Чеченская Республика ;…;…;…;10,5;9,9;8,3;9,4;12,1;13,2;10,2;10,3;8,7;6,8;6,4;6,1;5,7;5,9;5,1;4,7
Ставропольский край;6,0;6,6;6,7;7,3;6,6;6,7;7,3;8,2;7,3;7,3;7,5;8,1;7,4;7,5;7,1;6,7;5,7;6,0;5,0
Приволжский      федеральный округ;5,8;6,5;6,7;7,1;6,4;7,1;7,4;8,6;7,9;8,0;8,3;9,1;8,4;8,4;8,2;7,6;6,3;6,7;5,9
Республика Башкортостан;6,1;6,8;7,1;7,4;6,6;7,5;7,6;8,8;8,0;8,5;8,5;9,4;8,4;8,7;8,4;7,7;6,2;6,9;6,3
Республика Марий Эл;5,3;6,1;6,6;7,4;6,1;6,9;7,4;8,9;7,6;7,6;8,0;9,4;8,1;7,9;7,8;7,4;5,4;5,9;5,2
Республика Мордовия;5,8;6,3;6,3;7,1;6,0;6,5;6,8;7,7;7,0;6,9;7,0;7,7;7,3;7,1;6,8;6,6;5,3;5,8;4,8
Республика Татарстан;5,7;6,4;6,7;7,0;6,5;7,2;7,4;8,7;7,8;7,8;8,3;9,5;8,7;8,8;8,5;7,9;6,6;6,9;6,4
Удмуртская Республика;5,2;6,3;6,4;7,1;5,7;6,7;7,2;8,7;7,7;8,1;8,6;9,6;8,4;8,3;8,3;7,5;5,7;6,4;4,6
Чувашская Республика;5,4;6,1;6,3;6,9;6,0;6,6;7,2;8,6;7,4;7,2;7,5;8,6;7,4;7,5;7,5;7,1;5,4;5,8;5,2
Пермский край;4,9;5,9;6,0;6,3;5,2;6,5;7,0;8,4;7,7;8,2;8,8;9,9;8,8;9,0;8,8;8,2;6,7;7,4;6,3
Кировская область;5,0;5,9;5,9;6,4;5,6;6,6;7,1;8,3;7,5;7,7;8,2;9,1;8,3;8,2;7,8;7,2;5,7;5,8;5,1
Нижегородская область ;5,9;6,5;6,8;7,0;6,5;7,0;7,4;8,1;7,8;7,7;7,9;8,6;8,2;8,2;8,3;7,8;6,6;7,1;6,1
Оренбургская область;6,7;7,3;7,2;7,5;7,0;7,6;8,0;9,0;8,4;8,6;8,6;9,3;8,8;8,9;8,6;7,7;6,5;6,9;6,5
Пензенская область;6,2;6,7;6,8;7,0;6,4;6,9;7,5;8,5;7,8;7,7;7,8;8,4;7,9;7,7;7,3;7,0;5,7;6,1;5,2
Самарская область;6,1;6,9;7,4;7,7;6,9;7,7;8,0;9,1;8,6;8,4;8,5;9,4;8,8;8,7;8,7;8,0;6,7;7,0;6,1
Саратовская область;5,8;6,2;6,3;6,8;6,7;7,0;7,3;8,3;7,7;7,7;8,0;8,4;7,9;7,8;7,7;7,0;6,0;6,3;5,4
Ульяновская область;6,1;6,8;6,8;7,0;6,2;6,9;7,3;8,4;7,9;8,0;8,4;8,9;8,6;8,4;8,2;7,8;6,6;6,6;5,8
Уральский       федеральный округ;6,4;7,5;7,6;7,9;7,1;8,0;8,5;9,5;8,9;9,0;9,4;10,1;9,3;9,4;9,0;8,4;7,1;7,6;6,3
Курганская область;6,7;7,3;7,3;7,7;7,2;7,9;8,4;9,5;9,0;9,0;9,0;9,4;9,2;9,1;8,4;7,4;6,3;6,7;5,6
