Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
 1. НАСЕЛЕНИЕ;;;;;;;;;;;;;;;;;;;
РАСПРЕДЕЛЕНИЕ ЧИСЛА ВЫБЫВШИХ ПО НАПРАВЛЕНИЯМ ПЕРЕДВИЖЕНИЯ;;;;;;;;;;;;;;;;;;;
1.22.1. В пределах региона;;;;;;;;;;;;;;;;;;;
(в процентах от общего числа выбывших);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;53,1;53,5;53,5;53,7;55,2;55,3;55,1;55,6;54,3;54,1;53,3;55,1;51,9;50,1;47,5;45,7;45,9;43,9;43,1
Центральный федеральный округ;46,9;47,5;47,8;47,9;49,4;49,4;48,7;48,8;48,3;47,6;45,7;48,3;43,9;40,9;37,9;34,2;33,8;31,7;31,0
Белгородская область;62,7;64,2;65,1;65,4;66,8;66,0;66,3;63,2;58,7;62,7;57,8;61,7;57,5;56,5;49,5;46,1;46,5;43,5;46,2
Брянская область;63,9;66,1;66,9;68,0;67,4;67,9;67,8;69,5;68,8;72,4;70,7;68,7;67,1;65,2;64,0;61,8;59,5;54,3;52,0
Владимирская область;47,3;49,0;46,9;45,5;44,6;46,0;45,6;46,6;47,8;45,8;46,0;47,3;44,2;44,6;44,1;41,1;44,0;41,9;40,8
Воронежская область;51,6;51,8;53,9;54,7;58,8;58,2;55,8;55,5;59,0;59,4;59,8;60,3;56,8;54,5;55,3;50,5;49,4;46,3;44,3
Ивановская область;59,5;60,0;58,5;57,5;58,7;57,6;57,9;57,6;58,0;56,4;55,5;56,3;54,5;52,4;50,8;49,9;51,7;50,7;49,1
Калужская область;37,7;38,0;36,4;36,4;38,3;38,2;37,1;38,3;37,4;37,9;33,3;36,9;34,0;37,9;34,0;27,7;30,2;27,2;27,6
Костромская область;58,7;59,2;59,5;59,9;59,3;61,0;59,4;55,0;55,8;54,2;52,7;59,9;59,3;59,5;59,2;57,0;56,5;53,7;53,2
Курская область;50,3;47,3;45,3;42,8;47,6;47,2;49,8;55,1;56,4;55,7;56,4;59,5;59,1;62,2;55,2;51,6;45,8;41,4;46,3
