Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
 1. НАСЕЛЕНИЕ;;;;;;;;;;;;;;;;;;;
РАСПРЕДЕЛЕНИЕ ЧИСЛА ВЫБЫВШИХ ПО НАПРАВЛЕНИЯМ ПЕРЕДВИЖЕНИЯ;;;;;;;;;;;;;;;;;;;
1.22.2. В другие регионы России;;;;;;;;;;;;;;;;;;;
(в процентах от общего числа выбывших);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;40,9;41,1;41,5;41,8;40,9;41,2;42,2;42,1;43,7;44,0;45,0;43,7;45,0;45,5;45,4;46,4;47,0;47,8;47,7
Центральный   федеральный округ;47,0;47,2;47,5;48,2;47,5;47,3;48,3;48,6;49,4;50,1;52,2;50,0;51,9;53,4;54,7;56,8;56,8;57,2;57,2
Белгородская область;29,5;29,6;29,3;29,8;29,4;29,5;29,6;33,3;38,5;35,1;40,2;37,3;41,0;41,6;45,5;46,9;45,0;41,0;38,2
Брянская область;28,5;28,6;28,5;28,2;29,3;28,7;29,0;27,9;29,2;26,4;28,4;30,8;32,4;34,2;34,4;36,8;38,6;42,1;43,1
Владимирская область;47,6;46,8;49,3;51,1;52,2;50,9;51,5;50,9;50,8;52,8;52,8;51,7;54,1;53,8;53,2;56,3;53,6;55,4;56,9
Воронежская область;44,4;45,1;43,4;42,8;39,0;39,4;41,8;42,8;39,9;39,4;38,4;38,2;39,3;39,0;36,9;39,7;37,6;38,0;36,7
Ивановская область;37,4;37,4;39,2;40,1;39,2;40,3;40,2;40,8;40,6;42,2;43,4;43,1;44,8;46,9;48,4;49,4;47,9;48,8;50,6
Калужская область;56,0;57,5;59,3;59,6;58,6;58,4;60,1;59,1;60,6;59,4;63,0;60,7;55,8;51,7;51,5;47,6;46,6;42,6;43,1
Костромская область;37,8;37,8;38,0;38,0;38,9;36,8;38,9;43,1;42,8;44,0;45,9;39,5;39,9;36,4;33,9;35,0;36,1;38,8;41,0
Курская область;44,5;49,0;51,4;54,4;50,5;50,6;48,3;43,5;42,4;43,4;42,7;39,7;40,0;36,7;43,0;46,2;40,6;39,3;39,0
Липецкая область;41,2;42,4;46,6;46,8;45,4;42,7;42,8;44,2;47,5;51,5;50,1;51,5;44,8;46,5;43,6;43,8;40,0;39,3;39,9
Московская область;52,5;51,9;49,9;49,8;50,4;52,1;51,9;52,4;49,4;52,0;54,2;51,8;57,8;61,3;60,8;64,6;64,1;67,6;66,9
Орловская область;36,2;33,8;33,9;33,7;33,4;35,1;39,2;37,7;39,8;37,9;42,3;36,8;40,0;41,4;44,9;48,0;46,0;47,0;47,2
Рязанская область;51,8;52,3;51,8;50,0;50,5;49,3;48,5;48,5;50,4;50,4;50,9;42,6;46,0;47,2;47,0;48,5;45,9;45,1;44,7
Смоленская область;40,7;41,5;41,3;44,0;43,2;40,8;39,9;43,6;46,3;48,2;51,3;41,7;38,5;37,4;38,3;35,9;34,3;36,8;38,3
Тамбовская область;46,9;49,0;50,1;48,3;47,4;47,9;48,1;48,2;46,9;48,6;50,6;49,8;44,0;38,7;37,1;34,9;35,9;38,6;37,6
Тверская область;49,9;49,2;49,9;53,0;48,6;51,2;52,4;51,0;53,3;53,7;57,3;52,3;54,1;54,9;53,4;53,8;51,5;53,6;54,7
