Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
 1. НАСЕЛЕНИЕ;;;;;;;;;;;;;;;;;;;
1.23. ЧИСЛЕННОСТЬ ВЫНУЖДЕННЫХ ПЕРЕСЕЛЕНЦЕВ ;;;;;;;;;;;;;;;;;;;
"(на конец года; человек)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;782215;625639;491898;352071;237998;168253;117711;84931;66488;57220;49474;44537;38370;30834;28292;25359;19327;13795;9485
Центральный        федеральный округ;185960;141669;113669;77783;44381;30787;21520;14198;11701;9430;7963;6954;5586;3844;3459;3115;2360;1680;943
Белгородская область;29735;23114;16595;12848;9905;7321;4980;3731;3334;2881;2454;2165;1647;907;803;745;496;380;188
Брянская область;5304;4151;3289;2136;1516;1154;812;623;548;476;391;339;243;175;161;145;118;92;37
Владимирская область;14210;13100;12386;7093;4563;2834;1312;479;329;283;215;199;183;152;143;124;116;43;20
Воронежская область;23047;15473;15393;14148;4552;2561;2198;1325;1090;946;769;698;511;356;323;279;235;153;109
Ивановская область;4928;4388;3244;1703;713;469;341;257;231;209;197;165;132;93;88;78;74;38;16
Калужская область;12407;10505;8144;4882;2781;1964;1350;1024;847;691;555;483;390;248;216;187;127;85;60
Костромская область;2690;2163;1500;948;677;529;439;304;216;182;140;121;93;61;50;44;32;19;15
Курская область;6942;6052;4734;1989;1632;1382;1105;484;428;380;323;286;228;154;156;148;92;62;33
Липецкая область;11095;10353;8002;4223;3056;2080;1214;680;556;498;437;402;374;304;283;266;223;136;72
Московская область;3688;3456;2918;2378;1814;1305;1233;1197;1054;320;291;258;229;201;192;176;132;99;69
Орловская область;11094;8667;8198;5588;1922;937;672;438;325;287;253;229;181;122;105;97;70;48;24
Рязанская область;7135;6227;5480;4582;1734;1368;926;486;276;249;238;221;199;153;143;125;87;62;38
Смоленская область;8200;5637;4286;3021;2216;1704;1300;736;572;493;413;296;245;206;180;164;142;142;51
Тамбовская область;7695;4973;3378;2386;1640;1033;661;393;340;286;242;226;195;138;120;101;80;66;42
Тверская область;20784;8393;4999;3657;2044;1534;1086;645;497;346;279;253;215;160;140;122;89;74;34
Тульская область;9125;7871;5985;2925;1201;870;658;479;417;337;277;237;180;120;110;97;70;33;10
Ярославская область;2845;2112;1672;1178;809;536;354;231;160;125;102;91;78;46;41;34;24;18;16
г. Москва;5036;5034;3466;2098;1606;1206;879;686;481;441;387;285;263;248;205;183;153;130;109
Северо-Западный      федеральный округ;57562;47618;35065;26098;14740;9315;6761;5149;3718;3026;2542;2268;2006;1578;1411;1224;721;473;356
Республика Карелия;1484;1203;958;620;454;329;216;116;101;74;56;55;47;43;33;32;24;13;7
Республика Коми;1382;1418;1150;961;187;130;76;57;40;31;31;28;27;20;13;9;6;4;-
Архангельская область;733;509;365;255;184;125;100;73;60;35;23;15;14;4;5;4;2;2;1
в том числе;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;24;11;11;5;1;1;1;-;-;-;-;-;-;-;-;-; -;-;-
Архангельская область    без автономного округа;709;498;354;250;183;124;99;73;60;35;23;15;14;4;5;4;2;2;1
Вологодская область;4252;4315;4329;3894;2278;1376;1246;1000;554;410;292;244;198;110;95;86;69;58;27
Калининградская область;8528;6087;3679;2308;1763;1521;1035;891;558;413;358;333;296;254;225;199;101;60;56
Ленинградская область1);13933;11178;7772;4813;2701;1884;1199;840;643;546;465;386;326;230;717;600;369;263;225
Мурманская область;1288;1045;839;636;275;206;154;97;33;10;7;5;4;-;4;4;4;4;4
Новгородская область;12492;11899;9605;8048;3845;1405;1061;734;604;495;416;361;309;197;167;163;65;53;30
Псковская область;6834;4633;2488;1456;1040;767;505;383;311;278;263;241;204;162;152;127;81;16;6
г. Санкт-Петербург;6636;5331;3880;3107;2013;1572;1169;958;814;734;631;600;581;558;…;…;…;…;…
Южный           федеральный округ;98483;61983;42799;27030;19047;13215;9721;6727;4594;3591;2883;2452;1922;1231;1076;985;738;474;304
Республика Адыгея;1350;910;692;430;285;151;112;99;90;88;75;75;57;57;47;40;34;14;8
Республика Калмыкия;1364;1699;1387;1240;959;741;697;506;37;11;3;2;-;-;-;-; -;-;-
Республика Крым;;;;;;;;;;;;;;;-;-; -;1;1
Краснодарский край;38208;20204;15479;11655;7817;5314;4089;2923;2098;1787;1538;1258;957;590;501;438;331;221;135
Астраханская область;5809;4620;3477;2183;1542;974;940;583;496;400;329;283;209;129;108;103;68;39;29
Волгоградская область;17514;13278;9828;7194;4733;3694;2697;2123;1696;1167;814;721;600;363;330;320;235;149;91
Ростовская область;34238;21272;11936;4328;3711;2341;1186;493;177;138;124;113;99;92;88;81;67;47;38
г. Севастополь;;;;;;;;;;;;;;;2;3;3;3;2
Северо-Кавказский         федеральный округ;101385;96240;81387;68343;58976;41469;27609;21252;19731;19246;18578;17959;16919;16488;15385;13845;10941;7932;6149
Республика Дагестан;9276;9437;9522;6650;2351;1057;933;727;723;694;595;500;391;326;325;303;202;196;147
Республика Ингушетия;33768;30950;29299;27890;26239;16067;5747;4267;4476;5987;6489;6554;7365;7758;7159;6139;3758;1558;1227
Кабардино-Балкарская      Республика;1099;1036;779;654;481;287;220;220;24;13;7;3;-;-; -;-; -;-;-
Карачаево-Черкесская       Республика;4524;4042;3205;312;205;110;77;56;46;19;17;15;7;7; -;-; -;-;-
