Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
 1. НАСЕЛЕНИЕ;;;;;;;;;;;;;;;;;;;
1.24. ЧИСЛЕННОСТЬ БЕЖЕНЦЕВ;;;;;;;;;;;;;;;;;;;
"(на конец года; человек)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;26065;17902;13790;8725;614;458;405;475;713;779;801;802;763;632;790;770;598;592;572
Центральный          федеральный округ;3013;2105;1988;1859;243;217;206;318;558;680;671;687;669;566;643;584;480;481;486
Белгородская область;6;6;6;6;6;7;7;7;7;1;5;6;6;6;54;48;3;1;1
Брянская область; -; -; -; -; -;-; -; -; -;1;1;1;1;1;22;16;11;3; -
Владимирская область;1; -; -; -; -;-; -; -; -;1;2;3;3;2;2;2;2;2;1
Воронежская область;656; -; -; -; -;-; -; -; -; -;-;-;-;-;1;3;3;1;1
Ивановская область; -; -; -; -; -;-; -;3;3;1;9;15;14;12;16;5;4;5;1
Калужская область;135;82; -;2;1;-; -; -;5;3;-;1;1;-; -; -; -;-; -
Костромская область; -; -; -; -; -;-; -; -; -;1;1;1;-;-;1;1;1;1;1
Курская область; -; -; -; -; -;-; -; -; -; -;-;-;1;1;4;3;2;-;3
Липецкая область; -;1;1;1;1;1;1;1;1;1;1;1;1;1;1; -; -;-; -
Московская область;1918;1835;1799;1662;68;59;36;75;71;92;70;69;78;76;75;69;64;57;52
Орловская область;2;23;25;22;21;17;10;8;8;7;-;-;-;-;4;1;1;2;2
Рязанская область;160; -; -; -; -;-; -; -;4;4;4;10;12;2;2;1;1;-; -
Смоленская область; -; -; -; -; -;-; -; -; -; -;2;1;1;1;1;2; -;-; -
Тамбовская область; -; -; -; -; -;-; -; -; -; -;-;-;-;-; -;5; -;-; -
Тверская область;4;4; -; -; -;-; -;2;3;3;3;2;1;1;2;2;2;2;1
Тульская область; -; -; -; -; -;-; -; -; -; -;-;6;6;6;12;5; -;1; -
Ярославская область; -; -; -; -; -;-; -; -; -; -;-;-;-;-;6;6;2;1;1
г. Москва;131;154;157;166;146;133;152;222;456;565;573;571;544;457;440;415;384;405;422
Северо-Западный        федеральный округ;176;151;129;87;88;89;65;48;36;26;33;24;23;19;38;56;26;23;20
Республика Карелия; -; -; -; -; -;-; -; -; -; -;-;-;-;-; -;-; -;-; -
Республика Коми; -;1; -; -; -;-; -; -; -; -;-;-;-;-; -;-; -;-; -
Архангельская область;1; -;1;1;1;1;1;1;1;1;1;1;-;-; -;-; -;1;2
в том числе:;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ; -; -; -; -; -;-; -; -; -; -;-;-;-;-; -;-; -;-; -
Архангельская область        без автономного округа;1; -;1;1;1;1;1;1;1;1;1;1;-;-;-;-; -;1;2
Вологодская область; -; -; -; -; -;-; -; -; -; -;-;-;-;-;5;5;1;-; -
Калининградская область; -; -; -; -; -;-; -; -; -; -;-;-;-;-;-;-; -;-; -
Ленинградская область1);10;11;11;13;15;14;9;3;6; -;-;-;-;-;24;42;25;20;16
Мурманская область; -; -; -; -; -;1; -; -; -; -;-;-;-;-; -;-; -;2;2
Новгородская область; -; -; -; -; -;-; -; -; -; -;-;5;5;6;8;7; -;-; -
Псковская область;18; -; -; -; -;6;7;7;7;1;1;1;1;-;1;2; -;-; -
г. Санкт-Петербург;147;139;117;73;72;67;48;37;22;24;31;17;17;13;…;…;…;…;…
Южный          федеральный округ;128;71;39;22;17;13;9;10;11;6;7;5;5;4;15;27;14;15;12
Республика Адыгея; -; -;5;5;6;6; -; -; -; -;-;-;-;-; -;-; -;-; -
Республика Калмыкия; -; -; -; -; -;-; -; -; -; -;-;-;-;-; -;-; -;-; -
Республика Крым;;;;;;;;;;;;;;;-;-; -;-;1
Краснодарский край;37;27;8;6;6;1;1;1; -;2;2;2;3;2;12;23;9;10;7
Астраханская область; -; -; -; -; -;-; -; -; -; -;-;-;-;-; -;-; -;-; -
Волгоградская область;42;12;9;5;4;5;7;8;7;2;2;2;2;2;2;-;1;1;1
Ростовская область;49;32;17;6;1;1;1;1;4;2;3;1;-;-; -;-; -;-;2
г. Севастополь;;;;;;;;;;;;;;;1;4;4;4;1
Северо-Кавказский    федеральный округ;20013;15409;11559;6704;233;114;102;79;85;48;46;38;26;13;43;43;36;41;27
Республика Дагестан;354;358;20;9;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3
Республика Ингушетия; -; -; -; -; -;-; -; -; -; -;-;-;-;-; -;-; -;-; -
