Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
1. НАСЕЛЕНИЕ;;;;;;;;;;;;;;;;;;;;
1.3. УДЕЛЬНЫЙ ВЕС ГОРОДСКОГО НАСЕЛЕНИЯ В ОБЩЕЙ ЧИСЛЕННОСТИ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;;
"(оценка на конец года; в процентах)";;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
Российская Федерация;73,2;73,3;73,3;73,5;73,1;73,2;73,3;73,5;73,5;73,6;73,8;73,9;74,0;74,2;74,0;74,1;74,3;74,4;74,6;
Центральный федеральный округ;79,6;79,8;80,0;80,2;80,4;80,4;80,7;80,8;81,0;81,1;81,5;81,6;81,7;81,8;81,8;82,0;82,1;82,2;82,3;
Белгородская область;65,2;65,2;65,2;65,4;65,4;65,6;65,8;66,0;65,8;65,9;66,2;66,4;66,6;66,8;66,9;67,1;67,3;67,4;67,5;
Брянская область;68,6;68,8;68,5;68,5;68,2;68,3;68,6;68,8;68,9;69,0;69,1;69,2;69,3;69,5;69,8;69,9;70,1;70,3;70,4;
Владимирская область;79,8;79,7;79,7;79,4;78,3;77,2;77,3;77,4;77,5;77,5;77,7;77,6;77,6;77,7;77,8;77,9;78,1;78,2;78,3;
Воронежская область;61,6;61,8;62,0;62,0;62,0;61,8;61,7;61,7;62,0;62,1;65,5;65,9;66,3;66,7;66,9;67,1;67,3;67,5;67,8;
Ивановская область;82,5;82,6;82,7;82,6;80,4;80,5;80,6;80,8;80,9;80,8;81,0;81,0;81,1;81,1;81,2;81,3;81,4;81,5;81,6;
Калужская область;74,4;74,6;74,9;75,0;75,0;75,2;75,2;75,3;75,3;75,2;76,3;75,9;75,9;75,9;76,2;76,1;76,0;76,0;76,0;
Костромская область;66,8;67,1;67,4;67,9;68,1;68,6;69,1;69,2;69,4;69,6;70,0;70,2;70,5;70,8;71,3;71,5;71,9;72,2;72,4;
Курская область;60,8;61,1;61,4;61,7;62,0;62,6;63,1;63,7;64,2;64,7;65,4;65,9;66,5;66,5;66,9;67,3;67,7;67,9;68,2;
Липецкая область;64,1;64,1;64,3;64,4;64,5;63,1;63,2;63,3;63,4;63,5;63,7;63,9;64,0;64,1;64,2;64,2;64,2;64,4;64,5;
Московская область;79,5;79,4;79,3;79,4;80,2;80,1;80,3;79,9;80,2;80,2;80,1;80,1;81,4;81,6;81,6;81,6;81,7;81,6;81,5;
Орловская область;63,2;63,4;63,6;63,9;64,4;64,7;65,0;65,2;65,4;65,4;65,5;65,7;65,8;65,9;66,3;66,6;66,7;66,8;66,8;
Рязанская область;68,5;68,7;69,0;69,4;69,7;70,0;70,4;70,6;70,5;70,7;70,9;71,0;71,0;71,1;71,2;71,4;71,7;71,9;72,1;
Смоленская область;70,4;70,7;70,9;71,3;70,9;71,3;71,8;72,0;72,3;72,4;72,7;72,6;72,5;72,1;72,0;72,0;72,1;71,9;71,8;
Тамбовская область;57,1;57,2;57,3;57,5;57,7;57,9;58,1;58,2;58,4;58,5;58,7;58,8;59,1;59,4;59,8;60,1;60,5;60,9;61,1;
Тверская область;72,8;73,0;73,2;73,2;73,4;73,3;73,6;73,9;74,2;74,5;74,8;74,9;74,9;74,9;75,2;75,4;75,6;75,8;76,0;
Тульская область;81,4;81,5;81,6;81,7;81,8;79,8;79,8;79,8;79,8;79,7;79,4;79,0;78,8;76,6;74,7;74,7;74,8;74,8;74,8;
Ярославская область;80,6;80,8;81,0;81,1;81,3;81,5;81,7;81,9;82,0;82,1;82,2;81,9;81,9;81,8;81,7;81,7;81,7;81,8;81,6;
г. Москва;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;98,9;98,9;98,8;98,8;98,8;98,7;98,6;
Северо-Западный федеральный округ;82,2;82,3;82,3;82,5;82,6;82,6;82,8;83,0;83,1;83,3;83,6;83,7;83,8;83,9;84,1;84,2;84,3;84,4;84,5;
Республика Карелия;74,5;74,8;75,1;75,5;75,9;76,2;76,6;77,1;77,5;77,7;78,1;78,4;78,8;79,2;79,6;79,9;80,2;80,4;80,7;
Республика Коми;75,3;75,3;75,3;75,3;75,6;75,8;76,0;76,1;76,3;76,6;77,0;77,2;77,3;77,5;77,7;77,9;78,0;78,1;78,2;
Архангельская область;74,9;75,2;74,9;74,7;75,2;73,7;74,1;74,5;74,8;75,2;75,7;76,2;76,6;76,5;77,0;77,4;77,8;78,0;78,3;
в том числе: ;;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;62,3;62,8;63,4;63,9;64,7;65,3;66,0;66,6;67,2;67,0;67,9;69,1;70,0;70,8;71,7;72,4;72,4;72,8;73,3;
Архангельская область без автономного округа;75,3;75,6;75,3;75,0;75,5;74,0;74,4;74,8;75,1;75,5;76,0;76,4;76,8;76,7;77,2;77,6;78,0;78,2;78,5;
Вологодская область;68,8;68,9;69,1;69,3;68,3;68,6;69,0;69,4;69,7;70,0;70,8;71,2;71,3;71,5;71,9;72,0;72,2;72,4;72,6;
Калининградская область;77,6;77,6;77,6;77,7;77,8;77,3;77,3;77,3;77,2;77,2;77,6;77,5;77,5;77,6;77,7;77,7;77,8;77,9;77,7;
Ленинградская область;66,3;66,4;66,4;66,4;66,2;66,0;65,9;66,0;65,9;65,8;65,7;65,4;65,2;64,9;64,6;64,2;64,0;63,8;64,3;
Мурманская область;92,3;92,3;92,2;92,3;92,0;92,3;92,5;92,6;92,7;92,7;92,8;92,7;92,7;92,7;92,6;92,5;92,4;92,3;92,2;
Новгородская область;69,6;69,7;69,9;70,2;70,4;70,8;71,2;71,3;71,2;70,5;70,7;70,6;70,5;70,5;70,9;70,8;70,8;71,0;71,3;
Псковская область;65,6;65,9;66,2;66,9;67,8;68,3;68,8;69,2;69,6;69,8;70,2;70,2;70,3;70,2;70,4;70,5;70,7;70,9;71,1;
