Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
 1. НАСЕЛЕНИЕ;;;;;;;;;;;;;;;;;;;
ВОЗРАСТНОЙ СОСТАВ НАСЕЛЕНИЯ ;;;;;;;;;;;;;;;;;;;
1.6.2.  Население в трудоспособном возрасте;;;;;;;;;;;;;;;;;;;
"(оценка на конец года; в процентах от общей численности населения)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;60,2;60,8;61,5;62,3;62,7;63,0;63,0;62,9;62,6;62,0;61,5;60,9;60,1;59,3;58,4;57,4;56,7;56,0;55,4
Центральный    федеральный округ;59,9;60,4;61,2;61,8;62,2;62,5;62,6;62,5;62,2;61,7;61,3;60,7;60,0;59,3;58,5;57,6;56,9;56,2;55,5
Белгородская область;57,8;58,5;59,6;60,5;61,1;61,6;61,8;61,8;61,7;61,3;60,8;60,3;59,6;58,8;57,9;57,0;56,2;55,4;54,9
Брянская область;56,9;57,6;58,6;59,6;60,3;60,9;61,2;61,3;61,2;60,8;60,3;59,7;58,9;58,1;57,3;56,4;55,8;55,1;54,5
Владимирская область;58,8;59,2;59,9;60,7;61,0;61,3;61,4;61,2;60,9;60,3;59,7;59,0;58,1;57,2;56,4;55,4;54,7;54,0;53,5
Воронежская область;56,8;57,4;58,4;59,3;59,9;60,4;60,7;60,7;60,7;60,3;60,0;59,6;59,0;58,3;57,6;56,8;56,1;55,5;54,9
Ивановская область;58,2;58,7;59,5;60,2;60,5;60,8;60,9;60,9;60,8;60,3;59,7;59,1;58,4;57,6;56,8;55,9;55,2;54,6;54,1
Калужская область;59,0;59,4;60,0;60,8;61,4;61,9;62,1;62,0;61,7;61,2;60,6;60,0;59,2;58,3;57,6;56,6;55,8;55,1;54,4
Костромская область;57,9;58,5;59,5;60,6;61,2;61,7;61,8;61,6;61,3;60,5;59,8;58,9;58,0;57,1;56,1;55,1;54,2;53,4;52,7
Курская область;56,8;57,4;58,3;59,3;59,9;60,5;60,7;60,7;60,5;60,0;59,6;58,9;58,2;57,4;56,6;55,8;55,2;54,4;53,7
Липецкая область;58,1;58,5;59,4;60,3;60,8;61,3;61,4;61,4;61,1;60,6;60,0;59,4;58,5;57,8;56,9;56,0;55,2;54,4;53,7
Московская область;60,4;60,8;61,5;62,2;62,7;62,9;63,0;62,9;62,7;62,3;62,0;61,6;61,1;60,5;59,8;58,9;58,2;57,5;57,0
