Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
 1. НАСЕЛЕНИЕ;;;;;;;;;;;;;;;;;;;
ВОЗРАСТНОЙ СОСТАВ НАСЕЛЕНИЯ ;;;;;;;;;;;;;;;;;;;
1.6.3.  Население старше трудоспособного возраста;;;;;;;;;;;;;;;;;;;
"(оценка на конец года; в процентах от общей численности населения)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;20,4;20,5;20,5;20,3;20,4;20,5;20,8;21,1;21,4;21,8;22,3;22,6;23,1;23,5;24,0;24,6;25,0;25,4;25,9
Центральный федеральный округ;23,6;23,7;23,5;23,4;23,4;23,4;23,6;23,8;24,1;24,4;24,8;25,2;25,6;25,9;26,4;26,8;27,2;27,6;28,1
Белгородская область;23,2;23,3;23,0;22,8;22,8;22,8;22,9;23,1;23,3;23,6;24,1;24,5;25,0;25,5;26,1;26,6;27,2;27,7;28,2
Брянская область;23,9;23,9;23,6;23,3;23,2;23,1;23,2;23,3;23,5;23,8;24,3;24,8;25,3;25,8;26,3;26,9;27,3;27,8;28,4
Владимирская область;24,0;24,2;24,2;24,0;24,2;24,3;24,5;24,8;25,0;25,5;25,9;26,4;26,9;27,4;27,9;28,5;28,9;29,4;29,8
Воронежская область;25,7;25,8;25,5;25,3;25,2;25,1;25,2;25,4;25,6;25,9;26,2;26,5;26,9;27,3;27,7;28,1;28,5;28,9;29,3
Ивановская область;25,1;25,2;24,9;24,7;24,7;24,8;25,0;25,2;25,3;25,7;26,1;26,5;26,8;27,2;27,6;28,1;28,5;28,9;29,3
Калужская область;23,4;23,6;23,7;23,5;23,4;23,4;23,6;23,9;24,2;24,6;25,1;25,5;25,9;26,4;26,8;27,3;27,7;28,2;28,7
Костромская область;23,8;23,8;23,4;23,1;23,0;22,9;23,2;23,4;23,5;24,0;24,5;25,0;25,5;26,0;26,5;27,1;27,6;28,2;28,8
Курская область;25,0;24,9;24,7;24,4;24,4;24,3;24,4;24,6;24,7;25,2;25,6;26,0;26,4;26,9;27,4;27,8;28,2;28,8;29,4
Липецкая область;23,9;24,0;23,9;23,6;23,6;23,5;23,7;23,8;24,0;24,4;24,9;25,4;25,9;26,3;26,9;27,5;27,9;28,5;29,1
Московская область;23,4;23,4;23,3;23,1;23,0;23,1;23,2;23,3;23,4;23,6;23,7;23,9;23,9;24,1;24,3;24,6;24,7;24,9;25,1
Орловская область;24,0;24,0;23,9;23,7;23,9;24,0;24,2;24,3;24,6;25,1;25,6;26,1;26,6;27,1;27,7;28,3;28,7;29,3;29,9
Рязанская область;26,0;26,2;26,1;25,9;25,8;25,8;25,9;26,1;26,4;26,8;27,2;27,6;28,1;28,5;29,0;29,5;29,9;30,3;30,7
Смоленская область;23,5;23,5;23,4;23,2;23,2;23,1;23,2;23,5;23,7;24,2;24,8;25,2;25,8;26,3;26,8;27,4;28,0;28,4;28,9
Тамбовская область;25,4;25,6;25,4;25,1;25,0;25,0;25,2;25,5;25,7;26,3;26,7;27,2;27,7;28,1;28,6;29,3;29,9;30,5;31,3
Тверская область;25,8;26,0;25,8;25,5;25,4;25,4;25,6;25,7;25,8;26,2;26,5;26,9;27,3;27,7;28,2;28,7;29,0;29,5;30,0
Тульская область;26,7;26,7;26,7;26,3;26,4;26,3;26,5;26,8;26,9;27,3;27,8;28,1;28,6;29,1;29,5;29,9;30,2;30,6;31,0
