Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
 1. НАСЕЛЕНИЕ;;;;;;;;;;;;;;;;;;;
КОЭФФИЦИЕНТЫ ДЕМОГРАФИЧЕСКОЙ НАГРУЗКИ;;;;;;;;;;;;;;;;;;;
1.7.1.   Всего;;;;;;;;;;;;;;;;;;;
"(оценка на конец года; на 1000 человек трудоспособного возраста приходится лиц нетрудоспособных возрастов)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;661;645;625;607;596;589;586;591;598;613;626;643;664;687;713;740;764;785;804
Центральный   федеральный округ;670;655;636;617;608;601;597;601;607;621;631;647;665;686;709;735;759;780;800
Белгородская область;730;709;679;654;638;624;618;617;621;632;643;658;677;701;727;756;780;804;823
Брянская область;758;735;707;678;659;643;633;632;633;645;659;676;697;720;744;772;794;816;836
Владимирская область;701;689;669;648;639;631;630;635;642;659;675;696;721;746;774;804;828;851;870
Воронежская область;760;741;713;686;669;654;647;647;647;659;664;677;694;714;735;761;783;803;823
Ивановская область;718;703;682;661;654;646;641;643;645;660;675;693;713;737;761;790;812;833;849
Калужская область;696;684;668;644;630;617;611;614;619;633;649;667;690;716;736;768;791;817;838
Костромская область;726;709;682;651;633;621;617;622;632;653;673;697;724;752;783;816;846;873;896
Курская область;760;741;715;687;670;654;647;649;654;667;679;698;719;742;767;791;812;839;862
Липецкая область;721;709;684;659;644;633;628;630;636;651;666;685;708;731;757;787;811;838;861
Московская область;656;645;627;607;596;589;588;591;595;606;613;623;636;653;673;697;719;738;754
Орловская область;725;707;683;665;657;646;641;643;649;663;677;695;717;743;766;795;819;844;865
Рязанская область;751;739;720;694;680;669;662;662;665;679;693;710;730;754;778;806;830;854;874
Смоленская область;697;677;655;628;612;600;592;592;598;614;630;646;666;692;715;744;771;789;805
Тамбовская область;764;750;725;696;676;661;654;655;659;671;684;698;715;734;754;789;813;836;867
Тверская область;759;745;722;695;679;666;660;662;666;680;694;713;735;759;785;814;840;863;882
Тульская область;745;731;712;687;674;663;657;660;665;679;693;707;729;751;773;797;817;835;850
Ярославская область;693;680;662;643;637;634;635;641;649;671;690;707;729;751;775;802;826;846;863
г. Москва;559;545;533;529;530;533;536;544;553;568;577;595;614;635;658;684;709;731;754
Северо-Западный     федеральный округ;624;611;593;577;568;565;566;573;582;599;613;630;650;670;695;726;751;771;789
Республика Карелия;618;605;584;566;560;557;561;574;589;615;638;663;690;719;749;783;811;836;855
Республика Коми;540;526;507;489;483;482;486;494;507;529;550;574;602;632;662;695;725;751;773
Архангельская область;617;608;589;567;556;551;556;567;579;605;630;656;686;716;747;780;809;833;851
в том числе:;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;589;592;580;552;531;520;517;524;542;569;590;609;633;653;678;707;736;761;785
