Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
1. НАСЕЛЕНИЕ;;;;;;;;;;;;;;;;;;;
КОЭФФИЦИЕНТЫ ДЕМОГРАФИЧЕСКОЙ НАГРУЗКИ;;;;;;;;;;;;;;;;;;;
1.7.2.  Моложе трудоспособного возраста;;;;;;;;;;;;;;;;;;;
"(оценка на конец года; на 1000 человек трудоспособного возраста приходится лиц нетрудоспособных возрастов)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;322;308;293;280;270;263;256;255;256;261;264;271;280;290;301;313;323;331;337
Центральный   федеральный округ;276;263;250;239;232;226;220;219;220;225;227;232;240;249;259;270;280;288;295
Белгородская область;328;312;291;276;264;254;247;244;244;246;247;251;258;267;277;288;296;304;309
Брянская область;337;321;303;287;274;263;254;251;250;253;256;261;268;277;285;296;304;310;314
Владимирская область;293;281;266;252;243;235;230;229;231;236;241;248;258;268;278;291;300;307;312
Воронежская область;309;293;275;260;249;239;232;228;226;229;229;233;239;247;255;266;275;282;289
Ивановская область;288;275;262;251;245;238;231;229;229;233;238;245;253;264;274;286;296;303;307
Калужская область;299;287;273;258;247;238;230;228;228;232;236;242;251;262;271;284;295;304;311
Костромская область;315;303;287;270;258;249;243;243;248;256;263;273;285;297;310;324;336;345;351
Курская область;321;308;292;275;263;252;245;243;244;247;249;256;265;274;284;293;301;309;315
Липецкая область;310;299;282;267;257;249;243;242;243;247;251;257;266;275;284;296;305;314;320
Московская область;269;259;247;236;228;222;219;219;222;227;230;236;245;255;267;280;294;305;314
Орловская область;310;297;282;269;261;252;245;243;243;245;248;252;260;270;277;288;296;303;308
Рязанская область;295;283;270;256;247;239;231;227;226;229;232;237;245;254;262;273;284;293;299
Смоленская область;299;283;267;251;239;230;222;218;218;223;226;231;237;246;255;266;276;280;283
Тамбовская область;316;303;287;270;257;246;237;233;232;233;234;236;241;246;252;264;271;276;283
Тверская область;304;292;277;262;251;242;236;234;236;241;245;252;262;272;282;294;305;313;318
Тульская область;278;268;255;242;233;225;218;216;216;219;223;226;234;242;250;260;268;274;277
Ярославская область;283;271;259;247;240;234;230;230;232;240;246;253;263;274;285;298;310;318;324
г. Москва;226;213;203;201;200;199;196;196;198;203;203;209;216;225;234;243;252;260;268
Северо-Западный    федеральный округ;286;272;258;246;236;229;224;222;224;229;232;238;247;256;267;280;292;300;306
Республика Карелия;313;299;283;268;257;248;242;244;248;256;263;272;283;294;305;319;329;338;342
Республика Коми;325;311;295;279;269;263;259;258;262;269;276;285;297;310;322;336;348;356;360
Архангельская область;322;311;295;278;265;256;252;253;256;265;273;283;295;307;318;331;341;348;351
в том числе:;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;415;413;399;374;352;339;331;331;340;354;361;369;381;391;403;417;428;436;442
Архангельская область   без автономного округа;319;307;292;275;263;253;249;250;254;262;270;280;291;303;314;327;338;344;347
Вологодская область;325;311;294;277;265;256;250;250;253;260;268;277;290;304;318;334;347;357;363
