Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
10. ОСНОВНЫЕ ФОНДЫ;;;;;;;;;;;;;;;;;;;
10.3. СТЕПЕНЬ ИЗНОСА ОСНОВНЫХ ФОНДОВ1) ;;;;;;;;;;;;;;;;;;;
"(на конец года; в процентах)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;43,5;46,1;49,4;43,7;43,5;44,1;44,4;43,8;43,6;44,3;45,7;46,3;45,9;46,3;47,9;48,8;50,2;50,9;50,9
Центральный федеральный округ;42,5;48,5;45,0;38,7;37,8;35,8;36,3;35,0;35,8;38,0;38,1;39,3;39,0;39,1;41,1;41,3;42,6;43,2;41,5
Белгородская область;41,3;43,6;44,2;39,1;38,9;39,3;39,2;35,4;32,0;33,5;36,6;39,9;41,9;43,3;45,4;46,9;48,2;47,6;49,5
Брянская область;47,3;50,2;52,5;42,5;42,8;42,8;40,6;43,9;40,8;46,3;46,7;44,6;46,0;45,6;46,2;46,3;43,7;45,5;48,8
Владимирская область;43,7;44,6;49,8;42,9;40,7;40,6;40,7;39,8;40,5;41,5;41,7;42,4;43,2;43,7;43,8;45,6;47,7;48,4;49,4
Воронежская область;49,0;51,0;57,1;41,2;43,3;47,0;48,1;46,8;45,6;44,9;45,4;44,5;44,7;43,0;44,4;44,5;46,3;40,4;41,3
Ивановская область;43,3;43,0;49,1;44,6;46,1;44,9;44,2;44,6;45,2;46,0;46,0;39,1;39,3;42,2;41,5;44,2;47,2;48,3;49,9
Калужская область;40,4;40,5;43,6;36,6;38,2;40,5;41,8;43,2;41,2;38,4;34,0;36,7;39,1;35,8;37,0;36,8;39,7;41,9;43,5
Костромская область;49,5;54,9;56,1;48,4;44,3;41,8;29,5;31,5;30,2;35,0;37,9;41,5;45,3;48,4;49,9;48,8;48,6;50,6;51,7
Курская область;49,9;52,6;55,2;48,9;47,7;48,9;48,6;48,7;47,8;46,9;48,8;49,1;49,1;47,9;49,9;51,7;51,5;50,5;52,4
Липецкая область;47,0;47,8;52,3;45,4;42,2;43,0;44,1;44,2;43,2;46,0;48,6;50,3;51,2;49,2;50,6;52,6;55,7;55,8;57,0
Московская область;36,9;35,3;41,8;36,3;35,3;39,6;40,1;37,1;36,6;38,6;37,7;39,2;39,7;40,5;41,3;42,2;41,9;45,0;45,5
Орловская область;41,3;41,7;47,5;36,5;36,5;41,0;41,4;43,6;40,3;42,5;43,9;46,2;46,1;48,0;48,5;48,9;50,7;50,3;51,7
Рязанская область;47,7;49,0;50,0;45,0;45,7;47,5;43,3;43,4;44,2;46,7;49,4;50,4;51,9;51,0;52,8;53,0;57,1;59,1;59,4
Смоленская область;45,0;47,4;49,5;37,8;36,8;39,2;40,3;41,0;40,7;43,1;45,4;42,5;44,6;47,0;49,1;50,6;52,4;55,2;55,5
Тамбовская область;47,6;49,9;57,2;52,1;52,6;55,6;55,4;53,6;54,6;54,9;56,7;57,5;55,9;53,7;56,7;58,1;60,4;60,6;61,6
Тверская область;47,6;48,8;53,4;45,0;42,7;38,0;36,1;37,5;37,3;38,4;41,4;44,2;38,7;41,0;44,2;46,8;47,7;50,3;52,3
Тульская область;47,2;48,2;54,5;47,6;47,1;49,1;47,1;47,0;46,9;46,8;45,8;45,9;44,5;45,3;45,2;43,2;46,0;47,6;45,8
Ярославская область;53,9;56,1;57,9;46,8;49,2;46,1;45,1;45,3;45,0;46,9;48,3;46,0;47,8;48,0;49,7;51,6;53,0;54,9;54,8
г. Москва;40,9;49,7;37,0;34,2;33,0;28,5;30,0;28,1;30,3;33,2;33,0;35,0;33,7;33,2;35,8;35,5;36,9;37,0;33,8
Северо-Западный федеральный округ;43,0;43,6;50,2;41,5;41,2;41,5;40,1;39,8;38,4;39,5;41,7;40,8;38,7;39,0;40,6;42,6;43,3;44,2;45,1
Республика Карелия;40,7;42,6;45,9;28,6;29,5;26,0;26,0;28,7;29,3;32,4;35,2;37,9;41,5;43,4;44,0;47,2;49,6;52,8;52,1
Республика Коми;37,6;40,7;53,3;48,5;45,4;49,4;49,4;48,1;48,7;49,6;54,6;55,3;44,2;46,2;45,1;46,0;45,0;47,1;49,2
Архангельская область;51,1;48,0;57,8;46,8;45,0;44,0;41,9;39,6;30,4;31,6;36,1;38,4;38,4;41,0;44,1;46,1;46,6;48,1;51,3
в том числе:;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;39,8;40,5;36,9;34,2;35,4;38,3;27,2;27,5;13,5;17,1;26,1;31,1;33,0;38,8;42,1;44,3;43,3;45,6;50,3
Архангельская область без автономного округа;;;;;;;;;;43,6;45,1;44,5;43,2;42,9;45,7;47,7;50,1;50,9;52,5
Вологодская область;42,2;43,0;50,6;44,5;50,3;50,1;46,1;42,7;42,0;43,8;46,1;47,1;40,9;43,1;45,9;48,7;51,6;50,5;51,9
Калининградская область;44,5;44,0;48,9;45,7;34,3;31,5;32,6;33,6;31,1;31,8;33,1;30,3;31,5;34,7;37,9;40,3;42,5;38,5;31,6
Ленинградская область;40,9;39,2;42,6;37,1;36,4;36,3;34,4;35,9;36,0;36,1;36,5;33,7;32,6;32,4;35,7;40,0;43,0;45,2;44,4
Мурманская область;41,8;45,4;49,1;40,6;42,3;42,9;41,2;42,4;38,7;39,6;42,7;42,8;37,0;39,5;38,9;41,8;43,0;43,1;44,2
Новгородская область;49,0;48,7;53,2;40,5;37,2;40,2;38,6;39,3;39,2;40,9;43,3;45,3;42,4;43,8;45,2;48,4;47,6;46,9;45,9
Псковская область;42,1;43,6;51,1;32,6;34,5;37,9;40,0;40,9;37,1;38,7;41,0;39,2;39,9;40,4;43,0;45,9;47,4;46,6;48,1
г. Санкт-Петербург;44,3;44,3;49,6;39,4;40,7;39,8;37,3;38,3;38,1;39,4;40,0;37,6;39,2;36,8;37,5;38,3;37,7;38,3;40,0
Южный              федеральный округ;46,8;47,9;52,3;45,7;42,4;40,6;41,7;41,8;40,6;41,7;42,0;43,0;42,6;38,9;43,9;43,0;44,1;45,2;46,7
Республика Адыгея;49,8;50,6;51,3;48,3;33,3;50,0;56,1;56,1;47,5;46,5;45,6;46,5;43,6;42,3;47,4;51,1;53,4;55,4;53,2
Республика Калмыкия;36,9;30,8;38,0;35,8;46,1;35,3;38,6;38,1;37,9;38,6;42,3;44,9;48,2;49,1;49,3;44,3;45,8;49,8;49,1
Республика Крым;;;;;;;;;;;;;;;63,4;71,7;73,3;68,5;66,3
Краснодарский край;44,5;43,7;45,8;36,5;35,0;33,7;34,6;36,0;37,3;39,1;40,2;40,0;38,0;30,7;31,7;33,1;35,2;37,2;41,3
Астраханская область;43,7;44,8;52,0;49,1;50,5;44,5;51,0;51,5;52,5;51,3;46,3;47,5;47,5;47,7;50,8;49,6;52,5;50,1;50,1
Волгоградская область;49,7;49,7;56,6;53,1;51,1;52,6;50,1;49,6;44,8;46,4;49,6;51,1;51,3;51,5;52,5;52,4;50,6;51,3;52,4
Ростовская область;48,4;48,3;52,5;39,4;39,1;40,8;40,3;39,2;36,0;37,3;36,6;38,4;40,6;42,2;43,0;40,5;42,1;43,2;42,2
г. Севастополь;;;;;;;;;;;;;;;33,4;54,3;54,6;46,4;42,5
Северо-Кавказский федеральный округ;39,8;42,7;42,2;42,8;40,8;45,3;45,2;44,9;43,1;45,4;46,1;46,2;47,6;47,2;47,3;47,9;49,5;51,9;53,3
Республика Дагестан;38,8;38,3;41,4;39,1;42,0;39,1;42,1;41,2;32,1;34,3;37,2;36,9;39,7;42,1;43,6;44,8;46,9;49,4;51,0
Республика Ингушетия ;51,2;48,6;47,6;46,0;34,0;50,6;53,5;52,5;56,1;59,9;59,5;61,4;54,2;50,5;48,5;50,5;55,6;53,5;54,5
Кабардино-Балкарская Республика;34,7;45,0;44,7;36,9;33,8;36,3;32,4;36,4;36,6;38,6;31,7;34,3;35,1;33,8;35,5;38,3;36,7;40,4;46,5
Карачаево-Черкесская Республика;41,9;40,7;40,2;46,0;42,9;42,5;38,6;30,6;27,8;29,4;35,1;33,5;35,6;37,6;38,5;38,2;35,3;37,6;41,2
Республика Северная Осетия – Алания;41,6;41,0;47,9;36,9;42,6;46,1;43,5;44,3;47,7;41,2;40,0;40,6;42,4;47,3;47,6;51,3;52,6;54,9;56,4
Чеченская Республика ;…;…;…;…;…;…;47,6;51,9;50,6;63,2;60,4;56,2;53,1;50,5;49,4;49,7;51,9;57,0;55,2
Ставропольский край;45,2;44,6;55,2;48,2;49,0;49,0;47,9;46,4;46,5;47,7;49,7;49,8;51,7;50,0;49,5;49,5;51,5;53,4;54,8
Приволжский федеральный округ;46,6;47,3;52,6;48,6;48,2;49,4;50,2;49,5;49,5;50,5;52,1;52,7;53,1;52,9;53,3;53,4;55,3;56,4;57,2
Республика Башкортостан;44,4;44,2;48,8;44,6;45,7;46,2;43,7;43,5;43,9;45,9;48,7;51,0;52,1;52,2;53,3;53,0;53,5;54,5;55,3
Республика Марий Эл;38,7;38,8;49,0;49,0;50,4;58,1;58,5;58,4;59,7;60,0;60,4;60,3;60,6;58,7;60,2;61,2;63,3;65,3;65,8
Республика Мордовия;44,9;50,9;54,2;51,2;51,8;54,4;55,7;54,0;54,8;60,0;59,7;57,2;57,3;56,4;56,9;56,4;59,8;63,4;64,7
Республика Татарстан;40,7;41,5;44,2;42,4;40,9;42,6;45,0;43,8;42,6;43,1;44,5;42,3;43,7;43,4;44,2;44,4;45,2;45,2;45,6
Удмуртская Республика;47,0;46,4;51,8;52,0;52,5;52,9;54,4;53,0;54,8;55,8;58,4;60,8;61,0;62,3;62,0;62,3;64,6;65,1;67,3
