Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
11. ИНВЕСТИЦИИ ;;;;;;;;;;;;;;;;;;;
ИНВЕСТИЦИИ В ОСНОВНОЙ КАПИТАЛ;;;;;;;;;;;;;;;;;;;
11.1. ИНВЕСТИЦИИ В ОСНОВНОЙ КАПИТАЛ;;;;;;;;;;;;;;;;;;;
"(в фактически действовавших ценах; миллионов рублей)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация1);1165234;1504712;1762407;2186365;2865014;3611109;4730023 ;6716222 ;8781616;7976013;9152096;11035652;12586090;13450238;13902645;13897188;14748847 ;16027302;17595028
Центральный федеральный округ;303918;349312;435810;563111;770409;964158;1225593 ;1779599 ;2278329;1928138;2099824;2458312;2961584;3331629;3570432;3578186;3795422 ;4241519;4872564
Белгородская область;9242;14031;10830;15336;22685;35022;52073 ;83510 ;104218;73127;96313;125994;136820;129405;120658;147214;143792 ;142693;134161
Брянская область;2808;3467;4738;6528;6751;8496;12462 ;21010 ;25298;26858;41989;48014;46551;60864;66066;62255;68195 ;55121;59719
Владимирская область;4852;6224;8850;10327;12491;17327;22253 ;37775 ;45056;51546;50088;59769;61013;65354;73927;71513;70717 ;78527;74311
Воронежская область;8262;10409;15964;19756;21845;28652;38867 ;65319 ;94168;94788;125826;155245;182334;216983;240272;264660;270992 ;283652;279213
Ивановская область;2058;2470;3176;5121;8997;12068;14734 ;17416 ;26051;31956;29961;32373;28762;33938;33075;25713;23287 ;30315;29850
Калужская область;5293;6356;7451;9353;10479;13624;18297 ;35012 ;66270;60349;74489;77354;95970;98084;99786;92707;84445 ;89030;86508
Костромская область;4636;4843;6222;5855;12500;14083;11821 ;13919 ;16848;11334;15100;17648;21169;22264;27512;27345;26430 ;21639;22439
Курская область;5425;6646;10413;10112;15198;17864;23241 ;33523 ;46752;41183;46093;58521;66639;71546;73695;73745;93659 ;100895;119892
Липецкая область;6265;8410;10985;17200;26575;30312;44565 ;64707 ;88089;84317;101600;112531;93327;101093;105588;116134;127891 ;142407;128533
Московская область;50729;52701;71787;105176;154969;181260;236931 ;401143 ;481617;380061;394284;449666;516872;587645;644830;623918;621176 ;699918;897801
Орловская область;4881;5141;5132;5950;7812;9610;12715 ;24119 ;27242;19791;21451;34072;40429;43741;47580;47981;43596 ;43670;49547
Рязанская область;6162;9873;7086;9515;18326;23629;25945 ;33630 ;53231;38036;40622;53163;66705;75531;60558;54190;50893 ;62286;56987
Смоленская область;6701;9072;9721;11427;11315;14371;16029 ;25178 ;37562;34633;48833;56872;56435;55931;56587;55043;58728 ;57496;71277
Тамбовская область;2527;3772;5341;8257;11316;14698;19667 ;30861 ;42701;48795;53980;68302;82921;98227;110597;117641;105033 ;111073;93884
Тверская область;9555;10687;14353;22094;29791;23845;24326 ;36384 ;50222;70047;82618;94276;80464;80536;84039;73462;93427 ;100744;104120
Тульская область;10197;7871;9539;13655;14032;20804;24361 ;36208 ;55363;61518;71526;77703;84059;91046;95235;105629;112561 ;128564;154752
Ярославская область;8112;13500;13828;17861;26795;42466;37143 ;44203 ;55174;57377;72291;80386;81019;86348;88541;75437;88363 ;85782;80251
г. Москва;156215;173839;220396;269588;358531;456025;590162 ;775682 ;962468;742422;732761;856424;1220097;1413094;1541884;1543601;1712239 ;2007708;2429320
Северо-Западный федеральный округ;116663;168114;199102;285159;359562;483265;651271 ;832478 ;1040669;933693;1134405;1329968;1485413;1416123;1406454;1437479;1742374 ;1883300;2088934
Республика Карелия;6396;8362;9191;9984;13741;15280;18081 ;19154 ;26133;18692;22798;29641;33947;34204;33400;32738;34700 ;41568;41237
Республика Коми;17098;21697;22059;25422;34481;50409;74170 ;63025 ;83656;109469;112313;202526;232222;199157;201032;169936;200261 ;134152;126595
Архангельская область;10471;15114;23809;28629;32657;47710;88413 ;130642 ;145622;74284;99686;134722;162514;157276;157720;172221;169432 ;215493;191318
в том числе:;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;3828;6990;14156;17182;16393;22466;50091 ;91200 ;87104;36364;42565;44248;59024;61412;78952;114503;85703 ;106578;91156
Архангельская область без автономного округа;;;;;;;;;;;;;;95864;78768;57718;83729 ;108915;100162
Вологодская область;8593;10333;13923;18271;43109;60635;66101 ;79211 ;78448;55794;68569;114958;151023;75421;79732;87114;114155 ;138282;149412
Калинингpадская область;4571;5743;7741;13699;19746;29959;32596 ;46192 ;70811;60463;55877;63171;71757;68702;63716;69015;89462 ;130398;130488
Ленинградская область;19241;32273;28212;49704;68561;82859;127209 ;126296 ;166112;190860;278864;305699;330721;253619;170502;225915;264213 ;337674;466894
Мурманская область;7190;10678;9976;13182;14805;20017;24460 ;26912 ;46844;41722;38611;55970;72449;70579;85845;100418;85495 ;113269;144604
Новгородская область;4767;7956;5008;8976;8795;13996;18954 ;23919 ;33934;35617;39454;38031;45000;53063;61369;69336;78742 ;70832;59629
Псковская область;2446;2791;3135;5614;5905;5547;7603 ;13679 ;16472;12717;16695;24882;33664;28953;29808;27363;27272 ;29267;31351
г. Санкт-Петербург;35891;53169;76046;111678;117762;156854;193684 ;303448 ;372637;334074;401537;360368;352116;475149;523331;483423;678642 ;672365;747407
Южный                федеральный округ;108941;130498;142905;162521;202691;245104;324543 ;496911 ;704183;709382;907962;1079284;1254958;1506034;1383658;1296200;1152832 ;1443288;1406247
Республика Адыгея;1264;1510;1916;2559;2268;3603;4088 ;10973 ;13275;15874;14036;18703;16904;18622;17155;15756;19134 ;20845;31577
