Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
11. ИНВЕСТИЦИИ ;;;;;;;;;;;;;;;;;;;
ИНВЕСТИЦИИ В ОСНОВНОЙ КАПИТАЛ;;;;;;;;;;;;;;;;;;;
11.2. ИНВЕСТИЦИИ В ОСНОВНОЙ КАПИТАЛ на душу населения;;;;;;;;;;;;;;;;;;;
"(в фактически действовавших ценах;  рублей)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;7949;10308;12129;15115;19887;25161;33066 ;47031 ;61521;55860;64068;77194;87891;93725;95165;94922;100555 ;109146;119832 
Центральный федеральный округ;7956;9163;11466;14836;20271;25322;32129 ;46590 ;59585;50344;54697;63866;76709;85979;91819;91683;96928 ;108035;123843 
Белгородская область;6144;9307;7172;10137;14995;23167;34419 ;55045 ;68421;47826;62865;82123;88929;83891;78044;95036;92679 ;91978;86631 
Брянская область;1984;2477;3425;4773;4993;6360;9439 ;16062 ;19478;20814;32780;37810;36974;48764;53375;50641;55754 ;45339;49535 
Владимирская область;3097;4019;5786;6817;8308;11613;15024 ;25675 ;30811;35455;34652;41607;42761;46104;52451;51030;50752 ;56740;54160 
Воронежская область;3397;4319;6691;8332;9232;12126;16488 ;27806 ;40213;40561;53890;66539;78223;93139;103119;113475;116084 ;121500;119793 
Ивановская область;1734;2110;2754;4501;8005;10879;13445 ;16045 ;24172;29837;28160;30625;27353;32444;31803;24882;22686 ;29752;29571 
Калужская область;4969;6025;7136;9036;10178;13286;17908 ;34361 ;65184;59440;73599;76686;95312;97589;99042;91777;83429 ;87856;85586 
Костромская область;6116;6467;8417;8034;17420;19951;17014 ;20271 ;24754;16782;22549;26575;32059;33853;41978;41881;40673 ;33510;35045 
Курская область;4258;5285;8398;8273;12617;15054;19871 ;28981 ;40739;36152;40779;52083;59477;63932;65908;65920;83515 ;90160;107900 
Липецкая область;5089;6869;9036;14237;22111;25339;37382 ;54442 ;74378;71484;86502;96265;80173;87071;91113;100377;110617 ;123487;112048 
Московская область;7662;7971;10855;15830;23116;26812;34764 ;58381 ;69531;54363;55806;62869;73822;82874;89780;85764;84272 ;93780;118890 
Орловская область;5543;5895;5948;6978;9287;11597;15568 ;29839 ;33967;24863;27175;43491;51928;56593;61985;62927;57570 ;58146;66653 
Рязанская область;4864;7899;5750;7818;15210;19788;21891 ;28550 ;45453;32653;35115;46223;58179;66096;53208;47839;45101 ;55410;50981 
Смоленская область;6143;8457;9218;10961;10925;13968;15689 ;24844 ;37380;34742;49429;57933;57714;57569;58558;57234;61437 ;60441;75357 
Тамбовская область;2067;3134;4512;7069;9786;12840;17362 ;27512 ;38396;44209;49312;62886;76839;91600;103781;111365;100481 ;107116;91616 
Тверская область;6238;7099;9707;15167;20685;16746;17288 ;26121 ;36361;51115;60851;70034;60131;60569;63658;56082;71825 ;78076;81551 
Тульская область;5889;4611;5671;8228;8553;12814;15153 ;22715 ;34992;39171;45924;50214;54637;59625;62756;69953;74894 ;85959;104187 
Ярославская область;5795;9740;10083;13174;20020;32140;28432 ;34101 ;42793;44717;56674;63245;63726;67899;69624;59317;69505 ;67640;63558 
г. Москва;15585;17056;21339;25770;33725;42127;53614 ;69636 ;85673;65516;63932;73976;102374;117329;126874;125866;138582 ;161345;193404 
Северо-Западный федеральный округ;8180;11893;14211;20509;26005;35134;47570 ;60996 ;76400;68613;83320;97484;108512;102922;101754;103799;125563 ;135240;149615 
Республика Карелия;8737;11531;12795;14081;19737;22377;26965 ;28924 ;39802;28703;35310;46232;53183;53808;52725;51865;55213 ;66531;66482 
Республика Коми;16278;20937;21567;25222;34781;51812;77756 ;67059 ;90089;119358;124022;226406;262327;227258;231540;197456;234582 ;158626;151510 
