Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
11. ИНВЕСТИЦИИ ;;;;;;;;;
ИНОСТРАННЫЕ ИНВЕСТИЦИИ;;;;;;;;;
 11.4. ПОСТУПЛЕНИЕ ПРЯМЫХ ИНОСТРАННЫХ ИНВЕСТИЦИЙ В РОССИЙСКУЮ ФЕДЕРАЦИЮ1);;;;;;;;;
11.4.1. Сальдо;;;;;;;;;
"(по данным платежного баланса Российской Федерации; миллионов долларов США)";;;;;;;;;
;2011;2012;2013;2014;2015;2016;2017;2018;
Российская Федерация;55084;50588;69219;22031;6853;32539;28557;8816;
Центральный  федеральный округ;43350;38328;43083;11713;-5818;12638;16618;3491;
Белгородская область;-128;-29;1600;-3;-3;-767;26;-17;
Брянская область;1;-59;47;0,0;6;1;0,0;7;
Владимирская область;423;115;-61;-223;17;16;-87;-52;
Воронежская область;257;141;2;2;-21;-38;-278;-9;
Ивановская область;-20;-137;-10;-44;49;61;77;7;
Калужская область;19;11;376;46;365;230;234;96;
Костромская область;201;240;291;711;233;4;53;215;
Курская область;25;-195;86;7;5;1;3;160;
Липецкая область;761;943;856;433;542;800;486;334;
Московская область;2377;2961;866;750;1140;400;138;1511;
Орловская область;-3;116;38;224;-100;-2;-28;20;
Рязанская область;29;-46;-41;23;-5;-15;-2;39;
Смоленская область;165;198;-71;22;162;95;-40;66;
Тамбовская область;-14;-4;9;3;1;18;6;10;
Тверская область;44;123;63;43;124;-108;6;17;
Тульская область;255;-599;240;-201;323;20;187;-145;
Ярославская область;721;-3053;-817;-346;78;112;26;33;
г. Москва;38236;37602;39610;10266;-8732;11809;15809;1198;
Северо-Западный      федеральный округ;5176;7007;7950;-1866;-1621;373;-1469;-927;
Республика Карелия;42;-38;-11;61;82;385;-381;-85;
Республика Коми;-75;110;33;-43;-6;119;10;204;
Архангельская область;151;-75;604;-209;-20;-173;291;-197;
в том числе:;;;;;;;;;
Ненецкий автономный округ;5;-222;99;20;0,0;-1;-82;-160;
Архангельская область    без автономного округа;146;148;505;-229;-20;-172;373;-37;
Вологодская область;1588;1026;268;-74;91;-74;-1584;-472;
Калинингpадская область;123;26;-25;-11;26;41;34;16;
Ленинградская область;-1981;373;572;-237;-1189;680;756;-244;
Мурманская область;-292;-413;-24;95;255;36;14;-368;
Новгородская область;5;376;111;-108;202;153;-33;38;
Псковская область;37;-1;3;1;-32;-3;-14;4;
г. Санкт-Петербург;5576;5623;6419;-1341;-1031;-791;-562;178;
Южный             федеральный округ;512;168;335;46;373;-146;360;584;
Республика Адыгея;108;38;8;0,0;2;105;3;2;
Республика Калмыкия;2;2;12;2;-1;0,0;0,0;4;
Республика Крым;;;;-15;-3;-9;-60;6;
Краснодарский край;164;458;-83;-127;139;-170;685;372;
Астраханская область;63;-13;34;-164;-13;110;11;13;
Волгоградская область;-92;-400;189;163;288;-160;-2;14;
Ростовская область;267;82;175;173;-42;-24;-278;181;
г. Севастополь;;;;-12;4;2;0,0;-7;
Северо-Кавказский   федеральный округ;101;-48;19;142;353;-19;45;-313;
Республика Дагестан;14;30;34;12;11;-6;5;0,0;
Республика Ингушетия;0,0;2;0,2;0,0;0,0;0,0;0,0;0,0;
Кабардино-Балкарская  Республика;0,0;1;4;29;-26;-6;0,0;0,0;
Карачаево-Черкесская  Республика;4;-2;0,2;0,0;0,0;0,0;1;0,0;
Республика Северная Осетия – Алания;2;-43;0,4;2;-19;0,0;0,0;0,0;
Чеченская Республика;1;1;0,0;0,0;127;0,0;10;0,0;
Ставропольский край;80;-36;-19;99;258;-7;29;-313;
Приволжский   федеральный округ;-609;1011;1709;-281;-880;305;483;879;
Республика Башкортостан;270;-546;192;248;15;-177;145;-100;
Республика Марий Эл;10;34;1;0,0;2;6;0,0;0,0;
Республика Мордовия;1;-6;4;0,0;7;-4;-1;0,0;
Республика Татарстан;-62;418;157;236;107;548;105;254;
Удмуртская Республика;73;299;503;194;85;30;-23;143;
Чувашская Республика;3;9;105;45;31;16;-24;-17;
Пермский край;-1115;-405;-860;-1215;-437;-119;443;3;
Кировская область;35;-36;9;4;26;17;16;1;
Нижегородская область;436;328;630;315;281;162;-109;-9;
Оренбургская область;303;92;83;-232;-365;61;27;-25;
Пензенская область;6;52;32;4;6;67;38;14;
Самарская область;-580;674;817;26;-837;-418;-182;601;
Саратовская область;-16;13;-17;-93;-26;44;28;11;
Ульяновская область;28;86;53;188;226;73;21;3;
Уральский   федеральный округ;3059;6172;10914;7494;8653;4645;2721;1279;
Курганская область;27;4;3;-1;3;-5;-1;-5;
Свердловская область;-2263;4624;-359;-448;-969;953;275;2576;
Тюменская область;5384;1293;10542;6955;8899;2722;1360;-1835;
в том числе:;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;18;148;-593;-203;-198;-177;55;38;
Ямало-Ненецкий автономный округ;-34;-1572;67;345;5797;1493;-57;1065;
Тюменская область  без автономных округов;5399;2717;11068;6813;3300;1406;1362;-2938;
Челябинская область;-90;251;728;987;721;975;1087;543;
Сибирский    федеральный округ;1440;-4060;1834;-831;-812;4292;1580;2467;
Республика Алтай;1;-21;0,0;-1;0,0;0,0;0,0;0,0;
Республика Тыва;78;183;22;14;12;-21;-56;-64;
Республика Хакасия;0,0;-111;159;-42;-70;31;-6;100;
Алтайский край;120;-112;13;-7;-57;0,0;5;-4;
Красноярский край;949;639;981;-741;-688;4357;2339;2228;
Иркутская область;-481;-218;56;-19;-190;-119;926;-37;
Кемеровская область;-133;-4753;179;-147;82;64;-1603;384;
Новосибирская область;276;44;359;-51;42;-25;6;-540;
Омская область;-30;50;-17;17;-10;-37;0,0;67;
Томская область;660;238;81;146;67;41;-31;334;
Дальневосточный   федеральный округ;1021;790;1868;4977;7024;10508;8313;1390;
Республика Бурятия;0,0;3;208;-119;25;27;81;28;
Республика Саха (Якутия);223;389;-2390;-388;439;1291;239;-213;
Забайкальский край;70;224;268;41;-78;96;75;63;
Камчатский край;12;-52;-10;42;4;-6;23;1;
Приморский край;-184;302;-60;235;112;436;90;98;
Хабаровский край;219;-207;737;28;-229;310;-19;-353;
Амурская область;691;495;596;707;166;182;61;57;
Магаданская область;291;-1338;696;0,0;2;2;-10;1;
Сахалинская область;-601;1056;1782;4113;6563;8129;7681;1688;
Еврейская автономная область;35;-11;0,0;63;48;19;84;22;
Чукотский автономный округ;264;-70;42;255;-28;21;8;-2;
;;;;;;;;;
Не распределено по субъектам Российской Федерации;1035;1219;1506;665;-421;-55;-94;-35;
?????;;;;;;;;;
1) По данным Банка России. Данные представлены в соответствии с принципом активов/пассивов. Знак (+) означает рост, знак (-) означает снижение.;;;;;;;;;
