Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;
11. ИНВЕСТИЦИИ ;;;;;;;;
ИНОСТРАННЫЕ ИНВЕСТИЦИИ;;;;;;;;
11.4. ПОСТУПЛЕНИЕ ПРЯМЫХ ИНОСТРАННЫХ ИНВЕСТИЦИЙ В РОССИЙСКУЮ ФЕДЕРАЦИЮ1);;;;;;;;
11.4.2. Поступило;;;;;;;;
"(по данным платежного баланса Российской Федерации; миллионов долларов США)";;;;;;;;
;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;235082;161132;193685;146370;133949;137763;150433;140398
Центральный  федеральный округ;172635;95403;121078;89990;79509;78575;101934;84774
Белгородская область;215;154;1839;236;42;32;846;29
Брянская область;2;29;68;8;12;8;5;15
Владимирская область;604;370;238;332;256;242;284;275
Воронежская область;655;491;239;262;166;217;172;210
Ивановская область;7;7;19;24;80;65;85;11
Калужская область;476;943;648;707;1274;1060;1544;1197
Костромская область;370;396;488;999;387;134;261;347
Курская область;34;162;168;66;27;14;28;182
Липецкая область;1263;1140;1110;843;1166;2023;2226;2303
Московская область;6673;7465;6477;7499;8031;8205;9423;8803
Орловская область;90;204;59;251;6;7;10;37
Рязанская область;123;83;27;150;97;59;226;49
Смоленская область;290;220;62;52;274;241;149;255
Тамбовская область;13;24;19;14;9;28;11;50
Тверская область;87;179;104;96;202;70;53;104
Тульская область;546;115;927;426;623;718;833;698
Ярославская область;1316;813;481;224;138;142;452;177
г. Москва;159868;82607;108107;77801;66718;65314;85326;70033
Северо-Западный      федеральный округ;16240;20772;20649;16503;14418;22971;15740;15354
Республика Карелия;205;37;20;215;177;579;170;31
Республика Коми;417;452;412;316;491;411;191;689
Архангельская область;328;428;837;170;91;291;448;30
в том числе:;;;;;;;;
Ненецкий автономный округ;31;58;117;46;30;0,0;0,0;0,0
Архангельская область    без автономного округа;297;371;720;124;61;291;448;30
Вологодская область;1884;3777;1951;2619;1799;7342;2710;2771
Калинингpадская область;195;167;187;130;138;153;316;162
Ленинградская область;2204;2621;3762;4746;3423;5775;5289;4823
Мурманская область;177;28;13;163;415;405;425;62
Новгородская область;234;585;398;218;360;358;280;318
Псковская область;59;48;13;14;15;25;16;13
г. Санкт-Петербург;10536;12629;13058;7912;7509;7632;5896;6454
Южный             федеральный округ;2420;2254;2821;2152;2458;2100;2443;2168
Республика Адыгея;109;39;20;14;4;107;46;2
Республика Калмыкия;3;2;17;2;1;0,0;0,0;4
Республика Крым;;;;13;13;11;18;17
Краснодарский край;1380;1340;1925;888;1519;1338;1809;1210
Астраханская область;64;42;63;30;79;251;24;32
Волгоградская область;159;152;289;417;598;198;345;320
Ростовская область;705;679;507;801;257;191;198;578
г. Севастополь;;;;1;5;3;3;5
Северо-Кавказский   федеральный округ;222;144;67;184;581;388;486;143
Республика Дагестан;18;31;34;12;12;1;6;0,0
Республика Ингушетия;0,0;2;0,2;0,0;0,0;0,0;0,0;0,0
Кабардино-Балкарская  Республика;0,1;1;4;29;0,0;0,0;0,0;0,0
Карачаево-Черкесская  Республика;4;0,0;0,1;0,0;0,0;0,0;1;0,0
Республика Северная Осетия – Алания;2;4;0,4;4;3;2;0,0;0,0
Чеченская Республика;1;1;0,0;0,0;127;0,0;10;0,0
Ставропольский край;196;105;29;139;438;385;469;142
Приволжский   федеральный округ;5261;5252;5936;5025;6556;3351;3190;6787
Республика Башкортостан;490;170;310;405;209;131;258;229
Республика Марий Эл;10;49;9;6;4;7;2;0,0
Республика Мордовия;1;10;5;1;9;6;7;3
Республика Татарстан;322;777;438;540;1314;804;662;577
Удмуртская Республика;621;592;784;350;244;335;206;300
Чувашская Республика;29;19;163;53;43;34;20;128
Пермский край;1137;982;1314;1019;3016;585;475;2963
Кировская область;63;18;15;4;47;18;74;64
Нижегородская область;1141;987;1045;1230;973;709;706;741
Оренбургская область;436;249;292;140;54;112;51;22
Пензенская область;33;101;52;44;21;75;61;58
Самарская область;771;1143;1372;843;275;262;385;1340
Саратовская область;144;49;71;171;84;124;124;55
Ульяновская область;63;108;67;218;264;148;160;306
Уральский   федеральный округ;21027;22997;15742;16966;14753;10683;7500;16790
Курганская область;64;9;7;5;36;9;2;1
Свердловская область;1299;5169;1081;1441;1388;1590;1425;3904
Тюменская область;18790;16304;13567;14100;12476;7307;4286;11413
в том числе:;;;;;;;;
Ханты-Мансийский автономный округ – Югра;118;329;412;467;300;142;626;312
Ямало-Ненецкий автономный округ;1520;1365;1817;2416;6817;2763;1520;9763
Тюменская область  без автономных округов;17153;14610;11339;11217;5359;4402;2140;1338
Челябинская область;873;1515;1087;1421;853;1777;1788;1472
Сибирский    федеральный округ;4886;3915;14359;4029;3946;7060;7866;8189
Республика Алтай;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Республика Тыва;81;328;43;124;18;109;99;80
Республика Хакасия;190;2;200;11;5;172;3;152
Алтайский край;344;17;42;18;9;37;45;70
Красноярский край;1738;1238;11472;1778;2507;5424;4785;5904
Иркутская область;357;249;325;472;44;35;1221;328
Кемеровская область;833;970;1327;478;699;872;1426;762
Новосибирская область;449;626;610;778;260;184;179;426
Омская область;137;70;26;48;19;32;5;115
Томская область;757;414;314;322;385;193;104;353
Дальневосточный   федеральный округ;8317;7774;8423;8366;10809;11877;10417;5624
Республика Бурятия;1;5;274;7;30;75;86;35
Республика Саха (Якутия);704;1384;379;228;964;1347;335;349
Забайкальский край;88;242;332;111;203;207;154;241
Камчатский край;13;17;12;47;7;2;24;1
Приморский край;485;565;370;717;699;872;831;488
Хабаровский край;322;75;1070;108;65;544;283;200
Амурская область;802;717;762;1005;633;360;471;288
Магаданская область;297;27;761;0,0;758;7;8;5
Сахалинская область;4771;4662;4421;5825;7197;8295;7874;3606
Еврейская автономная область;114;1;0,0;63;49;19;220;162
Чукотский автономный округ;720;80;42;256;204;149;131;250
;;;;;;;;
Не распределено по субъектам Российской Федерации;4073;2620;4609;3140;901;757;857;569
?????;;;;;;;;
1) По данным Банка России. Данные представлены в соответствии с принципом активов/пассивов. Знак (+) означает рост, знак (-) означает снижение.;;;;;;;;
