Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
12. ПРЕДПРИЯТИЯ И ОРГАНИЗАЦИИ;;;;;;;;;;;;;;;;;;;
ФИНАНСОВЫЕ РЕЗУЛЬТАТЫ ДЕЯТЕЛЬНОСТИ ОРГАНИЗАЦИЙ ;;;;;;;;;;;;;;;;;;;
12.10. ПРОСРОЧЕННАЯ ЗАДОЛЖЕННОСТЬ ПО ЗАРАБОТНОЙ ПЛАТЕ РАБОТНИКАМ ОРГАНИЗАЦИЙ1);;;;;;;;;;;;;;;;;;;
"(на конец года; миллионов рублей)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;31690;29943;30575;24430;12206;5756;4159;2668;4674;3565;2400;1766;1560;1949;2006;3572;2725;2487;2420
Центральный     федеральный округ;4554;4463;5203;4585;2316;1125;488;250;1108;554;517;324;359;399;423;477;326;425;470
Белгородская область;229;225;230;107;38;11;9;5;39;22;23;17;7;5;5;7;11;0,3;4
Брянская область;291;272;303;315;198;99;22;6;106;37;34;4;1;20;57;15;29;30;23
Владимирская область;190;169;207;244;159;43;19;3;9;21;15;16;2;3;2;-;-;-;-
Воронежская область;764;694;772;621;228;45;9;30;80;16;26;0,1;16;2;-;2;2;24;23
Ивановская область;167;127;112;112;77;44;44;34;117;75;13;-;1;-;33;57;2;33;20
Калужская область;79;80;85;77;23;16;7;6;28;30;25;27;58;80;67;60;49;73;73
Костромская область;169;143;132;138;116;41;38;12;45;37;30;10;4;3;33;17;-;3;9
Курская область;329;422;504;468;112;48;9;7;31;15;20;58;6;3;3;-;-;-;15
Липецкая область;263;272;320;217;37;23;13;6;37;18;9;-;-;6;8;4;1;2;0,1
Московская область;394;377;446;278;119;89;21;34;248;12;12;68;73;70;10;1;11;83;12
Орловская область;79;112;186;91;81;65;31;5;72;29;10;0,2;4;10;1;26;67;63;2
Рязанская область;151;128;152;137;65;38;13;6;41;8;12;3;2;4;8;8;12;10;13
Смоленская область;103;127;118;139;64;22;15;2;10;18;32;26;5;6;25;22;28;15;14
Тамбовская область;289;324;391;370;141;49;-;-;6;3;-;-;-;8;-;2;0,4;6;9
Тверская область;176;181;249;235;119;76;45;16;13;37;15;9;-;59;94;50;32;36;38
Тульская область;377;386;455;607;310;170;136;2;63;44;103;14;11;6;8;11;54;0,5;-
Ярославская область;94;94;74;76;77;80;35;22;76;61;32;29;39;12;58;27;14;2;8
г. Москва;409;327;467;354;352;166;22;56;88;71;107;42;130;102;11;167;14;43;208
Северо-Западный   федеральный округ;2652;2704;2806;2320;1033;270;97;47;230;815;302;242;169;339;424;1214;476;507;415
Республика Карелия;101;111;116;128;128;76;28;8;13;34;32;14;17;56;45;35;34;88;66
Республика Коми;993;969;1246;748;301;17;19;5;3;0,4;6;8;25;8;6;40;26;31;35
Архангельская область;409;405;331;384;161;54;19;9;1;55;47;24;50;59;77;38;36;27;57
в том числе: ;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;2;5;17;38;21;10;2;1;1;3;1;-;-;-;-;0,2;8;9;35
Архангельская область     без автономного округа;407;399;315;345;140;44;17;8;-;52;46;24;50;59;77;38;28;18;22
Вологодская область;91;124;137;93;48;18;4;1;34;30;20;4;7;101;72;78;39;2;15
