Социально-экономические показатели по субъектам Российской Федерации;;;;;;
12. ПРЕДПРИЯТИЯ И ОРГАНИЗАЦИИ;;;;;;
ИНДИВИДУАЛЬНОЕ ПРЕДПРИНИМАТЕЛЬСТВО;;;;;;
12.13. ИТОГИ СПЛОШНЫХ НАБЛЮДЕНИЙ;;;;;;
12.13.2. Число индивидуальных предпринимателей на 10 000 человек населения в 2010, 2015 гг.1);;;;;;
;;;;;;
;2010;2015;;;;
Российская Федерация;205;191;;;;
"Центральный
федеральный округ";163;154;;;;
Белгородская область;297;283;;;;
Брянская область;332;223;;;;
Владимирская область;259;221;;;;
Воронежская область;221;216;;;;
Ивановская область;252;213;;;;
Калужская область;211;214;;;;
Костромская область;260;217;;;;
Курская область;283;241;;;;
Липецкая область;273;216;;;;
Московская область ;80;132;;;;
Орловская область;242;221;;;;
Рязанская область;216;189;;;;
Смоленская область;223;188;;;;
Тамбовская область;232;196;;;;
Тверская область;213;190;;;;
Тульская область;239;238;;;;
Ярославская область;253;151;;;;
г. Москва;64;72;;;;
"Северо-Западный
федеральный округ";189;164;;;;
Республика Карелия;214;186;;;;
Республика Коми;226;223;;;;
Архангельская область;196;224;;;;
в том числе: ;;;;;;
Ненецкий автономный округ;238;238;;;;
Архангельская область              без автономного округа;194;224;;;;
Вологодская область;287;173;;;;
Калинингpадская область;308;247;;;;
Ленинградская область;156;161;;;;
Мурманская область;183;177;;;;
Новгородская область;232;215;;;;
Псковская область;224;185;;;;
г. Санкт-Петербург;133;112;;;;
Южный                         федеральный округ;290;292;;;;
Республика Адыгея;333;276;;;;
Республика Калмыкия;266;265;;;;
Республика Крым;;287;;;;
Краснодарский край;336;356;;;;
Астраханская область;304;237;;;;
Волгоградская область;258;204;;;;
Ростовская область;249;277;;;;
г. Севастополь;;325;;;;
Северо-Кавказский федеральный округ;229;186;;;;
Республика Дагестан;116;108;;;;
Республика Ингушетия;214;117;;;;
Кабардино-Балкарская Республика;316;203;;;;
Карачаево-Черкесская Республика;276;220;;;;
Республика Северная Осетия – Алания;262;181;;;;
Чеченская Республика;218;159;;;;
Ставропольский край;315;286;;;;
Приволжский                 федеральный округ;198;189;;;;
Республика Башкортостан;196;187;;;;
Республика Марий Эл;153;162;;;;
Республика Мордовия;227;200;;;;
Республика Татарстан;200;191;;;;
Удмуртская Республика;225;191;;;;
Чувашская Республика;317;223;;;;
Пермский край;163;212;;;;
Кировская область;277;227;;;;
Нижегородская область;143;149;;;;
Оренбургская область;251;198;;;;
Пензенская область;253;237;;;;
Самарская область;176;136;;;;
Саратовская область;153;202;;;;
Ульяновская область;189;211;;;;
"Уральский            
федеральный округ";210;191;;;;
Курганская область;207;168;;;;
Свердловская область;196;200;;;;
Тюменская область;236;211;;;;
в том числе:;;;;;;
Ханты-Мансийский      автономный округ – Югра;206;228;;;;
Ямало-Ненецкий автономный округ;213;164;;;;
Тюменская область     без автономных округов;281;210;;;;
Челябинская область;203;164;;;;
"Сибирский           
федеральный округ";213;188;;;;
Республика Алтай;395;295;;;;
Республика Тыва;298;183;;;;
Республика Хакасия;273;251;;;;
Алтайский край;253;203;;;;
Красноярский край;187;199;;;;
Иркутская область;185;160;;;;
Кемеровская область;173;149;;;;
Новосибирская область;203;194;;;;
Омская область;249;204;;;;
Томская область;236;198;;;;
"Дальневосточный 
федеральный округ";254;220;;;;
Республика Бурятия;272;181;;;;
Республика Саха (Якутия);377;352;;;;
Забайкальский край;258;164;;;;
Камчатский край;320;252;;;;
Приморский край;234;220;;;;
Хабаровский край;168;164;;;;
Амурская область;214;204;;;;
Магаданская область;324;377;;;;
Сахалинская область;312;289;;;;
Еврейская автономная область;177;195;;;;
Чукотский автономный округ;163;193;;;;
?????;;;;;;
1) По данным сплошных федеральных статистических наблюдений за деятельностью субъектов малого и среднего предпринимательства. ;;;;;;
