Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;
12. ПРЕДПРИЯТИЯ И ОРГАНИЗАЦИИ;;;;;;;;;;;;;;
МАЛОЕ ПРЕДПРИНИМАТЕЛЬСТВО;;;;;;;;;;;;;;
12.3. ИТОГИ ВЫБОРОЧНЫХ ОБСЛЕДОВАНИЙ;;;;;;;;;;;;;;
12.3.1. Число малых предприятий1);;;;;;;;;;;;;;
(тысяч);;;;;;;;;;;;;;
;2011;2012;2013;2014;2016 2);2017 3);2018 4);;;;;;;
Российская Федерация;1836,4;2003,0;2063,1;2103,8;2770,6;2754,6;2659,9;;;;;;;
"Центральный
федеральный округ";545,5;564,6;572,0;574,1;939,1;974,2;937,3;;;;;;;
Белгородская область;18,6;21,9;24,7;24,4;24,5;23,3;22,4;;;;;;;
Брянская область;11,2;11,4;11,8;12,3;13,9;13,0;12,5;;;;;;;
Владимирская область;19,3;17,8;18,9;18,4;20,4;19,4;18,5;;;;;;;
Воронежская область;22,9;22,1;22,7;23,3;38,0;36,9;35,8;;;;;;;
Ивановская область;17,0;18,2;19,7;20,6;21,7;20,7;20,4;;;;;;;
Калужская область;11,5;12,5;13,0;13,6;15,6;14,6;14,3;;;;;;;
Костромская область;7,9;8,4;8,6;6,7;9,6;9,9;9,4;;;;;;;
Курская область;8,8;10,0;10,3;10,5;11,1;11,1;11,9;;;;;;;
Липецкая область;12,0;12,3;13,0;14,7;14,2;14,4;13,3;;;;;;;
Московская область ;72,8;75,0;76,8;77,7;121,7;126,7;129,2;;;;;;;
Орловская область;7,1;7,8;7,3;7,8;9,9;9,1;8,8;;;;;;;
Рязанская область;13,0;14,8;15,6;16,9;20,5;18,8;17,6;;;;;;;
Смоленская область;13,3;13,6;13,1;13,4;17,4;17,1;16,9;;;;;;;
Тамбовская область;8,4;8,6;8,6;8,7;10,7;11,0;10,4;;;;;;;
Тверская область;12,1;18,8;18,2;17,1;21,8;20,6;20,1;;;;;;;
Тульская область;19,7;23,2;22,1;20,8;22,9;22,1;21,6;;;;;;;
Ярославская область;26,1;26,9;25,6;21,9;28,7;28,6;27,7;;;;;;;
г. Москва;244,0;241,3;242,0;245,5;516,4;556,9;526,9;;;;;;;
"Северо-Западный
федеральный округ";259,9;323,7;330,5;332,6;371,5;379,1;368,9;;;;;;;
Республика Карелия;9,1;9,3;11,7;9,3;12,7;12,8;12,5;;;;;;;
Республика Коми;11,6;12,2;12,9;13,0;10,9;11,1;10,7;;;;;;;
Архангельская область;12,6;14,7;17,4;14,6;14,6;14,5;13,8;;;;;;;
в том числе: ;;;;;;;;;;;;;;
Ненецкий автономный округ;0,3;0,4;0,5;0,4;0,4;0,4;0,4;;;;;;;
Архангельская область без автономного округа;12,3;14,3;16,9;14,2;14,2;14,1;13,5;;;;;;;
Вологодская область;10,0;10,1;11,1;12,6;23,2;26,4;25,8;;;;;;;
Калинингpадская область;19,2;24,3;21,5;21,8;28,3;32,7;31,5;;;;;;;
Ленинградская область;14,6;20,5;20,4;19,9;17,9;17,2;17,7;;;;;;;
Мурманская область;6,1;6,1;6,0;5,9;11,8;11,6;10,9;;;;;;;
Новгородская область;7,2;7,8;8,7;9,6;7,9;8,0;7,9;;;;;;;
Псковская область;6,2;7,4;8,0;8,3;9,9;9,9;9,9;;;;;;;
г. Санкт-Петербург;163,3;211,3;212,7;217,7;234,4;234,8;228,3;;;;;;;
Южный        федеральный округ;147,4;152,0;155,7;179,2;226,3;209,7;203,4;;;;;;;
Республика Адыгея;3,6;3,7;3,7;4,0;4,5;3,8;3,7;;;;;;;
Республика Калмыкия;0,9;0,9;1,0;1,1;1,5;1,9;1,7;;;;;;;
Республика Крым;;;;12,9;22,2;22,3;22,3;;;;;;;
Краснодарский край;54,7;54,9;59,0;62,8;90,3;81,1;79,2;;;;;;;
Астраханская область;8,7;9,1;9,2;10,0;10,1;10,0;9,5;;;;;;;
Волгоградская область;24,9;27,1;28,0;28,7;33,8;28,6;26,6;;;;;;;
Ростовская область;54,6;56,3;54,7;54,4;56,5;54,2;52,6;;;;;;;
г. Севастополь;;;;5,3;7,5;7,9;7,9;;;;;;;
Северо-Кавказский федеральный округ;47,6;50,4;53,0;53,5;53,9;48,1;46,9;;;;;;;
Республика Дагестан;5,6;7,7;7,8;7,0;7,8;6,3;6,2;;;;;;;
Республика Ингушетия;0,8;1,3;2,7;3,6;1,5;1,5;1,8;;;;;;;
Кабардино-Балкарская Республика;4,2;4,3;4,3;4,3;5,3;5,0;4,9;;;;;;;
Карачаево-Черкесская Республика;2,5;2,6;3,7;3,7;3,4;2,5;2,6;;;;;;;
Республика Северная Осетия – Алания;5,0;6,2;6,5;5,8;5,3;4,0;4,1;;;;;;;
Чеченская Республика;6,9;6,3;5,2;5,7;4,8;2,9;2,8;;;;;;;
Ставропольский край;22,7;22,0;22,7;23,4;25,8;26,0;24,6;;;;;;;
Приволжский федеральный округ;336,2;358,5;374,2;368,8;484,0;472,3;459,5;;;;;;;
Республика Башкортостан;32,4;38,9;40,8;41,6;49,6;51,8;50,9;;;;;;;
Республика Марий Эл;7,0;7,6;8,7;9,5;11,0;9,7;9,0;;;;;;;
Республика Мордовия;6,3;7,1;6,8;7,1;7,7;7,1;6,8;;;;;;;
Республика Татарстан;45,9;47,9;49,6;48,8;74,6;75,1;72,8;;;;;;;
Удмуртская Республика;20,0;19,6;20,3;21,6;27,6;25,6;25,0;;;;;;;
Чувашская Республика;14,2;14,0;14,6;15,8;17,5;16,4;15,6;;;;;;;
Пермский край;36,4;34,2;35,3;35,5;60,8;48,3;44,9;;;;;;;
Кировская область;17,7;19,9;22,1;23,9;25,4;22,9;21,4;;;;;;;
Нижегородская область;41,3;38,4;38,6;35,8;51,3;61,6;62,0;;;;;;;
Оренбургская область;17,2;18,1;18,9;19,3;20,8;21,4;20,5;;;;;;;
Пензенская область;12,7;17,3;17,5;16,2;16,9;15,8;15,3;;;;;;;
Самарская область;47,8;52,0;53,3;46,9;70,3;69,1;68,7;;;;;;;
Саратовская область;23,4;27,7;30,7;30,9;31,1;28,7;28,0;;;;;;;
Ульяновская область;13,7;15,8;17,1;16,0;19,6;18,8;18,6;;;;;;;
Уральский     федеральный округ;173,5;183,5;191,6;200,0;254,5;242,2;229,1;;;;;;;
Курганская область;6,1;7,2;7,4;7,3;8,4;8,2;7,8;;;;;;;
