Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
12. ПРЕДПРИЯТИЯ И ОРГАНИЗАЦИИ;;;;;;;;;
МАЛОЕ ПРЕДПРИНИМАТЕЛЬСТВО;;;;;;;;;
12.3. ИТОГИ ВЫБОРОЧНЫХ ОБСЛЕДОВАНИЙ;;;;;;;;;
12.3.3. Среднесписочная численность работников  (без внешних совместителей)1);;;;;;;;;
(тысяч человек);;;;;;;;;
;2011;2012;2013;2014;2016 2);2017 3);2018;;
Российская Федерация;10421,9;10755,7;10775,2;10789,5;10055,9;10854,7;10719,9;;
"Центральный
федеральный округ";3165,3;3372,3;3377,6;3304,0;3095,4;3378,7;3423,9;;
Белгородская область;102,0;103,3;103,9;105,4;104,6;108,1;109,1;;
Брянская область;74,5;75,8;74,9;75,6;62,7;74,1;73,8;;
Владимирская область;118,3;115,8;116,0;112,1;106,8;109,2;105,2;;
Воронежская область;217,1;196,4;200,5;178,2;194,3;210,5;208,5;;
Ивановская область;86,5;91,1;95,4;92,5;88,3;89,3;85,8;;
Калужская область;74,9;90,0;93,6;95,0;79,4;79,9;78,5;;
Костромская область;53,5;53,3;52,2;46,7;43,1;46,4;47,5;;
Курская область;54,7;56,0;59,3;55,3;56,2;56,6;60,5;;
Липецкая область;85,9;87,9;96,8;102,5;83,4;84,9;81,6;;
Московская область;469,5;470,5;475,5;472,7;485,7;526,9;550,8;;
Орловская область;47,9;49,3;49,1;46,9;42,8;47,4;41,5;;
Рязанская область;90,7;84,4;84,7;69,5;70,9;79,6;86,6;;
Смоленская область;81,7;75,8;79,2;77,6;75,9;76,4;74,0;;
Тамбовская область;62,2;62,7;62,1;59,7;56,8;56,0;53,9;;
Тверская область;88,2;84,2;84,7;84,0;76,0;95,0;94,7;;
Тульская область;106,5;106,7;103,4;100,0;102,9;109,1;108,3;;
Ярославская область;89,9;103,2;98,6;90,3;80,2;85,4;99,5;;
г. Москва;1261,3;1465,7;1447,7;1439,9;1285,5;1443,9;1464,0;;
"Северо-Западный
федеральный округ";1252,5;1248,3;1261,4;1268,6;1217,4;1274,6;1255,8;;
Республика Карелия;49,0;53,2;52,3;47,5;36,4;51,2;47,0;;
Республика Коми;64,3;59,1;57,7;50,9;43,4;45,8;46,6;;
Архангельская область;80,3;64,2;65,6;66,2;61,7;66,9;62,9;;
в том числе: ;;;;;;;;;
Ненецкий автономный округ;2,2;2,2;2,1;2,0;1,8;1,8;1,6;;
Архангельская область без автономного округа;78,1;62,0;63,5;64,2;60,0;65,1;61,2;;
Вологодская область;93,1;94,7;96,2;95,5;96,2;91,9;90,5;;
Калинингpадская область;72,8;83,0;90,0;115,5;123,0;124,8;123,7;;
Ленинградская область;118,5;119,9;118,3;118,1;115,5;114,5;115,5;;
