Итоги выборочных обследований;;;;;;;
12. ПРЕДПРИЯТИЯ И ОРГАНИЗАЦИИ;;;;;;;
МАЛОЕ ПРЕДПРИНИМАТЕЛЬСТВО;;;;;;;
12.4. ИТОГИ СПЛОШНЫХ НАБЛЮДЕНИЙ;;;;;;;
12.4.1. Число малых предприятий в 2010, 2015 гг.1);;;;;;;
(тысяч);;;;;;;
;2010;2015;;;;;
Российская Федерация;1644,3;2222,4;;;;;
"Центральный
федеральный округ";484,5;643,0;;;;;
Белгородская область;17,0;21,2;;;;;
Брянская область;11,1;12,4;;;;;
Владимирская область;17,5;20,0;;;;;
Воронежская область;20,1;32,9;;;;;
Ивановская область;16,7;18,3;;;;;
Калужская область;10,7;13,5;;;;;
Костромская область;7,2;9,3;;;;;
Курская область;8,0;11,2;;;;;
Липецкая область;10,9;13,5;;;;;
Московская область ;68,0;85,5;;;;;
Орловская область;7,2;8,4;;;;;
Рязанская область;12,2;17,1;;;;;
Смоленская область;12,4;14,0;;;;;
Тамбовская область;8,3;9,6;;;;;
Тверская область;13,3;17,8;;;;;
Тульская область;18,4;21,1;;;;;
Ярославская область;23,6;22,0;;;;;
г. Москва;201,8;295,2;;;;;
"Северо-Западный
федеральный округ";221,2;294,1;;;;;
Республика Карелия;7,6;12,6;;;;;
Республика Коми;11,3;12,2;;;;;
Архангельская область;11,8;14,1;;;;;
в том числе: ;;;;;;;
Ненецкий автономный округ;0,4;0,4;;;;;
Архангельская область без автономного округа;11,4;13,7;;;;;
Вологодская область;14,5;18,9;;;;;
Калинингpадская область;22,4;27,0;;;;;
Ленинградская область;12,9;17,6;;;;;
Мурманская область;9,1;10,7;;;;;
Новгородская область;6,8;7,3;;;;;
Псковская область;5,5;8,0;;;;;
г. Санкт-Петербург;119,4;165,6;;;;;
"Южный 
федеральный округ";135,3;200,3;;;;;
Республика Адыгея;3,4;4,2;;;;;
Республика Калмыкия;1,6;1,8;;;;;
Республика Крым;;17,2;;;;;
Краснодарский край;56,5;81,8;;;;;
Астраханская область;9,7;10,3;;;;;
Волгоградская область;26,7;31,4;;;;;
Ростовская область;37,4;47,9;;;;;
г. Севастополь;;5,7;;;;;
Северо-Кавказский федеральный округ;41,5;49,6;;;;;
Республика Дагестан;3,4;4,6;;;;;
Республика Ингушетия;0,6;2,9;;;;;
Кабардино-Балкарская Республика;3,6;4,1;;;;;
Карачаево-Черкесская Республика;2,8;2,9;;;;;
Республика Северная Осетия – Алания;4,0;4,7;;;;;
Чеченская Республика;5,0;4,1;;;;;
Ставропольский край;22,2;26,1;;;;;
"Приволжский 
федеральный округ";301,1;425,0;;;;;
Республика Башкортостан;32,5;46,4;;;;;
Республика Марий Эл;6,4;9,7;;;;;
Республика Мордовия;5,6;6,4;;;;;
Республика Татарстан;41,5;70,8;;;;;
Удмуртская Республика;17,6;23,5;;;;;
Чувашская Республика;11,8;15,2;;;;;
Пермский край;27,3;58,0;;;;;
Кировская область;15,8;22,9;;;;;
Нижегородская область;34,3;41,5;;;;;
Оренбургская область;18,5;19,3;;;;;
Пензенская область;13,0;15,0;;;;;
Самарская область;41,9;54,1;;;;;
Саратовская область;21,8;25,9;;;;;
Ульяновская область;13,1;16,2;;;;;
"Уральский 
федеральный округ";148,4;208,6;;;;;
Курганская область;6,7;7,4;;;;;
Свердловская область;63,0;87,3;;;;;
Тюменская область;39,5;56,7;;;;;
в том числе:;;;;;;;
Ханты-Мансийский    автономный округ – Югра;12,9;21,2;;;;;
Ямало-Ненецкий автономный округ;4,1;4,1;;;;;
Тюменская область    без автономных округов;22,5;31,3;;;;;
Челябинская область;39,1;57,1;;;;;
"Сибирский 
федеральный округ";217,6;278,7;;;;;
Республика Алтай;2,2;2,9;;;;;
Республика Тыва;1,2;1,3;;;;;
Республика Хакасия;4,9;6,3;;;;;
Алтайский край;26,6;32,6;;;;;
Красноярский край;32,6;46,7;;;;;
Иркутская область;23,4;34,2;;;;;
Кемеровская область;26,7;30,7;;;;;
Новосибирская область;63,9;78,7;;;;;
Омская область;21,2;27,3;;;;;
Томская область;14,8;18,1;;;;;
Дальневосточный федеральный округ;94,6;123,0;;;;;
Республика Бурятия;8,6;10,8;;;;;
Республика Саха (Якутия);10,1;11,7;;;;;
Забайкальский край;5,5;7,4;;;;;
Камчатский край;5,0;6,1;;;;;
Приморский край;29,6;38,8;;;;;
Хабаровский край;18,7;26,3;;;;;
Амурская область;5,8;8,8;;;;;
Магаданская область;2,3;2,5;;;;;
Сахалинская область;7,5;8,8;;;;;
Еврейская автономная область;1,3;1,5;;;;;
Чукотский автономный округ;0,3;0,3;;;;;
?????;;;;;;;
1) По данным сплошных федеральных статистических наблюдений за деятельностью субъектов  малого и среднего предпринимательства.;;;;;;;
