Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
12. ПРЕДПРИЯТИЯ И ОРГАНИЗАЦИИ;;;;;;;;;
МАЛОЕ ПРЕДПРИНИМАТЕЛЬСТВО;;;;;;;;;
12.4. ИТОГИ СПЛОШНЫХ НАБЛЮДЕНИЙ;;;;;;;;;
12.4.2. Число малых предприятий на 10 000 человек населения в 2010, 2015 гг.1);;;;;;;;;
;;;;;;;;;
;2010;2015;;;;;;;
Российская Федерация;115;152;;;;;;;
"Центральный
федеральный округ";126;164;;;;;;;
Белгородская область;111;137;;;;;;;
Брянская область;87;101;;;;;;;
Владимирская область;121;143;;;;;;;
Воронежская область;86;141;;;;;;;
Ивановская область;158;178;;;;;;;
Калужская область;106;134;;;;;;;
Костромская область;109;143;;;;;;;
Курская область;71;100;;;;;;;
Липецкая область;93;117;;;;;;;
Московская область ;96;117;;;;;;;
Орловская область;92;111;;;;;;;
Рязанская область;106;151;;;;;;;
Смоленская область;126;146;;;;;;;
Тамбовская область;76;91;;;;;;;
Тверская область;98;137;;;;;;;
Тульская область;119;140;;;;;;;
Ярославская область;186;173;;;;;;;
г. Москва;175;239;;;;;;;
"Северо-Западный
федеральный округ";163;212;;;;;;;
Республика Карелия;118;201;;;;;;;
Республика Коми;126;142;;;;;;;
Архангельская область;96;120;;;;;;;
в том числе: ;;;;;;;;;
Ненецкий автономный округ;84;99;;;;;;;
Архангельская область без автономного округа;97;121;;;;;;;
Вологодская область;121;159;;;;;;;
Калинингpадская область;238;277;;;;;;;
Ленинградская область;75;99;;;;;;;
Мурманская область;114;140;;;;;;;
Новгородская область;107;119;;;;;;;
Псковская область;81;124;;;;;;;
г. Санкт-Петербург;245;317;;;;;;;
"Южный 
федеральный округ";98;122;;;;;;;
Республика Адыгея;77;93;;;;;;;
Республика Калмыкия;56;63;;;;;;;
Республика Крым;;90;;;;;;;
Краснодарский край;108;148;;;;;;;
Астраханская область;96;101;;;;;;;
Волгоградская область;102;123;;;;;;;
Ростовская область;87;113;;;;;;;
г. Севастополь;;137;;;;;;;
"Северо-Кавказский 
федеральный округ";44;51;;;;;;;
Республика Дагестан;11;15;;;;;;;
Республика Ингушетия;14;62;;;;;;;
Кабардино-Балкарская Республика;42;47;;;;;;;
Карачаево-Черкесская Республика;58;63;;;;;;;
Республика Северная Осетия – Алания;56;67;;;;;;;
Чеченская Республика;39;30;;;;;;;
Ставропольский край;80;93;;;;;;;
"Приволжский 
федеральный округ";101;143;;;;;;;
Республика Башкортостан;80;114;;;;;;;
Республика Марий Эл;92;141;;;;;;;
Республика Мордовия;68;79;;;;;;;
Республика Татарстан;110;183;;;;;;;
Удмуртская Республика;116;155;;;;;;;
Чувашская Республика;95;123;;;;;;;
Пермский край;104;220;;;;;;;
Кировская область;118;176;;;;;;;
Нижегородская область;104;127;;;;;;;
Оренбургская область;91;97;;;;;;;
Пензенская область;94;111;;;;;;;
Самарская область;130;169;;;;;;;
Саратовская область;87;104;;;;;;;
Ульяновская область;101;129;;;;;;;
"Уральский     
федеральный округ";123;169;;;;;;;
Курганская область;74;86;;;;;;;
Свердловская область;147;202;;;;;;;
Тюменская область;116;157;;;;;;;
в том числе:;;;;;;;;;
Ханты-Мансийский    автономный округ – Югра;84;131;;;;;;;
Ямало-Ненецкий автономный округ;78;78;;;;;;;
Тюменская область    без автономных округов;168;215;;;;;;;
Челябинская область;113;163;;;;;;;
"Сибирский 
федеральный округ";127;161;;;;;;;
Республика Алтай;108;134;;;;;;;
Республика Тыва;40;40;;;;;;;
Республика Хакасия;92;117;;;;;;;
Алтайский край;110;137;;;;;;;
Красноярский край;115;163;;;;;;;
Иркутская область;96;142;;;;;;;
Кемеровская область;97;113;;;;;;;
Новосибирская область;240;285;;;;;;;
Омская область;107;138;;;;;;;
Томская область;141;168;;;;;;;
"Дальневосточный 
федеральный округ";113;149;;;;;;;
Республика Бурятия;88;110;;;;;;;
Республика Саха (Якутия);105;122;;;;;;;
Забайкальский край;50;69;;;;;;;
Камчатский край;154;193;;;;;;;
Приморский край;152;201;;;;;;;
Хабаровский край;139;197;;;;;;;
Амурская область;70;109;;;;;;;
Магаданская область;147;173;;;;;;;
Сахалинская область;151;180;;;;;;;
Еврейская автономная область;72;92;;;;;;;
Чукотский автономный округ;64;69;;;;;;;
?????;;;;;;;;;
1) По данным сплошных федеральных статистических наблюдений за деятельностью субъектов  малого и среднего предпринимательства.;;;;;;;;;
