Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;
12. ПРЕДПРИЯТИЯ И ОРГАНИЗАЦИИ;;;;;;;;
МАЛОЕ ПРЕДПРИНИМАТЕЛЬСТВО;;;;;;;;
12.4. ИТОГИ СПЛОШНЫХ НАБЛЮДЕНИЙ;;;;;;;;
12.4.4. Выручка от реализации товаров (работ, услуг) малых предприятий  в 2010, 2015 гг.1);;;;;;;;
(миллиардов рублей);;;;;;;;
;2010;2015;;;;;;
Российская Федерация;18933,8;44124,3;;;;;;
"Центральный
федеральный округ";7058,8;16412,7;;;;;;
Белгородская область;158,4;465,9;;;;;;
Брянская область;103,9;195,5;;;;;;
Владимирская область;159,4;265,3;;;;;;
Воронежская область;284,2;853,7;;;;;;
Ивановская область;130,5;326,4;;;;;;
Калужская область;118,2;232,2;;;;;;
Костромская область;67,4;135,3;;;;;;
Курская область;80,0;179,3;;;;;;
Липецкая область;128,0;250,5;;;;;;
Московская область ;966,9;1941,7;;;;;;
Орловская область;57,5;128,3;;;;;;
Рязанская область;121,7;313,2;;;;;;
Смоленская область;115,2;264,6;;;;;;
Тамбовская область;82,6;191,3;;;;;;
Тверская область;138,1;273,2;;;;;;
Тульская область;163,4;350,7;;;;;;
Ярославская область;186,1;408,8;;;;;;
г. Москва;3997,6;9636,8;;;;;;
"Северо-Западный
федеральный округ";2471,5;6933,2;;;;;;
Республика Карелия;69,7;125,5;;;;;;
Республика Коми;106,9;147,3;;;;;;
Архангельская область;121,4;197,5;;;;;;
в том числе: ;;;;;;;;
Ненецкий автономный округ;4,0;6,3;;;;;;
Архангельская область без автономного округа;117,4;191,2;;;;;;
Вологодская область;146,3;308,5;;;;;;
Калинингpадская область;156,3;363,0;;;;;;
Ленинградская область;161,7;330,4;;;;;;
Мурманская область;99,6;202,9;;;;;;
Новгородская область;61,4;97,5;;;;;;
Псковская область;63,9;124,0;;;;;;
г. Санкт-Петербург;1484,3;5036,6;;;;;;
"Южный 
федеральный округ";1325,2;3059,8;;;;;;
Республика Адыгея;32,0;54,7;;;;;;
Республика Калмыкия;9,4;19,3;;;;;;
Республика Крым;;180,5;;;;;;
Краснодарский край;514,6;1297,1;;;;;;
Астраханская область;54,0;112,7;;;;;;
Волгоградская область;229,7;438,2;;;;;;
Ростовская область;485,6;894,5;;;;;;
г. Севастополь;;62,8;;;;;;
Северо-Кавказский федеральный округ;375,2;700,4;;;;;;
Республика Дагестан;20,4;35,3;;;;;;
Республика Ингушетия;3,9;12,5;;;;;;
Кабардино-Балкарская Республика;24,9;50,7;;;;;;
Карачаево-Черкесская Республика;18,3;25,9;;;;;;
Республика Северная Осетия – Алания;29,2;45,8;;;;;;
Чеченская Республика;45,6;89,0;;;;;;
Ставропольский край;232,8;441,2;;;;;;
"Приволжский 
федеральный округ";3070,8;6973,5;;;;;;
Республика Башкортостан;351,7;684,6;;;;;;
Республика Марий Эл;59,5;147,8;;;;;;
Республика Мордовия;54,7;93,7;;;;;;
Республика Татарстан;435,1;1132,9;;;;;;
Удмуртская Республика;150,4;406,0;;;;;;
Чувашская Республика;96,4;178,1;;;;;;
Пермский край;321,7;845,0;;;;;;
Кировская область;159,2;283,3;;;;;;
Нижегородская область;454,9;977,9;;;;;;
Оренбургская область;130,3;285,5;;;;;;
Пензенская область;107,4;232,1;;;;;;
Самарская область;443,1;1014,9;;;;;;
Саратовская область;175,9;424,3;;;;;;
Ульяновская область;130,5;267,4;;;;;;
"Уральский     
федеральный округ";1707,2;3670,4;;;;;;
Курганская область;54,9;86,5;;;;;;
Свердловская область;698,5;1751,0;;;;;;
Тюменская область;491,8;826,7;;;;;;
в том числе:;;;;;;;;
Ханты-Мансийский    автономный округ – Югра;216,9;352,0;;;;;;
Ямало-Ненецкий автономный округ;54,8;74,6;;;;;;
Тюменская область    без автономных округов;220,1;400,1;;;;;;
Челябинская область;462,1;1006,3;;;;;;
"Сибирский 
федеральный округ";2005,4;4335,2;;;;;;
Республика Алтай;12,8;39,6;;;;;;
Республика Тыва;9,8;8,6;;;;;;
Республика Хакасия;33,3;58,3;;;;;;
Алтайский край;255,2;515,9;;;;;;
Красноярский край;300,1;714,4;;;;;;
Иркутская область;281,0;571,7;;;;;;
Кемеровская область;245,0;407,7;;;;;;
Новосибирская область;542,5;1321,9;;;;;;
Омская область;196,5;411,2;;;;;;
Томская область;129,2;286,0;;;;;;
Дальневосточный федеральный округ;919,0;2038,2;;;;;;
Республика Бурятия;53,7;90,9;;;;;;
Республика Саха (Якутия);79,7;155,5;;;;;;
Забайкальский край;45,2;95,7;;;;;;
Камчатский край;55,6;89,0;;;;;;
Приморский край;304,9;792,7;;;;;;
Хабаровский край;186,9;430,1;;;;;;
Амурская область;70,0;145,3;;;;;;
Магаданская область;31,4;49,2;;;;;;
Сахалинская область;77,5;165,4;;;;;;
Еврейская автономная область;11,1;16,3;;;;;;
Чукотский автономный округ;3,0;8,1;;;;;;
______________;;;;;;;;
1) По данным сплошных федеральных статистических наблюдений за деятельностью субъектов малого и среднего предпринимательства.;;;;;;;;
