Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
12. ПРЕДПРИЯТИЯ И ОРГАНИЗАЦИИ ;;;;;;;;;;;;;;;;;;;;
ФИНАНСОВЫЕ РЕЗУЛЬТАТЫ ДЕЯТЕЛЬНОСТИ ОРГАНИЗАЦИЙ ;;;;;;;;;;;;;;;;;;;;
12.6. УДЕЛЬНЫЙ ВЕС УБЫТОЧНЫХ ОРГАНИЗАЦИЙ1);;;;;;;;;;;;;;;;;;;;
(в процентах от общего числа организаций);;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
Российская Федерация;39,8;37,9;43,5;43,0;38,1;36,4;32,5;25,5;28,3;32,0;29,9;30,0;29,1;31,0;33,0;32,6;29,5;31,9;33,1;
Центральный федеральный округ;37,4;36,6;41,8;40,9;37,2;35,7;32,5;26,0;29,6;32,0;30,2;30,3;29,6;31,5;33,8;32,9;28,8;33,0;34,4;
Белгородская область;39,1;43,0;50,0;48,7;44,4;37,0;38,0;29,3;25,8;31,7;30,5;26,5;21,9;27,0;26,5;27,1;27,3;27,8;29,4;
Брянская область;52,6;50,3;59,8;59,3;51,5;45,2;38,6;29,4;28,1;33,3;28,7;31,6;33,2;37,4;37,1;39,7;35,9;36,4;38,2;
Владимирская область;41,1;38,4;44,6;46,9;40,6;36,1;31,6;22,5;28,9;28,9;27,3;28,3;26,0;30,2;33,0;34,5;30,3;31,4;32,2;
Воронежская область;39,4;39,8;44,7;42,5;41,4;38,6;33,2;23,6;27,4;27,1;29,6;25,1;23,2;27,8;25,4;24,9;25,4;26,4;29,5;
Ивановская область;45,7;42,3;47,7;47,3;40,0;36,5;38,3;33,6;38,2;42,4;39,1;38,6;38,9;33,2;37,3;40,3;40,5;39,1;37,9;
Калужская область;36,9;37,8;43,1;43,0;39,5;36,1;31,1;19,4;22,2;26,3;29,7;31,3;29,2;31,0;34,8;34,8;31,4;30,8;31,4;
Костромская область;55,0;56,5;55,1;54,3;41,1;46,4;41,6;34,6;38,5;42,9;44,3;43,6;41,1;37,0;35,9;35,6;31,8;42,9;42,8;
Курская область;49,3;53,7;62,2;57,7;49,5;46,4;39,8;25,4;27,0;30,8;25,8;26,7;29,9;27,4;31,1;29,7;27,5;31,5;27,2;
Липецкая область;33,8;36,2;49,2;42,5;36,1;38,0;34,0;22,5;24,0;29,4;31,4;25,5;26,1;25,7;28,2;25,5;25,6;30,5;30,8;
Московская область;28,6;28,1;33,5;34,2;33,9;32,6;29,3;26,1;29,9;33,3;29,9;32,1;29,0;30,5;30,8;30,2;25,4;30,2;32,7;
Орловская область;35,6;36,3;42,3;44,4;42,8;40,9;39,2;29,2;29,9;36,3;34,0;26,8;27,7;26,9;29,2;25,7;30,0;33,0;29,2;
