Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
12. ПРЕДПРИЯТИЯ И ОРГАНИЗАЦИИ ;;;;;;;;;;;;;;;;;;;
ФИНАНСОВЫЕ РЕЗУЛЬТАТЫ ДЕЯТЕЛЬНОСТИ ОРГАНИЗАЦИЙ ;;;;;;;;;;;;;;;;;;;
12.7. КРЕДИТОРСКАЯ ЗАДОЛЖЕННОСТЬ ОРГАНИЗАЦИЙ1);;;;;;;;;;;;;;;;;;;
12.7.2. Просроченная;;;;;;;;;;;;;;;;;;;
"(на конец года; миллионов рублей)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;1571469;1560121;1432819;1313250;1133003;970833;821296;832507;994457;957883;1005998;1208299;1188416;1469645;1881316;2428757;2656177;2616343;3440263
Центральный федеральный округ;368512;357361;351088;282567;270097;229215;225667;228444;268385;312359;377254;479761;458707;630845;960741;1161082;1382554;1266192;1843822
Белгородская область;9499;11764;8167;6829;6181;4762;3375;3738;7026;6325;3368;1856;2526;4672;1965;2110;4645;3406;3057
Брянская область;8628;8565;10572;10297;6397;5429;3323;2937;3317;2978;3912;2565;3800;7878;7602;3848;2249;2314;13616
Владимирская область;10773;9720;9091;9029;8131;7360;7169;4618;4562;4185;4630;4542;5409;4732;8665;7350;6182;8670;10358
Воронежская область;21386;21861;18640;16301;12630;11296;8221;6999;7547;8005;10834;4635;6365;9858;11293;10519;3995;7771;9438
Ивановская область;9463;8708;8095;7698;6438;6546;6174;7423;6159;7795;7515;6373;7110;9223;9175;13134;15574;14780;11077
Калужская область;4038;4013;3396;3267;3126;2441;1797;2030;2404;2507;2655;2371;3482;2763;3677;5551;2796;5847;19196
Костромская область;8371;6819;6505;5985;4693;3889;3306;3585;2963;2420;2638;3129;3666;2727;2296;2693;2332;2826;2393
Курская область;15721;14665;14252;10243;9906;7508;5769;6769;10197;9018;10545;17168;17672;9910;7304;9028;12007;7219;9705
