Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
12. ПРЕДПРИЯТИЯ И ОРГАНИЗАЦИИ;;;;;;;;;;;;;;;;;;;
ФИНАНСОВЫЕ РЕЗУЛЬТАТЫ ДЕЯТЕЛЬНОСТИ ОРГАНИЗАЦИЙ ;;;;;;;;;;;;;;;;;;;
 12.8. ДЕБИТОРСКАЯ ЗАДОЛЖЕННОСТЬ ОРГАНИЗАЦИЙ1);;;;;;;;;;;;;;;;;;;
12.8.2. Просроченная;;;;;;;;;;;;;;;;;;;
"(на конец года; миллионов рублей)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;916257;1007341;910866;881637;844446;863283;1039936;887190;1051325;1011328;1048158;1167488;1224705;1482765;2015920;2275556;2240921;2328561;2646693
Центральный федеральный округ;223674;357941;276613;239264;253844;245002;516335;327274;332526;335357;401090;383866;454300;585686;909102;928025;891149;989765;1110553
Белгородская область;4584;5223;4120;3561;4037;3547;2640;2503;5127;5683;3129;3480;3368;2046;2955;3084;4705;2982;7376
Брянская область;4143;3769;3712;3735;2528;2759;1762;1976;1915;1546;1814;1354;1666;1576;1357;1349;1662;1186;7249
Владимирская область;4863;4281;3872;3275;3511;4692;3800;3470;4457;3244;3645;3960;4648;4854;8790;9572;9997;12802;12400
Воронежская область;7399;6999;6843;6943;6735;6851;6101;7258;9405;7593;9524;7950;7418;8496;10298;14742;11583;7848;7101
Ивановская область;3872;3950;2849;2738;2955;3009;2999;4917;3002;5652;5624;4998;5802;7249;8136;10242;11206;10784;8291
Калужская область;2552;2505;2162;2295;2248;1742;1264;1472;1601;2458;2782;3118;3761;3274;6073;8743;6403;8049;12064
Костромская область;3486;2680;2942;3298;3370;4027;2966;3572;2947;3091;3205;2256;2011;2689;2500;3002;6754;5593;3804
Курская область;7963;8776;7505;6061;6806;7550;5260;7356;11744;10199;5064;8271;11674;5956;9479;7852;9400;8704;7189
Липецкая область;4620;3555;3322;2292;2013;1611;1491;1979;5473;2598;2836;3093;2906;3452;5269;5294;2345;2625;3024
Московская область;81995;58170;52328;59647;50782;56879;69647;90604;47070;38028;37139;49654;31185;33894;45868;86553;100618;85921;93345
Орловская область;2994;2808;3676;3516;3412;3192;3268;3312;2498;2886;3090;1451;1983;2375;1727;2081;2646;1550;1944
Рязанская область;2916;3944;3615;4794;5204;3561;2247;2272;2846;3532;3731;3621;2611;5229;3892;5178;7919;6134;3291
Смоленская область;5700;5144;3627;3282;3994;2623;3458;3367;3607;4313;3206;2498;3545;5026;5941;3774;3561;3402;4211
Тамбовская область;2529;2507;2437;2708;2047;1668;1971;1505;1324;1151;1430;1464;1386;1133;1101;3463;1800;1929;2403
Тверская область;8960;6676;5562;6361;7320;5393;4068;4981;5009;3924;4553;5721;11005;11696;17280;14871;12492;8898;10561
Тульская область;8822;7341;7176;6841;7637;7295;5182;4523;4514;4735;4199;4252;6945;8962;10137;14866;18378;24827;44521
Ярославская область;3717;3837;6018;4240;4291;4937;6207;6892;14349;9851;18043;20594;8986;12283;9925;18408;22259;17682;16113
г. Москва;62559;225776;154847;113677;134954;123666;392004;175315;205638;224873;288076;256131;343400;465496;758374;714951;657421;778849;865666
Северо-Западный федеральный округ;71363;60393;55324;72758;66596;66221;66574;70442;97053;93981;85640;110514;117981;119595;142327;221588;242602;285359;367890
Республика Карелия;2517;2830;3384;4085;4546;5947;4345;4267;5484;4828;4860;6847;4547;5863;6040;5161;4100;5322;5671
Республика Коми;14296;10474;9773;22094;11097;10141;8491;9089;11908;8874;7034;9998;10045;9936;12660;13444;12824;11270;13429
Архангельская область;7548;8201;8075;8503;7417;6818;8386;10349;9976;11760;12323;16246;19141;17043;21943;21505;18916;39208;51426
в том числе: ;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;538;555;867;1070;1217;1336;688;603;402;480;450;481;580;3146;1305;1440;1159;3187;2123
Архангельская область без автономного округа;7010;7646;7208;7433;6200;5482;7698;9746;9574;11280;11873;15765;18561;13897;20638;20065;17757;36021;49303
Вологодская область;5722;6471;3583;3481;4399;4429;4101;4932;14416;7938;7142;7541;12089;14482;12477;14939;9418;14425;8920
Калининградская область;1407;1233;1619;1532;2395;2438;2817;3789;4832;3925;5259;3125;3406;2442;2522;3268;4172;3025;4860
Ленинградская область;7929;4750;4135;4825;4740;4680;4784;5698;5685;9568;5782;8263;7940;12502;16689;23971;23690;10539;15690
Мурманская область;11761;8476;8307;11517;11323;9406;8197;7195;8379;8826;10494;13950;14191;15525;14975;16028;19458;19601;16200
Новгородская область;1455;1972;1919;1936;1796;1897;1252;1258;1459;2170;2490;3038;4301;4273;4113;4536;4037;5273;5993
Псковская область;1415;955;905;980;1896;1258;776;659;735;597;619;543;842;1005;1146;1125;1592;1711;1980
