Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
13.  ПРОМЫШЛЕННОЕ ПРОИЗВОДСТВО ;;;;;;;;;;;;;;;;;;;
13.10. ПРОИЗВОДСТВО ЭЛЕКТРОЭНЕРГИИ;;;;;;;;;;;;;;;;;;;
(миллиардов киловатт-часов);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;20009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;877,8;891,3;891,3;916,3;931,9;953,1;995,8;1015,3;1040,4;992,0;1038,0;1054,9;1069,3;1059,1;1064,2;1067,5;1091,0;1094,2;1115,1
"Центральный
федеральный округ";195,8;196,3;196,7;207,1;200,4;209,8;224,7;228,2;229,9;218,5;228,8;232,2;235,8;227,5;230,9;227,2;225,8;228,9;222,9
Белгоpодская область;0,5;0,5;0,5;0,5;0,4;0,4;0,8;0,9;1,0;0,7;0,8;0,9;0,9;1,0;0,9;0,9;0,8;1,0;1,1
Бpянская область;0,3;0,3;0,3;0,3;0,3;0,3;0,2;0,2;0,2;0,1;0,1;0,1;0,1;0,1;0,0;0,3;0,1;0,1;0,1
Владимиpская область;1,9;2,1;2,0;2,0;2,2;2,2;2,2;2,1;2,1;2,1;2,0;1,8;1,7;1,5;1,9;2,2;1,9;1,4;1,9
Воpонежская область;12,3;11,9;13,4;14,0;10,6;9,3;14,6;12,5;14,1;13,0;12,8;9,9;14,8;15,8;14,8;14,4;16,7;18,1;17,6
Ивановская область;1,4;1,2;1,3;1,3;1,7;1,8;1,9;2,1;2,5;2,4;2,3;2,1;2,1;1,9;1,8;1,6;2,1;1,5;1,3
Калужская область;0,1;0,1;0,2;0,2;0,3;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,3;0,4;0,3;0,3;0,3;0,3
Костpомская область;12,7;13,3;11,6;13,6;13,1;13,2;14,0;14,5;14,8;13,0;13,6;14,8;15,2;15,2;16,5;15,0;15,3;16,5;14,1
Куpская область;23,1;18,7;20,5;24,3;25,6;28,3;25,6;28,8;24,1;28,2;29,4;30,1;30,6;25,0;30,6;30,9;28,6;29,8;26,0
Липецкая область;3,7;4,0;4,3;4,1;4,1;4,1;4,4;4,4;4,5;4,1;4,4;4,8;5,3;5,3;5,1;5,4;5,2;5,1;5,4
Московская область;20,6;22,7;21,6;22,8;21,6;23,8;25,3;25,1;27,6;26,2;30,1;31,9;28,3;28,3;25,6;23,3;23,5;21,2;20,5
Оpловская область;1,3;1,3;1,3;1,5;1,4;1,5;1,5;1,5;1,5;1,2;1,3;1,2;1,3;1,3;1,3;1,1;1,3;1,3;1,3
Рязанская область;12,5;12,5;11,7;11,0;10,6;10,6;12,2;12,6;13,5;9,8;10,3;11,5;10,2;9,7;8,4;6,4;6,9;5,4;4,5
Смоленская область;22,9;23,7;22,8;25,3;22,1;23,4;23,7;23,7;25,3;24,8;24,3;23,9;23,9;23,3;26,7;27,3;25,1;25,1;21,7
Тамбовская область;1,4;1,6;1,5;1,3;1,5;1,4;1,4;1,3;1,3;1,2;1,1;1,3;1,2;1,0;1,2;1,1;1,1;1,1;1,0
Твеpская область;22,3;23,1;24,4;23,0;22,8;26,3;31,2;32,7;32,5;31,0;32,9;33,9;37,9;39,7;39,3;42,5;36,8;41,1;43,2
Тульская область;7,1;7,0;6,4;6,3;6,4;6,8;7,6;7,3;7,4;6,5;7,0;6,7;6,4;6,1;6,2;5,7;6,0;5,1;5,0
Яpославская область;3,6;4,0;3,7;3,8;4,7;4,3;3,9;4,3;4,5;4,4;4,3;4,1;4,2;4,2;3,2;3,0;3,6;6,0;7,0
г. Москва;48,3;48,3;49,2;51,9;51,1;51,7;53,9;54,1;52,8;49,8;52,0;53,0;51,5;47,6;47,1;46,1;50,5;48,9;50,9
"Северо-Западный
федеральный округ";84,2;90,4;89,9;89,8;94,5;95,0;99,6;103,6;109,4;105,8;110,7;115,3;114,4;111,0;114,0;114,5;121,5;120,8;127,1
Республика Карелия;4,3;4,3;3,8;3,6;4,6;4,2;4,1;5,0;5,3;5,1;4,8;4,0;5,1;4,4;4,7;5,0;4,9;5,3;5,0
Республика Коми;7,9;8,4;8,3;8,3;8,6;8,4;8,9;9,1;9,5;9,4;9,3;10,0;9,8;9,6;10,1;10,3;10,0;10,1;10,6
Архангельская область;5,7;6,3;6,2;6,6;6,8;7,1;7,4;7,8;7,9;7,8;8,0;7,7;8,0;7,9;8,0;7,8;8,3;8,5;8,4
в том числе: ;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;0,1;0,1;0,2;0,2;0,3;0,4;0,5;0,6;0,8;1,0;1,1;1,1;1,2;1,3;1,4;1,4;1,5;1,9;1,8
Архангельская область     без автономного округа;;;;;;;;;;;6,9;6,5;6,7;6,6;6,6;6,4;6,7;6,6;6,6
