Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;
13.  ПРОМЫШЛЕННОЕ ПРОИЗВОДСТВО;;;;;;;;;;;;;
13.2. ОБЪЕМ ОТГРУЖЕННЫХ ТОВАРОВ СОБСТВЕННОГО ПРОИЗВОДСТВА, ВЫПОЛНЕННЫХ РАБОТ И УСЛУГ СОБСТВЕННЫМИ СИЛАМИ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ;;;;;;;;;;;;;
13.2.3. «Обрабатывающие производства» в соответствии с ОКВЭД1) ;;;;;;;;;;;;;
"(в фактически действовавших ценах; миллионов рублей)";;;;;;;;;;;;;
;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;
Российская Федерация;8871976;11185374;13977777;16863615;14351985;18880737;22813279;25110611;26839760;29661252;35090428;36119929;
"Центральный
федеральный округ";2587948;3428776;4431493;5304670;4483283;5726918;6764832;7455335;8528202;9764585;11810786;12731952;
Белгородская область;101734;136649;191798;270781;241638;319536;369161;409330;404467;470245;562897;603881;
Брянская область;36954;46796;59920;72687;57848;73863;91982;110055;117647;126465;171551;175558;
Владимирская область;81952;99361;144721;160853;142252;189370;222325;244800;270978;313682;376168;411594;
Воронежская область;76779;89883;109969;139869;132503;175892;228302;250019;258914;310682;396550;414144;
Ивановская область;27398;33667;44112;54707;49501;70363;73821;82750;91907;91571;114727;119270;
Калужская область;55376;67938;91071;151481;153673;281124;356188;420364;428617;454878;456942;517016;
Костромская область;24827;34066;50948;63379;49822;70201;81591;96283;100103;101088;108058;106429;
Курская область;35524;43204;58246;69999;70859;82608;94857;104612;114020;119510;151800;167197;
Липецкая область;180855;219488;253262;317543;228463;303619;355824;382979;386962;451426;536869;574430;
Московская область;523215;625949;908782;1069303;1032253;1241243;1425058;1528670;1611823;1767159;2086349;2115619;
Орловская область;34782;40798;47795;49613;40435;53966;66442;70810;71709;80157;104302;105689;
Рязанская область;53929;65181;85367;105334;96548;129847;148009;173419;191486;200669;250368;251463;
Смоленская область;51398;58954;75328;86744;80049;105017;121947;129460;137851;140286;178438;180557;
Тамбовская область;23070;26668;39039;43779;46862;50413;80490;83331;89453;100852;126629;137364;
Тверская область;59322;73050;90524;119022;103601;124106;142949;165889;179909;183905;198376;216934;
Тульская область;125102;144827;189131;246030;190036;243146;308752;327597;366469;438462;524308;570972;
Ярославская область;93471;102701;139835;154084;128661;162944;191968;219859;237394;249696;310374;314479;
г. Москва;1002261;1519597;1851644;2129463;1638278;2049658;2405167;2655111;3468492;4163850;5156077;5749357;
"Северо-Западный
федеральный округ";1096474;1309058;1622577;2018453;2062554;2719389;3427815;3891769;3962139;4264441;4879272;4734397;
Республика Карелия;31303;36610;44273;47893;40963;51969;56072;54158;46614;55435;76439;86809;
Республика Коми;70478;82225;86494;88213;87279;100923;135497;147305;158458;161947;175277;164307;
Архангельская область;64488;58912;68047;86748;62539;98362;101947;119015;264884;155500;173405;168026;
в том числе:;;;;;;;;;;;;;
Ненецкий автономный округ;345;427;498;573;802;1150;848;1154;1092;5783;12532;22370;
Архангельская область без автономного округа;64143;58485;67549;86175;61737;97212;101099;117861;263791;149717;160873;145657;
Вологодская область;213085;236960;292700;375167;235523;319956;400082;388255;374616;409033;498162;515013;
Калининградская область;61613;106265;164536;193985;157168;216767;275795;325691;339318;419357;422287;424136;
Ленинградская область;162570;205677;244352;315967;318178;376894;449543;504378;519640;645073;851522;899580;
Мурманская область;45558;54700;64201;50921;52570;88593;87229;96299;88347;114265;147940;139901;
Новгородская область;52412;59270;73162;97937;80262;99845;119362;124884;129436;150603;189450;188719;
Псковская область;22475;26226;34817;40507;33981;47186;61752;62390;64413;63523;81734;85901;
г. Санкт-Петербург;372491;442213;549995;721113;994090;1318896;1740536;2069394;1976412;2089707;2263057;2062005;
Южный           федеральный округ;520501;633118;816560;1064261;867120;1137396;1333935;1524433;1610036;1865122;2283400;2358804;
Республика Адыгея;5480;6366;8420;12125;13083;18125;20718;23705;28275;31558;43280;48426;
Республика Калмыкия;396;472;499;866;957;1131;1171;862;918;887;1007;735;
Республика Крым;;;;;;;;;;23505;57538;74005;
Краснодарский край;139321;178197;242425;284076;263229;341187;385870;483091;532123;661813;831085;825465;
Астраханская область;21550;24040;29939;67243;33631;40938;47863;39812;48551;48602;61014;61917;
Волгоградская область;190585;232831;280312;364525;293914;384317;441571;487116;491157;576020;633926;615926;
Ростовская область;163170;191212;254965;335426;262304;351699;436742;489848;509012;518995;643735;718360;
г. Севастополь;;;;;;;;;;3743;11815;13972;
Северо-Кавказский федеральный округ;91706;105976;138446;169845;175010;212854;255379;279382;293914;299216;379303;392782;
Республика Дагестан;10546;11856;15717;16949;19992;16601;24808;27508;30708;26666;23493;32528;
Республика Ингушетия;189;328;346;334;401;455;1094;2594;3191;2936;3901;3539;
Кабардино-Балкарская Республика;9110;9818;11403;16533;17841;22267;27704;34268;24126;29521;37532;32883;
Карачаево-Черкесская Республика;7490;7171;9227;11722;11388;17284;23424;34094;37600;29999;28153;30014;
Республика Северная Осетия – Алания;14035;17056;20859;17598;11396;14003;15522;15564;16639;16561;22649;18685;
Чеченская Республика;…;…;855;1200;813;4703;1646;3065;4473;5662;9812;9104;
Ставропольский край;50335;59747;80039;105509;113179;137541;161181;162289;177176;187871;253763;266029;
Приволжский федеральный округ;2120016;2582668;3181616;3885409;3142023;4137162;5163857;5687482;5895090;6318146;7232907;7364795;
Республика Башкортостан ;366255;413858;450258;536508;481033;667879;824214;924132;961320;893964;978473;970695;
Республика Марий Эл;20157;29078;41938;50927;46595;62551;72786;85833;77450;104874;139431;133457;
Республика Мордовия;39544;48727;70793;80856;64907;85372;88601;101320;106093;118328;132268;138024;
Республика Татарстан;261113;364382;469758;598467;504914;672165;864115;995068;1060483;1183555;1369000;1432843;
Удмуртская Республика ;69373;88026;111966;123799;105247;128219;158015;171789;190641;220811;273381;333831;
Чувашская Республика;48071;59885;83812;123335;89666;106128;114603;131448;128289;133122;153829;163397;
Пермский край ;274132;311569;400123;567313;442701;548696;732429;760028;783008;846723;900639;868313;
Кировская область;51029;62154;76561;97820;77064;101916;129040;131145;135852;153929;189956;193715;
Нижегородская область;334850;424301;556493;639123;533173;699109;873575;898070;943843;998185;1138576;1146937;
Оренбургская область ;105243;118693;147790;168113;117413;151634;174977;211629;192004;230679;274498;274312;
Пензенская область;37202;44192;58308;74423;73490;84150;99663;115379;128127;139216;176491;188089;
Самарская область;376301;454157;495259;560942;393269;549311;689251;757031;780879;833357;928775;938869;
Саратовская область;78374;92991;125971;159588;130222;168256;208323;246788;242266;275766;342515;346434;
Ульяновская область;58372;70656;92585;104196;82329;111776;134265;157823;164837;185638;235075;235879;
Уральский            федеральный округ;1193848;1549378;1930170;2319347;1786505;2475835;2987202;3211212;3337978;3506425;4268841;4341747;
Курганская область ;24593;32589;41721;50642;39211;53376;60016;67496;74654;75431;88316;93561;
Свердловская область ;470694;602507;746141;823496;647765;902605;1094825;1212347;1257113;1343307;1659144;1642785;
Тюменская область;300769;416889;481550;656210;568902;751271;906594;995337;1103937;1084590;1323802;1382838;
в том числе:;;;;;;;;;;;;;
Ханты-Мансийский автономный    округ – Югра;45961;64709;93547;142655;123720;158286;108903;106657;384325;398696;422090;425678;
Ямало-Ненецкий автономный округ;27073;34582;39123;46039;61100;71151;97675;115409;126393;156798;295942;322287;
Тюменская область без автономных  округов;227735;317598;348880;467516;384081;521834;700016;773271;593219;529095;605770;634873;
Челябинская область ;397792;497392;660758;788999;530627;768584;925767;936031;902273;1003098;1197579;1222563;
Сибирский            федеральный округ;1130859;1432347;1679184;1866857;1630742;2162010;2516797;2664639;2787549;3128069;3634695;3595051;
Республика Алтай ;460;762;1051;1082;1172;1597;1296;1367;2452;3277;7172;5969;
Республика Бурятия;18997;19963;23844;29314;31817;40081;51115;46116;62738;70297;86012;61205;
Республика Тыва;427;606;688;436;640;769;514;681;895;612;725;664;
Республика Хакасия;22819;30418;41937;43561;39570;50947;56595;61764;65985;71930;90278;82433;
Алтайский край ;70382;91823;108789;154664;118002;168752;189279;198976;205630;209857;271651;265883;
Забайкальский край;5136;6870;8133;9955;8098;11385;14365;25066;22917;20074;22653;23499;
Красноярский край;303894;429588;524538;457206;419735;571329;628113;629581;644297;777413;913319;940698;
Иркутская область;158265;205757;206267;227549;213086;272410;299406;310081;340427;367518;458526;457587;
Кемеровская область ;185574;205389;246246;314105;219491;309471;385413;376757;382331;446772;476137;475009;
Новосибирская область ;93955;123037;148447;176438;168754;229324;249816;284940;309416;328960;430810;410383;
Омская область ;224305;254951;301403;381956;342654;409133;529355;609983;621060;696947;709132;709347;
Томская область ;46645;63182;67841;70590;67722;96814;111529;119326;129402;134411;168281;162374;
