Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;
13.  ПРОМЫШЛЕННОЕ ПРОИЗВОДСТВО;;;;;;;;;;;;;;;;
13.2. ОБЪЕМ ОТГРУЖЕННЫХ ТОВАРОВ СОБСТВЕННОГО ПРОИЗВОДСТВА, ВЫПОЛНЕННЫХ РАБОТ И УСЛУГ СОБСТВЕННЫМИ СИЛАМИ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ;;;;;;;;;;;;;;;;
13.2.5. «Производство и распределение электроэнергии, газа и воды» в соответствии с ОКВЭД1) ;;;;;;;;;;;;;;;;
"(в фактически действовавших ценах; миллионов рублей)";;;;;;;;;;;;;;;;
;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;;;;
Российская Федерация;1690656;2162207;2145668;2572988;3030165;3665280;4219137;4160147;4491574;4712009;4917677;5332278;;;;
"Центральный
федеральный округ";492032;697105;640395;761655;920480;1156520;1392745;1298228;1368387;1411690;1491884;1668238;;;;
Белгородская область;14706;17033;16144;17132;18758;22525;25058;25259;28868;27360;28740;28225;;;;
Брянская область;7848;8145;8010;9274;10540;12959;14010;14102;10924;13836;15549;16829;;;;
Владимирская область;12290;15453;13835;17246;20017;22523;26368;28155;30057;31441;33321;36604;;;;
Воронежская область;16246;20880;20814;27017;34451;42016;42596;47265;55283;57922;59744;64231;;;;
Ивановская область;11568;14348;14148;16125;18128;24728;25071;25238;27609;26531;28550;30807;;;;
Калужская область;12331;9113;7666;9189;14980;13024;15088;16812;17953;19356;20632;21475;;;;
Костромская область;13621;16135;16441;20891;21175;24703;29461;30807;33562;36551;34179;36590;;;;
Курская область;23212;25353;28592;34961;44433;54343;55638;51342;50937;59714;59316;59150;;;;
Липецкая область;16893;14347;13234;16667;17952;22716;26349;26035;27089;27818;28941;27249;;;;
Московская область;91538;105960;106007;136929;181525;243277;306841;262031;259976;259484;268205;292429;;;;
Орловская область;8135;6887;8621;7347;8236;9690;13674;13668;10280;12259;12744;13656;;;;
Рязанская область;16108;19137;19273;23401;25243;29031;33583;33277;36072;35038;32930;38946;;;;
Смоленская область;23392;26771;27864;35850;44413;53812;45821;46344;52194;53872;55431;55230;;;;
Тамбовская область;6506;6834;6872;8998;9748;10714;11941;13264;14354;14813;15502;16126;;;;
Тверская область;22640;32759;37214;42660;48213;59476;62821;69644;82430;86541;88438;88013;;;;
Тульская область;18988;23576;23970;24608;26831;33875;34306;35501;35887;41308;48251;51266;;;;
Ярославская область;17189;19541;17812;21309;24241;27718;30340;30570;33447;33656;32714;36052;;;;
г. Москва;158824;314834;253879;292051;351595;449391;593779;528916;561464;574190;628697;755361;;;;
"Северо-Западный
федеральный округ";191670;213953;257644;272304;330780;397412;458889;473141;543409;566182;532267;598388;;;;
Республика Карелия;9108;10087;9983;11081;13194;16453;17977;19825;20717;21843;24764;28365;;;;
Республика Коми;16074;23098;20576;24316;30123;34421;35958;36423;39849;43161;43971;45514;;;;
Архангельская область;14522;20795;18929;20999;24662;28727;30895;32406;34061;33853;35333;36682;;;;
в том числе:;;;;;;;;;;;;;;;;
Ненецкий автономный округ;500;668;717;927;1384;1692;1842;2078;2655;3076;3171;3909;;;;
Архангельская область без автономного округа;14022;20127;18212;20072;23278;27035;29053;30328;31406;30777;32163;32773;;;;
Вологодская область;17218;20246;20023;21750;24061;29537;27596;30941;33740;35581;40876;43213;;;;
Калининградская область;7612;9285;11654;13974;15193;18293;25112;20322;21825;22685;22988;26572;;;;
Ленинградская область;31720;36580;42783;52397;64825;77932;103228;106698;137956;149173;99768;105308;;;;
Мурманская область;23278;23039;25805;30184;36155;43398;48568;52005;57106;55741;56927;62036;;;;
Новгородская область;7545;8397;6754;8301;9942;11480;11682;13172;13528;14895;15918;21294;;;;
Псковская область;5045;5657;5903;6424;7675;9361;10460;10423;10929;10542;10565;11268;;;;
г. Санкт-Петербург;59549;56769;95233;82880;104951;127811;147414;150925;173698;178708;181157;218137;;;;
Южный          федеральный округ;108868;121567;127445;155924;184759;216433;260536;261665;299044;309275;357666;397324;;;;
Республика Адыгея;1935;1899;1573;1851;1662;1490;1698;1988;2139;2229;2503;2773;;;;
Республика Калмыкия;1312;1414;1029;1128;1622;1862;2155;2499;2459;2634;2683;3023;;;;
Республика Крым;;;;;;;;;;13555;25553;31021;;;;
Краснодарский край;35416;39048;49614;61992;73786;84354;98677;100329;117373;97150;109727;119759;;;;
Астраханская область;9869;8155;8323;8130;10790;13238;15615;17151;20124;23624;25553;28402;;;;
Волгоградская область;25610;28490;26305;31709;41187;47922;54424;53947;58335;60958;65371;63364;;;;
Ростовская область;34726;42561;40601;51114;55711;67567;87967;85751;98614;108396;120471;141823;;;;
г. Севастополь;;;;;;;;;;729;5805;7159;;;;
Северо-Кавказский     федеральный округ;50922;49189;51335;66123;77716;88778;103048;101620;110892;121132;123815;136518;;;;
Республика Дагестан;4411;5111;5743;8349;11402;14167;14072;12152;14077;14168;14167;18078;;;;
Республика Ингушетия;227;351;390;536;721;1328;1578;1342;1477;1391;1619;2861;;;;
Кабардино-Балкарская Республика;2854;3459;4427;5183;6872;8394;10227;8092;7333;7567;8157;8527;;;;
Карачаево-Черкесская Республика;3317;3434;3020;3626;4462;5235;5232;5603;6080;5362;5760;5861;;;;
Республика Северная Осетия – Алания;2593;3769;4663;3486;6685;4853;7129;6555;7074;7556;5529;6555;;;;
Чеченская Республика;…;…;2161;2909;3984;4283;4585;5304;9765;12676;14120;14680;;;;
Ставропольский край;37521;33065;30931;42034;43592;50518;60226;62572;65085;72412;74464;79956;;;;
Приволжский      федеральный округ;378245;426364;422260;507734;576193;703033;788337;766523;818301;868472;893643;908654;;;;
Республика Башкортостан ;35435;49242;45780;51786;57923;72571;88506;88443;97642;109823;113188;122253;;;;
Республика Марий Эл;5575;6167;5011;5829;7510;8729;10067;9694;11008;10863;10959;11967;;;;
Республика Мордовия;7639;8879;8195;6667;7772;9566;10509;10212;10654;11593;11874;12184;;;;
Республика Татарстан;41495;44887;55644;66223;81105;90876;107240;109757;121566;126046;126650;133430;;;;
Удмуртская Республика ;12959;16729;16212;19368;21962;24567;28646;27220;29524;33063;34677;37255;;;;
Чувашская Республика;11524;14212;10858;14924;18125;21676;21909;20790;21476;21955;20911;21801;;;;
Пермский край ;66146;57812;53264;66240;69337;79829;89355;90085;96926;105398;105588;104835;;;;
Кировская область;14548;19273;17304;20976;21531;25798;28800;28303;30721;34879;37173;39842;;;;
Нижегородская область;37885;42565;40829;51711;67536;79810;84439;80661;90996;91099;97914;103857;;;;
Оренбургская область ;33304;41118;48128;52498;55937;81503;96823;83189;62496;65921;78012;57468;;;;
Пензенская область;9751;11848;9593;10781;13264;14497;17663;16713;14480;19667;21534;22394;;;;
Самарская область;55790;55316;56643;64151;69309;87391;98420;98619;115666;122985;115748;119517;;;;
Саратовская область;34637;45177;43594;62869;67527;82064;81174;80369;90217;89658;93886;95664;;;;
Ульяновская область;11558;13139;11206;13710;17356;24155;24784;22469;24930;25522;25529;26187;;;;
Уральский          федеральный округ;212640;278692;278843;335824;387384;463867;519743;528847;569326;596914;605042;657281;;;;
Курганская область ;7921;8546;8096;9927;12038;16902;18663;19170;21682;22950;20414;21361;;;;
Свердловская область ;61591;83638;100586;109889;119177;141380;170797;165583;166297;170915;170375;182509;;;;
Тюменская область;108962;141491;123336;154597;196387;232376;249728;261046;293842;300151;301417;323718;;;;
в том числе:;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;81425;105267;80445;101634;132870;163049;172588;175103;195094;206904;206989;219992;;;;
Ямало-Ненецкий автономный округ;13366;19192;23107;26579;31426;32847;35527;41034;48683;49734;49234;55464;;;;
Тюменская область без автономных округов;14171;17032;19784;26385;32091;36480;41613;44910;50065;43512;45194;48262;;;;
Челябинская область ;34165;45017;46825;61411;59782;73209;80554;83047;87505;102899;112836;129694;;;;
Сибирский федеральный округ;240201;288657;272769;330033;380562;440529;481990;503123;538020;574554;634610;672343;;;;
Республика Алтай ;609;929;828;1013;1281;1637;1654;1817;1838;2050;2390;2758;;;;
Республика Бурятия;12478;12889;10746;11978;12768;15558;19826;17855;20895;23093;26886;27180;;;;
Республика Тыва;795;860;1253;1919;2215;2860;2868;2920;3220;3572;3742;4096;;;;
Республика Хакасия;7883;10797;9307;13474;16216;13689;21462;26770;29211;31298;38605;46346;;;;
Алтайский край ;21777;23693;19258;23896;26748;31794;31991;34398;37721;40843;44355;45047;;;;
Забайкальский край;10891;11848;10416;12149;13893;14713;18311;17819;26109;27625;28173;33034;;;;
Красноярский край;42463;56565;52348;64816;76587;86045;95432;105701;119348;134338;160264;164150;;;;
Иркутская область;29019;40306;41852;48036;60271;77346;81275;81865;82614;82363;91593;100317;;;;
Кемеровская область ;44851;51030;57402;64074;69610;80869;85949;89059;89683;93122;94377;95620;;;;
Новосибирская область ;36436;42562;33915;42517;51580;59332;61592;60444;60370;62922;63112;64195;;;;
Омская область ;19231;21122;21460;26616;29919;33713;36013;36516;40478;43188;48608;53764;;;;
Томская область ;13769;16054;13984;19545;19474;22972;25617;27958;26534;30139;32505;35837;;;;
Дальневосточный   федеральный округ;104935;123161;131752;143392;172291;198707;213850;227002;244195;263789;278750;293532;;;;
Республика Саха (Якутия);18410;22007;25138;27401;33367;37946;42849;45863;50131;56674;65548;72318;;;;
Камчатский край;9663;12224;13464;12670;12874;14948;15370;15517;16094;16324;17597;19488;;;;
Приморский край;25973;29698;31408;32673;41323;47025;51397;53814;55777;62365;62095;61252;;;;
Хабаровский край;21087;23857;24291;28754;33902;39891;44320;44974;50372;53264;55067;56763;;;;
Амурская область;15233;16664;16758;17634;21774;26935;25889;26915;27547;29652;32521;33659;;;;
Магаданская область;3979;5079;5638;6397;7392;8183;9705;10399;11975;12248;12713;15411;;;;
Сахалинская область;6840;8694;9369;10413;12223;13965;16183;18533;18429;20157;18505;20328;;;;
Еврейская автономная область;817;962;1554;1985;2287;2866;2500;3014;3235;4136;4427;4315;;;;
Чукотский автономный округ;2931;3975;4133;5464;7150;6950;5637;7971;10635;8969;10276;9998;;;;
?????;;;;;;;;;;;;;;;;
1) Данные сформированы по кругу крупных, средних и малых организаций по фактическим видам экономической деятельности  в соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2007 (КДЕС Ред.1.1) (ОКВЭД).;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
