Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;
13. ПРОМЫШЛЕННОЕ ПРОИЗВОДСТВО ;;;;;;;;;;;;;;;;;
13.3. ИНДЕКСЫ ПРОМЫШЛЕННОГО ПРОИЗВОДСТВА;;;;;;;;;;;;;;;;;
13.3.1.   В соответствии с ОКВЭД1) ;;;;;;;;;;;;;;;;;
(в процентах к предыдущему году);;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Российская Федерация;108,7;102,9;103,1;108,9;108,0;105,1;106,3;106,8;100,6;89,3;107,3;105,0;103,4;100,4;101,7;96,6;101,1
"Центральный
федеральный округ";113,0;106,3;107,8;114,6;108,9;112,4;114,0;100,4;97,5;91,8;105,5;106,9;105,7;101,4;101,4;97,2;104,0
Белгородская область;109,1;110,1;116,0;106,2;106,3;112,9;113,4;111,3;112,7;103,5;113,9;108,7;105,6;102,1;102,5;105,5;106,2
Брянская область;117,3;112,9;105,3;104,5;104,7;116,1;111,7;121,8;103,2;76,6;122,9;110,6;115,7;96,8;102,1;113,5;107,3
Владимирская область;119,5;114,7;99,4;106,2;112,0;101,4;109,8;122,6;112,3;84,4;114,7;107,4;103,4;108,0;109,2;99,8;104,6
Воронежская область;105,4;101,1;98,7;106,3;106,9;111,0;109,0;104,9;103,6;99,4;106,6;110,1;129,7;106,1;108,0;103,7;104,4
Ивановская область;110,3;108,3;97,2;103,3;107,8;110,1;113,0;112,5;99,4;85,5;107,9;105,7;104,6;106,2;97,3;92,1;107,7
Калужская область;116,1;116,3;110,0;116,4;106,5;105,8;107,8;110,7;122,9;94,7;133,5;125,3;110,2;105,9;103,9;94,6;108,1
Костромская область;108,2;103,4;102,1;106,2;104,5;108,9;111,1;105,7;100,2;83,8;115,7;108,2;103,7;104,6;100,0;91,5;101,8
Курская область;102,5;86,3;103,9;119,3;104,7;104,5;106,5;104,1;95,0;100,0;106,5;104,6;103,3;100,8;105,8;104,3;104,9
Липецкая область;114,1;107,2;114,2;106,5;104,6;102,3;111,6;103,7;94,3;86,9;110,7;111,1;107,4;100,3;102,9;100,8;103,4
