Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.  ПРОМЫШЛЕННОЕ ПРОИЗВОДСТВО ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.4. ИНДЕКСЫ ПРОИЗВОДСТВА по виду экономической деятельности «Добыча полезных ископаемых»;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.4.1. В соответствии с ОКВЭД1) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(в процентах к предыдущему году);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Российская Федерация;106,4;106,0;106,8;108,7;106,8;101,4;102,8;103,3;100,4;97,2;103,8;101,8;101,0;101,1;101,4;100,3;102,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Центральный
федеральный округ";111,0;92,9;103,9;109,3;105,5;93,9;106,6;102,1;96,4;90,7;110,7;107,0;102,9;99,5;101,7;100,1;102,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Белгородская область;110,6;97,5;104,6;105,7;103,0;101,1;103,1;103,0;96,0;89,8;112,9;108,4;101,1;98,8;101,1;102,0;102,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Брянская область;96,9;84,0;99,6;86,7;в 3,1 р.;103,8;70,7;109,4;60,6;103,1;121,4;152,0;100,6;113,6;84,8;94,5;80,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Владимирская область;129,1;101,3;50,4;190,1;69,3;61,7;86,8;129,8;140,0;76,5;108,3;93,9;119,5;137,0;102,1;77,6;97,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Воронежская область;102,5;86,3;101,5;113,6;105,0;109,0;115,9;114,8;100,3;97,7;99,3;106,2;113,2;98,3;114,6;91,7;108,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ивановская область;89,6;91,8;97,7;91,3;102,0;116,1;110,2;110,0;104,2;80,1;128,1;114,0;102,5;111,3;111,6;107,9;100,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Калужская область;106,3;100,4;110,1;85,9;176,4;120,7;105,7;94,4;133,4;85,7;138,8;126,7;118,5;130,3;118,6;92,7;115,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Костромская область;86,1;85,9;101,5;94,6;72,4;113,9;113,4;92,3;100,6;72,9;141,4;158,6;55,1;109,4;122,2;95,1;79,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Курская область;115,5;76,8;111,4;122,6;106,4;91,7;116,8;99,7;90,6;92,7;112,7;104,8;103,4;97,7;100,7;104,8;104,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Липецкая область;133,3;100,2;в 4,8 р.;105,1;168,8;55,3;134,3;100,6;93,3;99,9;106,2;103,4;102,3;98,1;102,5;102,1;100,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Московская область;102,9;118,5;87,2;106,9;97,1;53,3;78,2;113,3;109,8;59,1;91,7;122,0;111,0;115,2;100,3;88,3;83,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Орловская область;82,5;109,9;79,3;130,8;114,1;48,4;146,4;96,8;147,3;53,5;81,2;172,9;91,3;115,6;115,9;76,8;68,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Рязанская область;135,1;99,1;122,2;70,4;133,2;87,3;80,4;127,2;87,4;81,9;135,0;119,2;91,7;108,0;101,1;72,0;89,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Смоленская область;118,3;89,1;103,0;90,7;110,6;101,0;100,5;117,9;88,1;80,8;113,0;92,2;105,8;107,4;90,4;83,2;119,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тамбовская область;94,0;71,0;101,6;97,3;171,1;91,0;126,0;159,7;99,4;102,4;137,3;136,0;112,3;104,1;108,4;108,3;100,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тверская область;61,0;121,4;88,9;52,6;118,3;103,9;80,9;142,3;139,2;57,6;117,5;110,8;123,2;74,9;95,3;127,7;88,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тульская область;108,6;110,4;73,6;84,5;98,6;125,9;114,9;104,7;92,9;73,5;115,6;115,2;136,0;112,3;106,2;95,1;103,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ярославская область;96,7;127,4;93,3;90,4;113,0;96,8;104,7;110,8;105,4;71,4;100,6;145,1;129,4;111,2;88,2;84,7;113,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
г. Москва;122,9;105,0;100,8;100,5;129,9;177,1;-;-;-;-;-;-;-;-;-;- ;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Северо-Западный
федеральный округ";110,7;91,9;91,1;103,5;109,8;115,4;106,7;103,8;102,8;105,0;100,2;95,3;97,9;98,6;101,5;106,0;100,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Карелия;99,2;97,3;107,6;102,5;96,8;132,0;107,3;107,4;95,2;89,1;114,3;106,0;102,6;101,7;100,3;99,2;103,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Коми;102,5;108,4;93,0;103,8;106,1;105,5;105,0;103,1;106,7;98,3;100,7;101,9;102,5;101,1;99,8;106,2;95,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Архангельская область;142,3;58,7;68,7;97,7;141,5;115,5;107,2;105,3;106,9;127,7;96,8;84,0;89,0;96,2;106,9;112,0;115,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;114,9;104,7;111,7;143,6;142,0;115,2;107,6;104,9;107,4;128,4;96,5;83,7;88,8;96,0;106,0;110,5;115,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Архангельская область без автономного округа;;;;;;;;127,8;79,6;75,7;141,0;119,8;100,7;109,8;161,7;170,2;109,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Вологодская область;96,2;143,4;65,7;106,7;143,3;90,7;93,7;88,7;93,6;89,7;83,6;125,5;97,0;106,4;111,1;91,4;89,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
