Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
13.  ПРОМЫШЛЕННОЕ ПРОИЗВОДСТВО ;;;;;;;;;
"13.7. ИНДЕКСЫ ПРОИЗВОДСТВА по виду экономической деятельности «Обеспечение электрической энергией, газом и паром; кондиционирование воздуха» в соответствии с ОКВЭД21)";;;;;;;;;
(в процентах к предыдущему году);;;;;;;;;
;2015;2016;2017;2018;;;;;
Российская Федерация;99,0;102,0;99,6;101,6;;;;;
"Центральный
федеральный округ";98,2;103,4;99,7;101,2;;;;;
Белгородская область;99,8;95,5;102,2;102,4;;;;;
Брянская область;93,4;120,4;108,1;109,2;;;;;
Владимирская область;100,7;105,3;104,6;114,9;;;;;
Воронежская область;98,0;113,6;107,0;97,7;;;;;
Ивановская область;90,5;114,4;82,2;92,3;;;;;
Калужская область;77,8;102,5;98,0;103,5;;;;;
Костромская область;66,3;102,3;106,4;91,4;;;;;
Курская область;100,1;94,4;103,3;89,1;;;;;
Липецкая область;103,9;95,4;102,3;104,7;;;;;
Московская область;98,7;102,8;98,0;102,3;;;;;
Орловская область;90,2;108,7;99,4;104,7;;;;;
Рязанская область;85,9;111,6;83,7;92,6;;;;;
Смоленская область;100,6;93,9;100,5;88,0;;;;;
Тамбовская область;96,4;103,3;99,5;96,1;;;;;
Тверская область;107,0;87,6;110,6;105,5;;;;;
Тульская область;94,2;104,4;87,4;100,7;;;;;
Ярославская область;94,6;109,1;139,2;111,3;;;;;
г. Москва;95,5;107,5;97,4;104,0;;;;;
"Северо-Западный
федеральный округ";98,8;104,4;100,2;102,8;;;;;
Республика Карелия;103,3;99,0;106,5;97,4;;;;;
Республика Коми;100,7;99,4;103,8;105,5;;;;;
Архангельская область;99,1;105,0;99,3;101,0;;;;;
в том числе:;;;;;;;;;
Ненецкий автономный округ;100,0;107,9;104,8;102,3;;;;;
Архангельская область без автономного округа;98,3;104,1;98,8;100,8;;;;;
Вологодская область;113,3;107,4;86,9;105,0;;;;;
Калининградская область;95,9;110,1;106,2;102,9;;;;;
Ленинградская область;100,1;104,7;94,8;109,6;;;;;
Мурманская область;98,4;102,8;102,4;98,1;;;;;
Новгородская область;101,3;102,8;103,9;105,4;;;;;
Псковская область;82,7;85,9;122,2;72,0;;;;;
г. Санкт-Петербург;95,3;105,6;103,2;101,5;;;;;
Южный             федеральный округ;101,4;112,7;98,9;107,2;;;;;
Республика Адыгея;94,1;103,9;102,6;92,0;;;;;
Республика Калмыкия;90,0;150,3;85,5;130,7;;;;;
Республика Крым;107,9;144,9;84,8;113,5;;;;;
Краснодарский край;97,9;103,6;98,0;105,2;;;;;
Астраханская область;103,2;99,9;97,5;100,2;;;;;
Волгоградская область;95,3;105,7;108,5;100,3;;;;;
Ростовская область;107,8;111,4;101,8;111,0;;;;;
г. Севастополь;110,4;117,1;91,6;100,1;;;;;
Северо-Кавказский    федеральный округ;103,2;101,3;105,1;95,1;;;;;
Республика Дагестан;103,5;116,2;81,9;111,0;;;;;
Республика Ингушетия ;87,0;104,5;101,8;105,8;;;;;
Кабардино-Балкарская Республика;87,3;102,9;101,3;93,2;;;;;
Карачаево-Черкесская Республика;117,7;90,3;123,6;103,2;;;;;
Республика Северная Осетия – Алания;101,0;94,0;125,2;92,2;;;;;
Чеченская Республика ;105,1;103,1;99,8;100,1;;;;;
Ставропольский край;102,8;103,2;103,9;91,5;;;;;
Приволжский федеральный округ;96,9;98,3;101,9;103,3;;;;;
Республика Башкортостан;99,0;103,2;105,1;103,2;;;;;
Республика Марий Эл;94,5;99,7;99,2;102,4;;;;;
Республика Мордовия;83,6;93,8;107,2;113,0;;;;;
Республика Татарстан;95,5;104,0;99,9;120,4;;;;;
Удмуртская Республика;102,1;93,3;96,3;109,4;;;;;
Чувашская Республика;89,3;107,5;113,5;90,3;;;;;
Пермский край;95,6;94,7;110,6;102,5;;;;;
Кировская область;98,7;98,9;99,5;99,2;;;;;
Нижегородская область;98,7;102,6;99,8;98,1;;;;;
Оренбургская область;88,6;85,6;98,6;102,0;;;;;
Пензенская область;97,9;102,7;100,5;103,9;;;;;
Самарская область;94,6;95,5;100,8;105,6;;;;;
Саратовская область;106,1;101,7;99,9;99,1;;;;;
Ульяновская область;89,0;94,9;101,8;103,7;;;;;
Уральский      федеральный округ;99,4;105,4;101,7;102,0;;;;;
Курганская область;105,7;92,1;103,3;99,5;;;;;
Свердловская область;99,4;110,5;105,7;100,3;;;;;
Тюменская область;98,2;103,8;100,3;103,7;;;;;
в том числе:;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;99,2;102,1;97,2;98,7;;;;;
Ямало-Ненецкий автономный округ;96,2;107,9;105,8;112,8;;;;;
Тюменская область без автономных округов;97,6;104,4;106,0;108,4;;;;;
Челябинская область;104,3;105,8;97,1;105,8;;;;;
Сибирский          федеральный округ2);100,4;101,5;98,5;101,6;;;;;
Республика Алтай;183,4;164,4;102,5;104,9;;;;;
Республика Тыва;103,9;99,5;112,5;99,8;;;;;
Республика Хакасия;102,3;123,8;89,2;115,0;;;;;
Алтайский край;105,3;101,1;94,4;95,5;;;;;
Красноярский край;103,2;101,1;98,6;102,7;;;;;
Иркутская область;95,7;100,7;101,1;107,4;;;;;
Кемеровская область;111,0;96,0;98,9;95,2;;;;;
Новосибирская область;99,1;101,4;95,6;98,2;;;;;
Омская область;98,3;97,6;99,4;98,7;;;;;
Томская область;85,4;96,3;98,9;106,3;;;;;
