Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;
13.  ПРОМЫШЛЕННОЕ ПРОИЗВОДСТВО ;;;;;;;;
"13.8. ИНДЕКСЫ ПРОИЗВОДСТВА по виду экономической деятельности «Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений»  в соответствии с ОКВЭД21)";;;;;;;;
(в процентах к предыдущему году);;;;;;;;
;2015;2016;2017;2018;;;;
Российская Федерация;95,2;100,8;97,9;102,0;;;;
"Центральный
федеральный округ";93,8;92,2;101,0;107,2;;;;
Белгородская область;101,1;111,8;89,9;87,8;;;;
Брянская область;106,1;109,2;122,7;98,3;;;;
Владимирская область;95,2;94,0;108,9;109,8;;;;
Воронежская область;100,0;98,2;101,9;113,6;;;;
Ивановская область;95,4;99,0;104,0;114,4;;;;
Калужская область;91,8;97,5;106,9;116,2;;;;
Костромская область;99,2;101,4;104,7;111,3;;;;
Курская область;95,6;97,4;114,1;129,3;;;;
Липецкая область;100,3;95,5;106,1;108,8;;;;
Московская область;96,9;94,2;100,9;107,8;;;;
Орловская область;94,0;99,9;106,0;99,7;;;;
Рязанская область;88,9;105,8;101,6;97,2;;;;
Смоленская область;104,8;94,3;128,5;125,2;;;;
Тамбовская область;99,4;95,4;105,7;105,8;;;;
Тверская область;93,6;91,3;102,8;102,4;;;;
Тульская область;91,4;94,2;112,8;108,4;;;;
Ярославская область;98,1;94,3;115,7;110,1;;;;
г. Москва;91,7;90,3;99,3;111,6;;;;
"Северо-Западный
федеральный округ";100,4;103,0;103,4;104,2;;;;
Республика Карелия;99,9;105,7;101,2;102,6;;;;
Республика Коми;117,3;99,2;107,3;99,8;;;;
Архангельская область;99,8;103,3;109,7;96,8;;;;
в том числе:;;;;;;;;
Ненецкий автономный округ;116,9;119,0;104,9;94,2;;;;
Архангельская область без автономного округа;99,4;102,7;110,3;97,0;;;;
Вологодская область;97,2;98,5;97,9;96,0;;;;
Калининградская область;108,5;103,6;101,7;102,9;;;;
Ленинградская область;98,3;106,4;109,6;114,8;;;;
Мурманская область;104,4;101,6;102,2;92,0;;;;
Новгородская область;88,9;102,5;81,3;104,7;;;;
Псковская область;98,2;106,6;142,7;125,2;;;;
г. Санкт-Петербург;95,5;104,4;110,1;111,1;;;;
Южный             федеральный округ;105,9;104,2;100,0;105,2;;;;
Республика Адыгея;102,5;101,5;90,7;94,7;;;;
Республика Калмыкия;93,1;88,4;97,8;110,0;;;;
Республика Крым;в 2,2 р.;146,3;108,8;101,5;;;;
Краснодарский край;108,3;109,2;106,0;111,2;;;;
Астраханская область;106,2;98,3;74,9;101,7;;;;
Волгоградская область;115,1;94,4;100,7;96,6;;;;
Ростовская область;102,1;103,6;110,1;122,4;;;;
г. Севастополь;…;163,9;126,8;99,8;;;;
Северо-Кавказский    федеральный округ;107,5;103,5;96,5;100,1;;;;
Республика Дагестан;109,0;110,1;89,0;78,3;;;;
Республика Ингушетия ;100,3;103,1;108,3;136,0;;;;
Кабардино-Балкарская Республика;107,7;108,5;100,3;105,0;;;;
Карачаево-Черкесская Республика;108,4;103,3;97,1;129,7;;;;
Республика Северная Осетия – Алания;91,6;133,4;104,2;90,5;;;;
Чеченская Республика ;100,0;99,9;93,3;102,1;;;;
Ставропольский край;109,0;100,3;96,6;101,1;;;;
Приволжский федеральный округ;99,2;105,8;103,1;108,0;;;;
Республика Башкортостан;102,3;112,3;107,4;107,8;;;;
Республика Марий Эл;102,7;86,5;119,0;113,4;;;;
Республика Мордовия;126,9;51,5;71,6;в 2,7 р.;;;;
Республика Татарстан;106,7;114,7;117,5;105,8;;;;
Удмуртская Республика;101,4;94,3;96,8;102,5;;;;
Чувашская Республика;100,0;107,7;115,4;106,7;;;;
Пермский край;110,6;100,6;107,7;119,2;;;;
Кировская область;89,9;99,2;101,9;103,3;;;;
Нижегородская область;101,9;113,7;96,8;103,7;;;;
Оренбургская область;59,3;101,8;107,6;129,6;;;;
Пензенская область;94,5;104,9;111,8;120,4;;;;
Самарская область;106,0;101,4;100,1;96,0;;;;
Саратовская область;107,1;106,8;105,1;94,2;;;;
Ульяновская область;81,1;99,8;102,5;110,1;;;;
Уральский      федеральный округ;115,3;101,4;111,0;107,1;;;;
Курганская область;95,1;102,3;96,2;103,5;;;;
Свердловская область;139,1;96,5;137,7;111,3;;;;
Тюменская область;100,4;108,5;96,3;108,3;;;;
в том числе:;;;;;;;;
Ханты-Мансийский автономный округ – Югра;97,3;110,3;89,6;94,9;;;;
Ямало-Ненецкий автономный округ;100,6;105,0;101,1;98,7;;;;
Тюменская область без автономных округов;107,6;111,0;108,8;115,3;;;;
Челябинская область;89,5;100,9;105,0;102,7;;;;
Сибирский          федеральный округ2);87,6;100,0;98,1;104,0;;;;
Республика Алтай;107,8;115,8;85,2;105,0;;;;
Республика Тыва;98,2;109,8;105,1;78,9;;;;
Республика Хакасия;86,3;100,6;109,5;115,5;;;;
Алтайский край;105,3;112,0;104,2;118,2;;;;
