Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;;;;;;;
РАСТЕНИЕВОДСТВО;;;;;;;;;;;;;;;;;;;
"14.15. ВАЛОВОЙ СБОР СЕМЯН ПОДСОЛНЕЧНИКА (в весе после доработки)1);2)";;;;;;;;;;;;;;;;;;;
"(в хозяйствах всех категорий; тысяч тонн)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;3918,5;2682,2;3688,4;4887,0;4810,3;6469,6;6743,4;5672,3;7351,8;6457,7;4980,4;9068,9;7501,3;9852,3;8480,9;9288,7;11015,1;10481,0;12755,7
Центральный федеральный округ;747,3;554,0;694,8;888,9;717,7;988,7;934,0;1040,6;1320,8;1558,0;1059,1;2437,9;2203,0;2737,9;2405,9;2821,5;2684,1;2449,4;3341,1
Белгородская область;171,1;120,5;157,4;171,9;133,7;157,3;178,1;172,4;210,0;259,6;225,5;386,5;337,4;370,9;296,9;322,2;375,3;297,2;403,7
Брянская область;0,0;0,0;-;-;-;-;-;0,0;0,0;-;7,8;4,1;2,5;0,8;2,2;2,5;6,4;10,8;13,9
Владимировская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Воронежская область;356,8;284,8;350,1;488,4;389,7;530,4;534,0;587,8;735,8;777,6;382,4;937,8;825,3;984,7;895,6;1008,9;922,9;845,5;1099,7
Ивановская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Калужская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,7;0,1;0,1;-
Костромская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Курская область;26,8;8,4;15,0;21,1;10,9;9,6;7,8;8,7;27,3;46,7;74,7;224,8;221,9;274,9;245,8;266,1;306,8;299,8;30,0
Липецкая область;37,5;22,6;25,9;33,5;28,1;42,4;33,3;31,3;49,6;74,3;80,3;204,2;204,8;291,5;255,2;349,8;307,1;302,8;30,3
Московская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Орловская область;11,3;4,2;2,9;4,5;3,2;0,0;0,1;-;0,2;2,4;11,4;60,3;55,6;83,7;78,9;72,1;117,1;107,1;160,7
Рязанская область;2,3;0,7;0,7;0,8;0,4;1,3;1,0;0,5;0,7;5,8;4,5;26,7;39,7;45,0;39,1;39,3;55,5;56,7;85,2
Смоленская область ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,4
Тамбовская область;137,1;111,7;140,7;167,0;150,6;245,7;178,1;239,2;296,8;390,8;269,5;583,5;500,9;666,7;573,5;734,8;570,7;516,2;770,1
Тверская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Тульская область;4,4;1,1;2,0;1,6;1,0;1,9;1,7;0,5;0,4;0,8;3,0;9,9;14,9;19,7;18,8;25,0;22,2;13,3;30,0
Ярославская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
г. Москва;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Северо-Западный федеральный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Республика Карелия;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Республика Коми;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Архангельская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
  в том числе:;;;;;;;;;;;;;;;;;;;
 Ненецкий автономный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
