Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;;;;;;;
РАСТЕНИЕВОДСТВО;;;;;;;;;;;;;;;;;;;
14.17. ВАЛОВОЙ СБОР ЛЬНОВОЛОКНА;;;;;;;;;;;;;;;;;;;
"(в хозяйствах всех категорий; тысяч тонн)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;51,2;58,0;37,7;55,3;57,8;55,9;36,1;47,5;52,5;52,3;35,2;43,4;46,1;39,0;37,2;45,2;41,2;38,8;36,7
Центральный       федеральный округ;20,9;25,2;15,3;22,0;24,9;23,0;10,0;13,6;17,1;13,8;9,2;12,8;13,5;12,1;13,0;14,8;14,4;12,6;13,2
Белгородская область;-;-;-;-;-;-;-;-;-;-;-;0,0;-;-;-;-;-;0,1;-
Брянская область;0,6;1,1;0,4;2,3;3,5;3,0;1,2;2,0;2,0;1,7;0,8;1,2;1,5;1,0;2,3;3,0;2,4;2,6;3,1
Владимировская область;0,0;0,1;0,4;0,1;0,0;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Воронежская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ивановская область;1,3;2,2;0,3;1,1;1,3;1,7;0,5;0,5;1,1;0,9;0,5;1,2;0,6;0,2;0,2;0,2;0,1;-;…1)
Калужская область;1,8;1,6;0,5;1,2;1,6;1,4;0,2;0,4;0,2;0,2;-;-;-;-;-;-;-;-;-
Костромская область;1,9;2,0;0,7;0,7;0,7;0,6;0,3;1,4;1,9;2,0;0,6;1,2;1,4;0,8;0,1;0,2;0,0;0,0;0,1
Курская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Липецкая область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Московская область2);3)";0,0;0,1;0,1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,0;-
Орловская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Рязанская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Смоленская область;5,3;6,0;3,7;4,9;5,7;4,6;1,6;2,4;2,7;1,8;0,8;1,1;2,1;2,7;2,8;3,8;5,1;4,5;3,3
Тамбовская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Тверская область;8,7;10,2;8,3;10,1;10,6;9,8;5,0;5,3;6,9;5,7;4,4;5,6;5,4;5,5;5,8;5,8;5,0;4,0;4,5
Тульская область;0,1;0,0;0,1;0,0;0,0;0,1;0,0;0,1;-;0,0;0,1;-;0,1;-;-;-;-;-;…1)
Ярославская область;1,2;1,9;0,7;1,6;1,5;1,9;1,1;1,6;2,2;1,5;2,1;2,4;2,4;2,0;1,7;1,9;1,8;1,3;2,0
г. Москва3);…;…;…;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Северо-Западный     федеральный округ;9,3;6,5;3,3;5,0;5,5;5,2;1,5;3,0;2,6;4,1;4,1;3,6;3,1;3,1;4,8;5,4;4,8;3,3;4,1
Республика Карелия;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Республика Коми;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Архангельская область;0,0;-;0,0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
  в том числе:;;;;;;;;;;;;;;;;;;;
 Ненецкий автономный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
 Архангельская область без автономного округа;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Вологодская область;3,9;3,4;1,1;2,6;2,8;4,5;0,8;1,9;1,7;3,2;3,4;2,8;2,2;2,2;3,8;4,3;3,4;1,9;2,6
Калининградская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,1;-;-
Ленинградская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Мурманская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Новгородская область;1,8;1,3;0,7;0,6;0,9;0,2;0,4;0,5;0,5;0,7;0,7;0,8;0,9;0,9;1,0;1,2;1,3;1,4;1,5
Псковская область;3,6;1,9;1,6;1,7;1,7;0,5;0,3;0,5;0,3;0,3;0,0;0,0;0,0;0,0;0,0;-;-;-;-
г. Санкт-Петербург;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Южный         федеральный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Республика Адыгея;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Республика Калмыкия;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Республика Крым;;;;;;;;;;;;;;;-;-;-;-;-
Краснодарский край;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Астраханская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Волгоградская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ростовская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
г. Севастополь;;;;;;;;;;;;;;;-;-;-;-;-
Северо-Кавказский федеральный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Республика Дагестан;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Республика Ингушетия ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Кабардино-Балкарская Республика;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Карачаево-Черкесская Республика;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Республика Северная Осетия – Алания;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Чеченская Республика ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ставропольский край;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Приволжский       федеральный округ;7,7;10,4;3,6;10,3;8,7;11,0;6,9;8,0;8,4;9,1;4,9;9,1;11,2;5,7;5,5;7,3;7,7;8,3;7,9
Республика Башкортостан;0,0;-;0,0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Республика Марий Эл;0,7;1,1;0,3;0,7;0,7;1,2;0,5;0,4;0,4;0,1;0,0;0,1;…1);…1);0,0;…1);-;-;0,1
Республика Мордовия;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Республика Татарстан;0,6;0,3;0,1;0,3;0,8;0,6;0,7;0,8;0,8;0,8;0,0;0,9;1,1;0,7;1,4;1,4;1,4;1,5;1,6
Удмуртская Республика;3,8;5,8;2,4;6,5;4,9;6,7;4,0;5,5;5,9;5,7;2,8;4,4;5,6;0,8;2,5;3,6;3,9;4,5;2,8
Чувашская Республика;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Пермский край;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-;-;-;-;-;-;-;-;-
Кировская область;1,2;1,7;0,3;1,5;0,9;1,0;0,4;0,4;0,4;0,4;0,2;0,3;0,2;0,1;0,1;0,0;0,1;-;-
Нижегородская область ;1,3;1,5;0,4;1,3;1,4;1,4;1,2;0,9;1,0;2,0;1,7;2,9;3,6;3,8;1,4;2,1;2,2;2,3;3,4
Оренбургская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Пензенская область;0,1;0,1;-;-;-;-;0,1;-;-;0,1;0,2;0,6;…1);…1);0,0;…1);-;-;-
Самарская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Саратовская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ульяновская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Уральский       федеральный округ;0,0;0,1;0,1;0,1;0,4;0,2;0,1;0,1;0,1;0,1;0,0;0,5;0,2;0,2;0,3;2,5;0,9;2,6;1,4
Курганская область;0,0;0,0;0,0;-;0,0;0,1;0,0;0,1;0,1;0,1;0,0;0,5;0,2;0,2;0,3;2,5;0,9;2,6;1,4
Свердловская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Тюменская область;0,0;0,1;0,1;0,1;0,4;0,1;0,0;-;-;-;-;-;-;-;-;-;-;-;-
в том числе:;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ямало-Ненецкий автономный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
 Тюменская область     без автономных округов;-;-;-;-;-;0,1;0,0;-;-;-;-;-;-;-;-;-;-;-;-
Челябинская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Сибирский     федеральный округ;13,2;15,8;15,4;17,8;18,3;16,5;17,6;22,9;24,3;25,1;17,0;17,4;18,0;18,0;13,6;15,3;13,5;12,0;10,1
Республика Алтай;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Республика Тыва;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Республика Хакасия;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Алтайский край;6,1;7,1;8,1;9,6;8,8;7,5;9,1;11,9;14,1;10,9;6,6;6,4;4,8;4,6;4,4;4,6;4,8;4,1;3,7
Красноярский край;0,0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Иркутская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Кемеровская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
