Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;;;;;;;
ОСНОВНЫЕ ПОКАЗАТЕЛИ СЕЛЬСКОГО ХОЗЯЙСТВА;;;;;;;;;;;;;;;;;;;
14.2. ИНДЕКСЫ ПРОИЗВОДСТВА ПРОДУКЦИИ СЕЛЬСКОГО ХОЗЯЙСТВА;;;;;;;;;;;;;;;;;;;
14.2.1. Всего1);;;;;;;;;;;;;;;;;;;
" (в хозяйствах всех категорий; в сопоставимых ценах; в процентах к предыдущему году)  ";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация2);106,2;106,9;100,9;99,9;102,4;101,6;103,0;103,0;110,1;100,7;87,9;122,3;94,4;105,1;104,1;102,1;104,8;102,9;99,8
Центральный федеральный округ;112,3;100,0;100,1;102,9;97,5;102,9;102,1;106,2;113,8;103,0;83,9;133,7;103,4;105,9;104,6;104,1;104,0;103,5;103,1
Белгородская область;120,3;107,7;101,7;100,1;107,1;114,8;113,0;122,4;127,5;108,5;98,4;132,0;105,5;108,0;104,9;104,1;106,6;99,5;104,7
Брянская область;109,3;94,8;98,1;103,5;96,2;95,6;100,0;106,0;107,9;103,4;94,2;124,6;105,6;112,2;114,9;113,1;108,9;106,0;103,1
Владимирская область;108,0;87,4;105,8;98,7;89,0;108,8;99,9;101,7;93,7;106,9;77,4;123,6;106,8;92,0;103,8;102,4;97,3;93,7;101,1
Воронежская область;129,0;102,0;101,3;117,5;94,0;100,7;103,1;107,0;125,9;99,5;72,7;163,7;104,2;109,9;101,9;99,3;104,6;102,8;101,8
Ивановская область;115,0;89,6;94,6;102,5;96,3;96,0;104,9;100,4;91,5;104,0;91,8;109,3;95,7;93,0;94,4;103,7;97,7;98,8;99,5
Калужская область;102,2;97,6;92,8;106,3;97,9;93,9;96,5;107,6;100,5;104,1;91,4;106,4;102,8;92,3;103,2;109,3;100,1;111,9;110,7
Костромская область;102,9;97,8;96,9;93,8;93,2;98,6;101,7;97,0;94,2;99,5;91,0;111,3;98,0;93,0;97,3;95,1;96,7;93,4;97,9
Курская область;119,7;101,5;108,3;98,3;102,5;101,4;101,3;110,3;121,3;99,3;81,4;147,2;108,0;115,1;113,9;101,0;112,5;108,5;100,4
