Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
14.СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;;;;;;;
ОСНОВНЫЕ ПОКАЗАТЕЛИ СЕЛЬСКОГО ХОЗЯЙСТВА;;;;;;;;;;;;;;;;;;;
14.2. ИНДЕКСЫ ПРОИЗВОДСТВА ПРОДУКЦИИ СЕЛЬСКОГО ХОЗЯЙСТВА;;;;;;;;;;;;;;;;;;;
14.2.2. Продукция растениеводства1);;;;;;;;;;;;;;;;;;;
" (в хозяйствах всех категорий; в сопоставимых ценах; в процентах к предыдущему году)  ";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация2);110,9;109,8;98,7;100,4;106,3;102,7;100,3;101,4;116,3;97,6;74,9;147,1;86,7;110,3;105,4;102,1;107,8;103,3;98,5
Центральный федеральный округ;122,9;98,2;99,3;108,5;97,1;104,0;97,4;106,7;120,9;99,3;64,8;168,9;98,9;105,3;106,3;103,1;104,5;101,3;102,7
Белгородская область;134,1;108,0;104,4;105,1;105,0;110,7;92,7;114,6;125,8;84,4;67,2;204,6;92,8;105,5;108,4;101,4;117,4;90,5;111,8
Брянская область;125,0;89,6;96,9;111,0;96,8;90,0;91,4;112,7;113,4;107,7;84,0;146,5;95,1;104,3;113,2;107,1;111,7;109,0;101,8
Владимирская область;104,7;74,5;110,6;100,6;87,4;115,2;98,0;102,8;88,6;114,4;58,4;153,0;103,4;83,1;112,7;103,8;93,6;85,2;107,8
Воронежская область;148,5;101,6;99,3;130,0;93,1;106,2;98,7;108,9;139,3;90,7;50,3;230,4;101,1;114,2;105,5;98,8;104,2;101,8;98,0
Ивановская область;131,6;76,7;93,6;116,2;98,6;94,7;109,8;100,3;82,4;116,7;76,0;119,0;90,7;90,1;108,4;92,7;91,1;96,4;104,3
Калужская область;105,8;93,0;88,8;115,4;99,0;92,0;94,5;108,5;97,6;102,6;85,6;114,9;102,3;82,8;102,1;116,4;94,6;113,4;105,1
Костромская область;108,9;93,5;91,0;96,6;92,3;102,8;99,5;95,7;94,4;101,7;72,8;126,0;95,6;91,3;102,9;90,3;93,0;79,5;109,9
Курская область;140,2;101,7;112,2;100,0;104,3;104,0;99,7;116,3;131,3;97,3;65,6;176,4;105,4;106,1;111,0;94,6;118,6;108,7;101,2
