Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;;;;;;;
РАСТЕНИЕВОДСТВО;;;;;;;;;;;;;;;;;;;
14.23. ВАЛОВОЙ СБОР ПЛОДОВ И ЯГОД1);;;;;;;;;;;;;;;;;;;
"(в хозяйствах всех категорий; тысяч тонн)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;2690,0;2378,4;2644,3;2444,6;2537,2;2403,8;1940,1;2434,2;2343,2;2638,7;2074,7;2416,0;2511,8;2739,1;2779,6;2676,1;3055,6;2682,6;3337,0
"Центральный 
федеральный округ";804,9;680,3;990,0;632,3;763,3;652,9;473,9;716,5;554,2;761,9;548,4;589,3;728,3;681,1;764,5;627,0;649,7;496,4;720,6
Белгородская область;11,6;51,2;50,7;58,8;37,7;32,4;27,4;40,6;45,3;41,2;37,2;41,0;43,1;45,5;50,9;40,4;43,7;37,7;48,6
Брянская область;38,4;8,9;32,2;21,8;20,0;18,8;13,7;13,0;14,5;15,9;18,1;12,1;25,8;25,3;21,0;21,7;19,5;15,4;28,0
Владимирская область;22,2;18,6;36,0;13,3;27,1;17,3;14,2;18,8;18,6;29,3;25,6;17,7;28,8;12,5;27,6;17,3;21,3;8,0;17,8
Воронежская область;55,9;88,5;112,1;110,2;88,2;84,6;66,7;112,3;68,5;87,9;70,5;77,1;117,1;116,6;112,7;110,9;110,7;91,2;136,1
Ивановская область;13,1;16,8;21,7;16,2;17,4;15,0;14,7;11,8;10,6;12,8;9,0;10,3;9,6;9,1;9,5;8,8;9,0;7,6;8,9
Калужская область;35,8;43,0;39,9;15,6;24,6;24,9;16,2;25,9;16,8;19,5;17,4;19,6;20,5;23,2;24,2;27,1;22,3;24,6;25,4
Костромская область;12,6;10,3;13,8;9,1;11,5;9,9;11,1;10,6;10,1;10,0;9,3;9,0;9,0;8,7;11,9;7,6;8,2;4,0;5,2
Курская область;29,5;36,9;47,2;67,6;53,8;51,3;28,8;30,4;34,7;26,3;36,7;15,9;45,0;22,2;38,3;22,3;22,6;19,2;34,8
Липецкая область;65,1;55,5;89,4;58,3;62,4;57,9;50,2;105,1;71,5;83,1;38,1;56,6;87,8;78,2;74,5;56,6;66,1;54,6;99,2
