Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;;;;;;;
РАСТЕНИЕВОДСТВО;;;;;;;;;;;;;;;;;;;
 14.24. ВНЕСЕНИЕ УДОБРЕНИЙ НА ОДИН ГЕКТАР ПОСЕВА СЕЛЬСКОХОЗЯЙСТВЕННЫХ КУЛЬТУР В СЕЛЬСКОХОЗЯЙСТВЕННЫХ ОРГАНИЗАЦИЯХ1) ;;;;;;;;;;;;;;;;;;;
14.24.1. Минеральные удобрения (в пересчете на 100% питательных веществ);;;;;;;;;;;;;;;;;;;
(килограмм);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;18,7;19,1;21,4;21,1;22,8;24,7;27,3;32,4;35,8;35,9;38,0;39,0;38,0;37,6;40,0;42,2;48,8;55,0;56,2
Центральный       федеральный округ;29,0;28,9;30,6;32,8;34,3;36,8;44,6;52,1;62,7;60,5;67,4;67,6;67,1;66,1;70,9;77,6;88,3;95,7;98,1
Белгородская область;29,1;56,5;64,5;55,6;58,3;69,4;84,6;91,3;102,6;98,1;113,9;98,0;97,1;92,7;87,7;93,7;101,3;108,1;106,5
Брянская область;48,2;32,5;29,1;34,2;31,6;28,5;34,9;29,1;33,8;31,7;36,1;44,2;43,6;56,0;72,9;90,3;119,5;127,8;126,8
Владимирская область;25,9;24,5;28,4;25,3;21,9;21,7;26,4;28,4;40,1;32,2;32,8;38,4;39,3;27,7;31,5;28,5;26,8;35,6;35,8
Воронежская область;30,2;23,8;29,5;36,1;34,9;32,2;36,7;52,9;69,3;64,2;75,1;67,0;61,4;64,0;67,1;71,3;75,9;85,5;89,6
Ивановская область;8,4;10,1;10,3;11,8;10,4;10,3;11,5;11,3;13,9;10,5;13,6;14,8;16,1;14,2;18,6;16,7;14,5;19,7;19,4
Калужская область;14,9;16,4;17,9;13,7;13,4;11,8;14,9;21,1;29,7;29,0;30,5;34,8;28,2;26,5;21,0;29,0;36,2;47,0;68,3
Костромская область;7,6;8,5;11,9;6,9;5,4;4,0;5,2;11,0;13,3;8,6;5,9;6,8;6,2;4,5;8,5;7,1;6,3;9,4;9,2
Курская область;24,0;24,4;32,6;36,3;44,6;46,2;68,1;88,8;97,7;100,1;102,3;98,0;99,4;93,6;105,1;113,3;138,6;150,9;155,1
