Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;;;;;;;
РАСТЕНИЕВОДСТВО;;;;;;;;;;;;;;;;;;;
 14.24. ВНЕСЕНИЕ УДОБРЕНИЙ НА ОДИН ГЕКТАР ПОСЕВА СЕЛЬСКОХОЗЯЙСТВЕННЫХ КУЛЬТУР В СЕЛЬСКОХОЗЯЙСТВЕННЫХ ОРГАНИЗАЦИЯХ1) ;;;;;;;;;;;;;;;;;;;
14.24.2. Органические удобрения;;;;;;;;;;;;;;;;;;;
(тонн);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;0,9;0,8;0,9;1,0;0,9;0,9;0,9;0,9;1,0;1,0;1,1;1,1;1,1;1,1;1,3;1,4;1,4;1,5;1,5
Центральный       федеральный округ;1,4;1,1;1,2;1,2;1,0;1,0;1,0;1,1;1,3;1,3;1,5;1,4;1,8;1,9;2,3;2,2;2,2;2,5;2,5
Белгородская область;1,7;1,4;1,5;1,2;0,9;0,9;0,9;1,2;1,5;1,4;2,6;3,0;4,5;5,7;8,3;7,6;7,2;8,4;9,2
Брянская область;1,5;1,4;1,3;1,2;1,3;1,2;1,2;1,2;1,2;1,1;1,3;1,3;1,0;1,0;1,1;1,0;0,9;2,3;1,7
Владимирская область;2,6;2,2;1,9;1,6;1,5;1,5;1,5;1,6;2,2;2,1;2,3;2,0;2,6;2,2;2,4;3,0;3,2;3,0;3,3
Воронежская область;1,7;1,3;1,4;1,9;1,6;1,4;1,1;1,4;1,5;2,0;2,1;1,7;2,5;2,4;2,6;2,8;3,1;3,1;3,5
Ивановская область;1,5;1,3;1,4;1,3;1,3;1,3;1,2;1,7;1,5;1,4;1,4;1,7;1,5;1,4;1,7;1,9;1,8;2,0;1,7
Калужская область;1,3;1,0;1,1;1,2;1,1;1,2;1,0;1,1;1,2;1,3;1,5;1,3;1,3;1,3;1,5;1,8;2,1;1,8;2,3
Костромская область;1,0;0,9;0,9;1,0;0,7;0,8;0,9;0,9;1,6;1,5;1,4;1,2;1,9;1,7;1,6;1,6;1,8;2,1;1,8
Курская область;0,8;0,6;0,6;0,5;0,5;0,5;0,5;0,4;0,5;0,3;0,3;0,4;0,3;0,3;0,5;0,4;0,5;0,6;0,5
Липецкая область;1,0;0,9;1,0;1,1;1,0;1,4;1,8;2,1;2,8;2,7;2,9;2,1;3,0;2,3;2,6;2,3;2,3;2,2;2,3
"Московская область2);3)";3,0;2,2;2,1;2,1;2,1;2,3;2,3;2,2;2,1;2,6;2,6;2,6;2,2;2,6;2,4;2,5;2,7;2,5;2,3
Орловская область;0,6;0,5;0,6;0,4;0,4;0,5;0,4;0,4;0,4;0,4;0,6;0,9;1,0;1,1;1,3;1,4;1,3;1,5;2,0
