Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;;;;;;;
ЖИВОТНОВОДСТВО;;;;;;;;;;;;;;;;;;;
14.25. ПОГОЛОВЬЕ КРУПНОГО РОГАТОГО СКОТА1);;;; ;;;;;;;;;;;;;;;
"(в хозяйствах всех категорий;  на конец года;  тысяч голов)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;27519,8;27390,2;26846,1;25091,1;23153,8;21625,0;21561,6;21501,6;20952,1;20540,0;19793,9;19900,8;19679,8;19272,6;18919,9;18620,9;18346,1;18294,2;18152,1
Центральный федеральный округ;5527,4;5419,3;5215,0;4619,8;4118,3;3749,3;3549,9;3385,1;3112,9;2983,4;2859,8;2836,4;2843,4;2823,2;2820,7;2860,4;2877,3;2908,4;2978,5
Белгородская область;459,2;470,6;471,1;410,6;357,3;325,2;317,3;313,1;279,9;268,3;247,3;235,1;232,7;226,7;221,0;223,0;225,4;223,9;231,7
Брянская область;329,3;325,3;318,0;281,1;249,5;236,3;226,9;214,7;197,2;189,0;182,2;213,3;250,1;332,5;405,6;424,1;450,3;462,6;491,2
Владимирская область;214,5;206,2;198,5;174,2;159,1;152,4;148,8;145,1;137,7;138,5;140,0;145,1;141,7;141,6;134,7;135,0;133,4;133,8;136,0
Воронежская область;638,8;615,3;586,3;532,4;458,1;388,5;366,1;361,0;350,9;358,2;367,6;386,2;421,6;428,6;451,1;462,9;466,0;463,7;464,9
Ивановская область;176,6;166,6;152,2;127,5;115,9;107,2;103,6;98,8;87,4;83,6;81,0;75,5;71,1;69,6;67,5;66,3;66,3;65,5;63,6
Калужская область;214,6;211,4;196,4;171,2;154,0;144,7;138,6;133,4;127,6;129,4;129,7;130,8;131,4;129,0;127,6;136,3;144,5;156,7;169,4
Костромская область;173,4;166,8;152,0;127,6;113,8;102,4;98,2;92,1;82,6;75,3;69,8;66,8;63,2;61,3;58,2;56,1;55,3;53,6;50,6
Курская область;387,7;389,4;385,6;337,9;307,2;278,4;267,9;262,4;234,4;207,9;201,6;196,1;190,2;171,4;158,5;152,7;149,6;160,7;158,4
Липецкая область;332,3;334,0;318,9;281,4;246,4;219,5;199,4;192,2;166,3;158,2;145,9;143,7;138,6;125,6;123,2;123,7;122,2;115,0;116,4
"Московская область2);3)";531,7;508,6;488,3;441,2;393,8;363,4;347,1;332,0;313,6;293,5;276,3;260,6;238,9;233,7;223,8;217,7;213,2;213,2;205,7
Орловская область;270,2;277,1;268,4;244,7;228,6;213,1;191,6;173,5;157,1;151,6;139,6;134,9;133,6;125,9;116,2;158,4;162,0;147,2;173,7
Рязанская область;361,7;351,7;338,8;306,4;282,0;259,0;236,3;221,6;202,0;193,7;180,4;177,7;175,6;172,7;169,1;167,8;165,3;165,4;160,6
Смоленская область;282,0;273,6;255,0;221,9;199,4;185,4;172,9;157,5;142,0;135,6;137,1;139,1;135,5;120,6;96,5;96,1;100,1;106,0;112,4
Тамбовская область;260,6;260,2;260,5;239,7;212,6;192,9;179,7;171,2;159,7;153,4;146,0;144,1;141,8;141,6;139,8;120,8;105,8;100,2;95,2
Тверская область;366,2;353,7;342,1;294,5;262,5;241,6;233,1;218,3;198,5;185,8;171,7;158,6;143,8;123,1;113,5;109,1;107,9;106,2;99,3
Тульская область;265,5;247,4;232,1;207,3;178,8;151,3;143,4;129,7;117,3;110,7;103,8;98,9;93,7;88,0;85,4;83,3;83,7;109,2;125,6
Ярославская область;263,0;261,5;250,7;220,1;199,3;188,1;179,0;168,5;158,9;150,7;139,8;130,0;127,3;122,1;119,8;118,1;117,9;117,5;116,3
г. Москва3);…;…;…;…;…;…;…;…;…;…;…;…;12,6;9,2;9,2;9,0;8,5;8,0;7,6
Северо-Западный федеральный округ;1281,0;1232,2;1163,0;1027,4;917,3;867,4;842,8;808,5;773,9;745,8;718,3;695,4;692,5;679,8;669,2;680,4;685,0;686,6;690,3
Республика Карелия;56,2;53,8;50,1;43,6;36,1;34,9;33,6;33,8;32,5;30,0;28,2;25,4;23,1;23,6;23,4;24,5;24,2;22,7;22,6
