Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;;;;;;;
ЖИВОТНОВОДСТВО;;;;;;;;;;;;;;;;;;;
14.28.  ПРОИЗВОДСТВО СКОТА И ПТИЦЫ НА УБОЙ (в убойном весе)1);;;;;;;;;;;;;;;;;;;
"(в хозяйствах всех категорий; тысяч тонн)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;4445,8;4477,4;4732,8;4993,3;5046,4;4989,5;5278,1;5785,9;6276,7;6715,0;7164,8;7515,7;8077,6;8525,3;9026,0;9518,5;9853,3;10319,0;10629,4
Центральный   федеральный округ;979,1;955,0;1000,7;1044,3;1066,1;1104,9;1226,6;1428,0;1660,9;1862,7;2062,9;2229,5;2568,8;2950,0;3080,3;3378,1;3545,9;3887,6;4055,6
Белгородская область;115,2;111,8;116,1;134,2;155,1;202,8;279,8;381,2;538,8;675,1;789,0;874,4;1021,4;1170,6;1194,5;1265,1;1277,6;1332,9;1322,9
Брянская область;60,1;55,4;56,2;55,7;53,7;53,1;58,0;77,9;85,1;84,5;89,0;101,3;121,4;144,7;187,9;281,6;302,8;316,0;325,2
Владимирская область;38,4;39,8;43,2;42,6;38,1;39,8;40,6;42,0;42,8;43,9;45,7;45,4;51,0;56,4;51,9;50,5;50,7;48,6;38,8
Воронежская область;107,1;106,4;115,7;120,4;120,7;112,8;119,0;122,8;130,2;161,0;185,4;203,7;223,9;253,1;216,1;231,1;259,3;287,6;348,8
Ивановская область;27,1;27,0;27,7;27,5;25,1;23,1;23,5;24,3;25,4;23,4;23,9;27,3;27,5;25,9;14,4;22,0;23,4;24,7;23,4
Калужская область;40,6;41,0;40,0;39,2;40,0;37,4;38,2;44,0;51,5;55,3;55,3;57,2;58,9;68,3;70,1;69,8;73,0;79,9;91,6
Костромская область;28,4;28,4;29,8;28,5;26,3;23,8;23,5;22,9;23,7;22,6;22,6;22,2;21,4;19,7;16,2;14,9;13,9;14,3;13,2
Курская область;79,7;74,4;77,3;78,9;74,6;70,6;69,4;75,7;79,1;84,5;93,4;96,6;124,2;221,7;297,7;338,7;363,4;406,0;416,0
Липецкая область;59,6;64,0;66,8;64,6;65,9;72,6;90,2;112,6;128,3;139,4;152,7;166,1;173,5;203,8;219,0;243,4;247,6;265,7;288,1
"Московская область2);3)";84,4;83,0;93,4;102,6;111,0;136,8;144,5;173,1;186,3;188,0;190,3;203,2;215,5;208,9;184,7;202,2;220,2;228,0;241,0
Орловская область;58,5;56,9;58,7;64,1;61,7;59,9;57,5;56,3;59,1;64,1;76,3;72,6;70,5;73,1;82,4;74,7;85,2;100,7;109,8
Рязанская область;49,7;44,7;49,8;50,9;49,7;48,8;48,9;45,0;47,7;49,3;53,3;50,9;54,3;48,8;44,9;48,1;46,1;46,9;52,0
Смоленская область;34,4;32,7;32,2;33,4;34,7;28,8;29,0;30,8;33,0;33,6;33,2;36,0;37,2;41,2;52,5;48,7;54,3;64,2;69,8
Тамбовская область;60,1;56,2;57,1;59,3;60,5;56,7;57,5;57,2;57,4;60,1;67,2;72,3;141,9;192,0;240,7;245,3;257,0;359,3;395,5
Тверская область;44,7;43,7;43,7;45,3;43,1;40,4;41,8;45,9;52,6;54,1;58,9;79,3;87,4;80,6;73,0;103,5;127,0;140,6;144,1
Тульская область;58,4;59,0;60,2;61,1;70,9;63,8;67,3;76,3;77,4;78,4;77,4;67,1;72,2;72,0;63,2;63,1;71,4;95,6;107,7
Ярославская область;32,7;30,7;33,0;36,0;34,9;33,6;37,9;39,9;42,6;45,5;49,5;54,1;57,1;58,5;60,9;63,5;62,3;64,0;66,6
г. Москва3);…;…;…;…;…;…;…;…;…;…;…;…;9,6;10,6;10,2;11,8;10,8;12,8;1,2
Северо-Западный    федеральный округ;231,5;252,5;267,8;279,1;273,0;256,2;278,7;276,5;316,2;355,5;418,4;473,6;524,9;536,7;578,3;607,3;659,9;696,9;718,1
Республика Карелия;6,5;6,9;6,7;7,0;7,5;6,6;7,3;8,0;8,0;8,3;8,1;7,8;8,6;8,2;8,3;8,1;5,3;3,4;3,3
