Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;;;;;;;
ЖИВОТНОВОДСТВО;;;;;;;;;;;;;;;;;;;
14.29. ПРОИЗВОДСТВО МОЛОКА1);;;;;;;;;;;;;;;;;;;
"(в хозяйствах всех категорий; тысяч тонн)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;32259,0;32874,1;33462,2;33315,5;31861,2;31069,9;31339,1;31984,2;32225,7;32315,1;31507,8;31204,3;31196,8;29865,3;29995,2;29887,5;29787,2;30184,5;30611,2
Центральный   федеральный округ;7553,3;7624,4;7537,1;7301,7;6856,7;6431,5;6343,7;6246,0;6161,9;5986,2;5728,9;5675,9;5745,9;5451,3;5350,0;5360,6;5387,0;5521,6;5753,0
Белгородская область;604,8;677,6;704,2;623,4;552,3;517,8;522,9;551,5;573,2;582,1;557,4;538,9;557,7;542,7;544,2;531,5;542,6;593,6;623,8
Брянская область;482,0;483,5;472,7;456,6;441,2;437,8;421,4;380,5;358,2;351,2;337,3;336,5;350,7;332,0;312,7;291,1;293,2;293,6;291,4
Владимирская область;357,3;350,2;350,9;332,5;305,0;303,1;318,6;321,4;316,8;309,4;311,1;332,7;358,5;345,2;343,5;353,0;367,1;384,3;400,8
Воронежская область;758,8;762,0;763,5;766,8;725,7;618,2;619,8;641,5;648,4;665,4;683,3;708,1;742,4;755,9;788,5;807,7;829,3;841,5;904,8
Ивановская область;234,1;238,0;228,6;209,8;195,8;183,3;190,3;191,1;179,7;169,4;166,6;162,9;161,3;148,4;146,9;151,7;155,0;158,1;155,4
Калужская область;301,4;299,1;278,1;279,0;261,6;241,6;231,7;225,1;225,3;230,3;230,3;224,9;230,2;214,5;222,2;247,1;261,2;295,8;345,8
Костромская область;232,3;234,3;229,5;203,8;178,3;156,1;159,8;167,8;157,0;145,6;133,2;127,6;121,0;111,3;106,9;108,1;108,2;108,4;107,5
Курская область;441,8;445,5;437,2;425,1;415,0;396,7;392,5;394,1;412,7;395,3;377,3;383,1;382,6;346,8;312,8;297,5;282,0;276,5;289,9
Липецкая область;390,1;393,1;386,3;375,6;356,2;337,8;338,7;321,8;296,8;286,4;274,5;285,3;275,1;253,3;248,1;254,6;255,0;257,5;279,4
"Московская область2);3)";1024,9;1027,8;1020,9;1031,5;994,3;950,2;942,6;916,4;889,6;833,5;769,4;727,5;693,0;643,9;637,4;631,1;628,9;647,9;656,5
Орловская область;338,0;336,3;326,4;326,8;313,2;294,3;268,6;243,9;252,0;252,9;236,2;228,1;229,3;214,7;191,6;183,9;178,0;170,1;162,6
Рязанская область;462,0;448,9;436,7;411,8;383,6;382,6;386,1;375,2;369,9;370,6;364,4;366,2;370,5;354,9;365,1;374,9;381,1;399,0;421,8
Смоленская область;433,9;444,2;420,6;416,9;396,6;372,1;346,4;328,0;331,0;310,1;292,6;314,3;313,9;285,4;222,9;204,9;194,4;185,5;172,4
Тамбовская область;313,7;305,4;313,6;308,0;301,1;280,9;280,9;281,0;270,9;250,9;232,9;221,0;221,1;221,6;223,8;220,3;200,2;194,9;195,8
Тверская область;484,0;476,6;467,9;447,4;414,2;388,9;376,3;359,7;347,3;330,9;297,2;270,5;250,8;223,2;212,6;213,5;212,6;217,4;223,3
Тульская область;342,5;333,3;330,8;324,0;301,0;269,0;245,3;243,0;239,9;222,7;200,3;194,8;185,2;164,8;168,2;178,7;176,6;159,7;175,8
Ярославская область;351,6;368,6;369,2;362,7;321,6;301,1;301,8;303,9;293,2;279,6;264,8;253,7;261,1;263,3;272,4;280,7;293,6;309,6;318,5
г. Москва3);…;…;…;…;…;…;…;…;…;…;…;…;41,6;29,6;30,1;30,5;28,1;28,4;27,3
Северо-Западный    федеральный округ;2185,7;2242,0;2211,3;2140,8;2016,3;1932,6;1904,8;1851,4;1805,9;1786,7;1740,9;1738,3;1766,6;1673,8;1695,8;1760,8;1805,6;1836,4;1863,2
Республика Карелия;85,7;81,2;81,7;78,2;70,9;70,7;73,3;74,7;71,2;71,4;68,4;65,4;65,6;62,9;66,1;68,3;68,6;62,8;62,9
Республика Коми;105,9;106,7;96,7;88,8;80,5;78,6;73,4;67,3;61,8;62,6;61,6;62,4;61,7;57,5;56,6;56,5;54,3;54,7;54,8
Архангельская область;173,1;166,7;160,5;153,0;144,2;135,6;135,6;135,5;125,8;126,0;122,7;120,7;121,6;116,1;117,8;121,3;124,9;126,3;128,7
в том числе: ;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;6,0;6,1;5,3;4,6;4,5;4,4;4,4;4,1;3,7;3,6;3,4;3,3;3,2;3,1;3,2;3,2;3,5;3,6;3,5
Архангельская область    без автономного округа;167,1;160,6;155,2;148,4;139,7;131,2;131,2;131,3;122,1;122,4;119,3;117,4;118,4;113,0;114,7;118,1;121,3;122,7;125,2
Вологодская область;494,9;534,9;550,8;538,2;496,8;470,1;479,0;483,8;481,5;465,9;443,0;446,6;461,9;430,2;444,6;469,6;489,3;508,6;532,0
Калининградская область;218,7;223,8;203,6;188,4;190,4;175,8;165,9;149,8;134,5;143,3;145,9;143,3;148,6;148,8;156,2;170,3;174,9;175,2;177,2
