Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;;;;;;;
ОСНОВНЫЕ ПОКАЗАТЕЛИ СЕЛЬСКОГО ХОЗЯЙСТВА;;;;;;;;;;;;;;;;;;;
"14.3. ОСНОВНЫЕ ФИНАНСОВЫЕ ПОКАЗАТЕЛИ ОРГАНИЗАЦИЙ, ОСУЩЕСТВЛЯЮЩИХ ДЕЯТЕЛЬНОСТЬ В РАСТЕНИЕВОДСТВЕ И ЖИВОТНОВОДСТВЕ1);2)";;;;;;;;;;;;;;;;;;;
14.3.2. Сальдированный финансовый результат (прибыль минус убыток) организаций. Животноводство;;;;;;;;;;;;;;; ;;;;
(миллионов рублей);;;;;;;;;;;;;;;;;;;
;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;;
Российская Федерация;20887;26586;34507;44091;47616;50107;60447;72151;29086;117921;123055;93574;102224;102932;;;;;
Центральный     федеральный округ;5464;11301;10432;13592;16740;19448;23738;29979;10530;53625;52653;53656;57833;57149;;;;;
Белгородская область;2376;2128;3617;6264;8443;8009;12571;19913;5421;36022;32973;21810;24127;28661;;;;;
Брянская область;69;64;206;241;391;810;1151;2020;2320;-15498;-10702;9720;513;-10147;;;;;
Владимирская область;265;337;475;911;722;1099;601;569;709;1097;1161;74;1101;848;;;;;
Воронежская область;53;119;273;440;456;730;1010;1086;271;2893;1954;3517;2294;4736;;;;;
Ивановская область;198;110;255;-17;95;19;-376;-90;71;-97;195;27;-45;-79;;;;;
Калужская область;185;233;299;184;151;-36;44;71;-210;478;218;344;474;980;;;;;
Костромская область;261;288;344;239;409;185;347;356;310;446;604;290;255;131;;;;;
Курская область;-33;-59;-114;-145;-158;-219;220;1383;1546;7214;7638;3316;7949;9439;;;;;
Липецкая область;115;-51;536;1130;1733;1507;1872;1111;411;4690;3510;3578;5633;7522;;;;;
