Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;;;;;;;
ОСНОВНЫЕ ПОКАЗАТЕЛИ СЕЛЬСКОГО ХОЗЯЙСТВА;;;;;;;;;;;;;;;;;;;
"14.3. ОСНОВНЫЕ ФИНАНСОВЫЕ ПОКАЗАТЕЛИ ОРГАНИЗАЦИЙ, ОСУЩЕСТВЛЯЮЩИХ ДЕЯТЕЛЬНОСТЬ В РАСТЕНИЕВОДСТВЕ И ЖИВОТНОВОДСТВЕ1);2)";;;;;;;;;;;;;;;;;;;
14.3.3. Рентабельность проданных товаров, продукции (работ, услуг) организаций. Растениеводство;;;;;;;;;;;;;;;;;;;
  (процентов);;;;;;;;;;;;;;;;;;;
;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;;
Российская Федерация;6,4;10,6;23,1;17,5;9,1;12,4;14,2;15,3;11,7;20,2;35,4;30,3;17,2;20,6;;;;;
Центральный     федеральный округ;4,1;8,8;22,7;13,7;7,9;7,9;11,7;16,6;12,3;20,5;40,0;31,9;13,0;23,7;;;;;
Белгородская область;5,9;9,6;24,9;11,3;6,4;5,0;20,8;22,4;19,6;26,6;44,4;35,5;11,4;27,0;;;;;
Брянская область;0,7;-1,3;7,7;5,7;1,7;14,7;6,7;11,9;16,9;28,8;41,4;25,1;6,7;21,3;;;;;
Владимирская область;9,9;10,3;16,2;16,5;6,3;12,0;7,1;6,9;2,7;3,9;13,1;0,5;-8,9;-5,3;;;;;
Воронежская область;2,6;9,0;27,5;18,0;7,2;4,7;10,2;17,9;7,7;17,5;41,7;37,6;13,5;22,2;;;;;
Ивановская область;4,9;4,0;4,2;-3,5;-14,3;-2,3;-7,7;-9,8;-19,7;-17,5;-12,8;7,8;3,1;12,2;;;;;
Калужская область;5,1;11,5;5,9;23,5;21,3;8,2;7,8;-3,0;-10,3;-5,2;-2,9;-7,3;-9,3;21,3;;;;;
Костромская область;2,5;7,9;8,9;6,2;3,4;-3,4;3,9;5,0;17,3;10,0;23,8;18,5;14,0;5,0;;;;;
Курская область;-1,7;9,8;19,8;6,9;6,2;11,5;12,7;19,6;15,9;15,3;38,8;41,1;18,6;32,0;;;;;
Липецкая область;8,6;13,0;21,4;20,4;8,2;0,8;5,0;12,4;11,3;20,4;44,1;33,5;15,7;27,4;;;;;
Московская область;9,6;9,7;21,3;10,2;10,3;12,3;10,9;-0,9;6,0;11,0;12,0;5,7;12,4;6,6;;;;;
Орловская область;-2,1;2,0;17,3;12,0;7,8;13,6;12,2;29,9;22,2;31,6;46,1;39,7;12,3;26,0;;;;;
Рязанская область;10,3;14,0;29,6;9,3;23,9;7,0;3,8;7,9;-1,1;11,6;20,3;9,3;-2,4;16,6;;;;;
Смоленская область;-9,8;2,7;3,3;-21,9;-5,9;-0,6;-1,9;-2,7;4,3;43,4;2,2;-0,9;66,5;3,3;;;;;
Тамбовская область;1,0;7,7;34,8;23,5;9,5;18,3;21,4;21,9;20,3;40,0;72,0;44,5;13,3;25,5;;;;;
Тверская область;10,4;-0,3;0,7;-7,7;-19,3;6,6;7,8;7,7;-1,9;-14,0;15,7;22,6;-24,2;-4,2;;;;;
Тульская область;-0,7;9,9;24,0;21,7;18,0;5,3;-4,9;7,0;5,5;13,0;17,4;11,1;11,9;9,0;;;;;
Ярославская область;9,1;-3,1;1,4;-2,3;-13,0;-5,9;3,2;-0,7;-1,4;2,6;20,8;36,9;37,9;4,6;;;;;
г. Москва;5,4;6,8;12,0;10,7;4,2;5,3;6,8;5,3;0,0;5,8;6,0;7,8;9,7;1,6;;;;;
Северо-Западный федеральный округ;2,8;4,3;6,9;7,9;1,7;4,4;4,7;0,8;2,6;11,2;4,4;-4,8;-2,1;1,6;;;;;
Республика Карелия;-6,1;-11,8;-8,7;-11,9;-;-;-;-;-;-;-;-;-;16,8;;;;;
Республика Коми;-1,7;-3,9;-3,3;-3,9;-7,7;-9,8;-12,7;-12,4;-18,1;-9,4;-10,8;-7,3;-7,8;-11,6;;;;;
Архангельская область;-21,4;-8,2;-1,9;-0,4;-11,5;-11,0;-79,1;-; - ;-;-;-;-;-;;;;;
в том числе: ;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;-26,5;-42,5;-21,3;-;-;-;-;-;-;-;-;-;-;-;;;;;
Архангельская область без автономного округа;-20,9;-4,2;0,0;-0,4;-11,5;-11,0;-79,1;-;-;-;-;-;-;-;;;;;
Вологодская область;4,1;15,4;14,8;14,7;4,5;6,7;7,9;3,8;2,9;-1,6;3,4;1,0;8,0;0,3;;;;;
Калининградская область;8,3;-5,7;2,3;-15,9;2,7;-3,2;-10,7;-13,0;-19,3;-2,4;-3,8;-40,7;-39,3;-20,8;;;;;
Ленинградская область;9,5;14,6;12,1;19,6;7,9;8,0;5,9;5,4;7,3;11,3;11,5;4,0;4,7;6,6;;;;;
Мурманская область;-8,6;-15,9;-13,2;-48,7;-66,0;-65,9;-;-;-;-;-;-;-;-;;;;;
Новгородская область;14,1;22,8;14,3;7,8;7,9;21,4;12,4;17,8;13,5;-5,6;1,9;-1,1;2,3;4,6;;;;;
Псковская область;4,4;8,7;13,1;6,8;-9,7;-4,4;-8,1;-11,8;14,2;68,4;-0,1;-6,9;-0,7;-4,8;;;;;
г. Санкт-Петербург;-4,2;-4,4;3,1;-1,4;-2,2;18,0;24,2;-2,1;-7,6;-9,5;1,1;-39,6;-24,8;-15,2;;;;;
Южный            федеральный округ;16,3;19,1;31,5;25,8;17,3;24,0;22,9;23,3;18,3;30,2;45,8;38,2;27,6;29,1;;;;;
Республика Адыгея;-10,1;9,1;39,4;40,0;9,4;15,8;4,3;12,3;0,7;-1,8;23,0;29,9;15,0;25,2;;;;;
Республика Калмыкия;15,3;25,4;24,9;21,8;12,2;10,8;14,8;9,0;-4,6;-6,6;32,0;35,4;17,3;16,0;;;;;
Республика Крым;;;;;;;;;;3,5;26,4;21,3;7,3;-2,3;;;;;
Краснодарский край;18,4;21,2;30,6;27,9;20,0;26,6;24,5;21,8;22,3;32,6;50,1;40,1;31,7;33,7;;;;;
Астраханская область;-6,2;-3,1;1,7;2,5;5,9;-1,5;6,6;6,6;-8,5;-0,1;11,2;-15,6;28,4;14,7;;;;;
Волгоградская область;12,4;14,8;39,1;20,1;16,5;15,9;21,8;36,7;24,4;44,8;51,5;46,4;28,1;31,9;;;;;
Ростовская область;15,2;17,4;29,9;24,5;11,7;21,5;19,9;22,3;7,5;24,0;37,6;35,0;22,4;23,9;;;;;
г. Севастополь;;;;;;;;;;42,2;23,3;8,9;4,3;10,9;;;;;
Северо-Кавказский федеральный округ;10,5;19,6;40,9;25,3;9,6;16,6;22,3;19,5;13,8;23,4;36,6;33,4;21,2;23,2;;;;;
Республика Дагестан;4,0;8,3;10,9;7,5;4,3;0,7;2,4;-24,7;6,2;-2,9;5,6;5,5;8,6;8,7;;;;;
Республика Ингушетия;-37,5;-34,6;-24,3;-23,6;-29,7;-29,3;-28,6;-7,0;-6,7;-11,8;-11,7;3,0;10,4;13,8;;;;;
Кабардино-Балкарская Республика;-4,2;1,4;5,8;10,7;14,9;4,7;17,1;18,5;15,3;13,9;10,9;7,7;7,5;12,9;;;;;
Карачаево-Черкесская Республика;10,0;14,9;9,2;-11,4;-0,1;-7,5;-3,1;-3,8;0,4;-4,4;22,2;12,4;19,6;11,7;;;;;
Республика Северная Осетия – Алания;-20,7;-13,8;0,3;-2,7;-13,2;-21,8;-4,7;-2,9;-12,8;-12,5;3,2;14,6;-61,5;-48,6;;;;;
Чеченская Республика ;…;-47,6;-32,9;-14,7;-28,3;-29,2;-21,4;-21,2;-17,4;-20,9;-9,9;-1,2;-11,5;-12,0;;;;;
Ставропольский край;12,9;25,0;47,3;28,7;11,0;19,7;24,8;21,2;15,2;25,5;39,7;37,0;23,0;25,3;;;;;
Приволжский          федеральный округ;1,6;5,8;15,1;10,9;2,7;3,2;3,8;5,7;5,9;11,1;23,2;21,8;13,8;6,7;;;;;
Республика Башкортостан;6,6;9,2;11,0;11,9;10,7;3,8;3,2;4,3;3,9;-0,2;9,7;12,1;0,8;3,7;;;;;
Республика Марий Эл;3,9;10,1;12,5;10,5;7,3;1,5;-5,4;5,3;6,5;6,8;11,0;-1,5;-58,2;-36,7;;;;;
Республика Мордовия;5,8;7,9;11,7;15,0;15,4;21,3;15,6;10,5;5,4;4,9;15,7;17,6;15,3;10,1;;;;;
Республика Татарстан;-0,3;1,4;6,4;3,1;-1,3;-2,9;-5,2;3,9;8,4;4,6;7,3;8,7;9,8;2,4;;;;;
Удмуртская Республика;7,8;8,3;2,8;0,5;-1,5;2,1;0,4;13,4;15,7;20,2;24,3;27,9;16,6;22,0;;;;;
Чувашская Республика;7,2;7,9;11,5;13,0;4,0;8,4;2,9;13,3;17,2;21,1;28,7;18,7;20,1;10,3;;;;;
Пермский край;-5,1;-5,6;2,1;-2,4;1,1;16,3;-12,6;-5,3;-4,9;16,1;13,4;-6,1;-9,5;1,5;;;;;
Кировская область;4,0;3,5;8,1;12,6;-4,7;6,0;3,9;1,6;0,2;7,2;-0,1;-3,2;12,0;2,8;;;;;
Нижегородская область ;1,6;6,9;11,6;7,9;-1,5;0,3;-8,5;3,4;-1,6;7,8;19,0;12,7;6,1;1,3;;;;;
Оренбургская область;-1,5;4,1;18,8;20,9;8,5;-1,4;3,3;2,6;-5,4;-2,1;22,1;3,1;-0,3;2,4;;;;;
Пензенская область;3,7;8,4;14,5;8,3;3,6;-5,4;9,7;-6,4;-3,7;16,5;38,2;31,4;16,9;0,5;;;;;
Самарская область;-12,4;0,8;15,8;9,2;-20,5;9,2;9,9;13,2;27,4;40,6;57,5;54,8;30,1;24,9;;;;;
Саратовская область;6,9;12,1;39,9;24,3;11,9;12,9;15,0;20,3;21,6;21,4;44,7;43,2;28,8;13,1;;;;;
Ульяновская область;-1,2;6,4;19,5;13,5;-4,8;4,5;8,8;3,6;-8,8;5,5;14,0;10,4;5,7;-0,4;;;;;
Уральский       федеральный округ;-2,1;6,8;12,6;8,4;-3,2;-3,4;1,6;7,8;-3,1;-3,8;10,7;8,3;7,5;8,8;;;;;
Курганская область;3,8;12,6;29,9;18,0;1,3;-2,2;0,1;19,3;15,0;15,0;33,1;38,2;32,8;32,5;;;;;
Свердловская область ;1,6;5,1;2,6;4,8;-8,0;17,4;5,3;5,4;4,1;11,7;13,3;13,2;6,3;4,4;;;;;
Тюменская область;0,2;4,9;6,5;1,7;-4,5;-11,8;0,6;-1,1;-12,4;-5,9;1,1;0,9;3,5;6,3;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;
