Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;;;;;;;
ЖИВОТНОВОДСТВО;;;;;;;;;;;;;;;;;;;
14.31. ПРОИЗВОДСТВО ЯИЦ1);;;;;;;;;;;;;;;;;;;
"(в хозяйствах всех категорий; миллионов штук)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;34084,7;35241,7;36377,8;36625,2;35900,7;37139,7;38216,3;38161,8;38077,5;39468,4;40758,9;41288,8;42132,5;41390,0;41747,3;42509,6;43514,5;44829,2;44901,2
Центральный    федеральный округ;8175,2;8464,5;8363,0;8259,7;7825,0;7834,8;8211,0;8212,5;8011,8;8272,3;8706,7;8715,5;8865,2;8601,5;8720,4;8975,2;9339,8;9708,4;10023,5
Белгородская область;567,3;636,7;603,4;606,7;696,8;810,0;1024,1;1146,5;1414,9;1376,8;1485,1;1492,1;1438,5;1215,0;1300,2;1477,4;1585,2;1662,1;1658,1
Брянская область;347,1;442,4;461,2;516,9;471,5;414,3;388,6;361,0;349,9;341,2;319,1;315,0;314,2;343,3;406,4;399,9;416,0;386,4;367,8
Владимирская область;339,2;394,8;433,2;510,5;508,9;520,9;508,3;510,1;501,5;500,6;513,0;519,2;571,1;524,0;536,4;526,2;555,4;554,5;589,9
Воронежская область;629,1;653,5;655,9;691,7;637,9;668,6;684,1;646,0;638,8;664,4;673,5;725,9;785,5;856,9;930,6;882,2;942,9;947,9;983,8
Ивановская область;290,2;252,9;267,3;237,9;260,4;297,1;313,8;304,6;300,0;303,6;378,6;382,6;375,7;394,7;404,4;401,0;426,3;400,2;405,3
Калужская область;166,4;171,7;205,6;214,8;198,4;192,0;180,5;203,0;216,6;239,2;173,8;116,1;121,9;132,7;130,3;135,5;138,4;149,0;167,5
Костромская область;410,1;409,0;454,4;503,7;500,6;525,1;557,0;556,7;554,8;610,3;614,0;648,8;648,8;676,4;706,8;744,6;776,1;818,4;663,5
Курская область;360,0;348,0;362,9;332,5;342,3;323,5;307,8;262,1;213,5;233,2;346,2;345,4;275,2;265,2;211,0;192,1;184,8;170,8;156,6
Липецкая область;364,1;416,9;449,2;464,5;484,8;489,2;498,2;453,6;496,3;512,4;535,9;562,4;610,2;602,4;607,7;557,9;564,2;643,1;711,2
"Московская область2);3)";1976,3;1904,1;1598,3;1222,8;964,8;857,8;901,5;940,2;561,0;567,4;511,9;325,6;249,5;251,4;239,0;206,8;186,0;139,3;139,7
Орловская область;254,8;260,0;240,7;251,4;243,1;271,0;268,0;221,5;199,6;179,8;179,8;159,8;150,3;140,0;139,0;126,5;109,7;103,9;87,5
Рязанская область;417,8;437,7;426,0;420,4;377,0;358,5;394,9;418,9;481,9;560,5;649,4;688,2;740,2;736,7;733,7;787,1;789,8;758,9;882,2
Смоленская область;314,3;313,0;283,2;253,4;227,2;243,6;218,2;246,9;248,5;229,3;228,3;255,6;266,8;304,6;261,8;185,3;186,8;201,1;279,5
Тамбовская область;319,1;351,5;356,5;360,8;348,8;336,3;287,7;228,9;212,9;219,6;223,7;221,4;227,9;187,6;170,8;159,5;150,0;151,5;140,9
Тверская область;498,4;491,0;502,5;494,8;366,7;294,7;272,1;222,5;181,5;126,5;123,0;123,2;119,4;111,5;111,5;125,2;130,5;143,8;135,2
