Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;;;;;;;
ЖИВОТНОВОДСТВО;;;;;;;;;;;;;;;;;;;
14.33. ПРОИЗВОДСТВО ШЕРСТИ1);;;;;;;;;;;;;;;;;;;
"(в хозяйствах всех категорий; в физическом весе; тонн)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;40088;40515;42870;44988;47359;48800;50276;52013;53513;54601;53443;52344;55038;54442;56044;55495;56006;56733;55471
Центральный       федеральный округ;1296;1209;1128;1084;1044;974;845;917;1032;1026;1048;1107;1148;1215;1263;1341;1443;1365;1225
Белгородская область;127;118;83;70;69;60;50;54;56;66;69;66;62;61;71;63;60;74;56
Брянская область;46;48;47;42;45;43;43;46;38;36;34;32;35;31;32;32;24;18;14
Владимирская область;38;35;34;32;22;18;12;12;11;8;7;7;7;9;9;8;10;10;11
Воронежская область;270;250;229;217;217;200;145;166;210;235;257;253;298;337;357;400;398;389;384
Ивановская область;39;41;46;51;40;35;31;29;63;18;18;17;20;19;17;24;18;21;24
Калужская область;76;74;71;66;62;58;54;57;55;61;50;48;46;42;43;32;24;25;20
Костромская область;39;37;36;33;28;24;24;22;22;21;19;24;23;22;21;21;20;23;19
Курская область;73;73;73;80;79;85;86;115;139;153;154;161;156;162;166;153;141;145;100
Липецкая область;73;69;67;44;47;67;55;66;63;80;82;111;111;116;117;140;212;151;126
Московская область2),3);61;38;35;33;34;27;25;19;22;21;20;19;20;18;20;22;21;37;40
Орловская область;54;45;45;41;45;44;39;45;50;57;60;65;47;47;50;68;60;58;61
Рязанская область;78;64;55;53;65;60;54;49;41;59;50;63;63;61;56;47;57;55;56
Смоленская область;39;45;43;37;32;31;25;25;36;31;32;39;36;33;30;33;32;30;25
Тамбовская область;99;95;97;91;83;80;78;73;76;71;81;93;90;85;108;110;117;97;90
Тверская область;88;82;79;100;82;58;47;54;63;29;23;15;35;16;12;14;25;27;22
Тульская область;70;68;62;66;66;59;54;60;62;60;65;70;74;83;82;85;99;90;63
Ярославская область;27;27;26;28;28;25;23;25;25;21;27;24;24;26;28;37;37;38;34
г. Москва3);…;…;…;…;…;…;…;…;…;…;…;…;…;46;44;53;89;77;80
Северо-Западный   федеральный округ;300;275;293;246;204;218;224;179;170;159;151;150;173;179;151;145;146;138;128
Республика Карелия;15;14;12;11;11;10;10;8;9;7;7;6;5;5;5;5;5;5;6
Республика Коми;25;25;52;35;19;23;43;14;13;9;17;17;12;12;7;16;9;9;9
Архангельская область;38;37;34;30;29;27;25;21;18;15;14;13;11;10;8;8;7;6;5
в том числе: ;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;1;1;0,0;0;1;1;1;1;0;-;-;-;-;-;-;-;0;0;-
Архангельская область    без автономного округа;37;36;34;30;28;26;24;20;18;15;14;13;11;10;8;8;7;6;5
Вологодская область;45;43;37;30;26;23;20;19;17;15;14;13;11;12;10;11;11;12;9
Калининградская область;62;54;57;53;30;31;33;28;25;29;31;34;71;76;59;48;51;47;44
Ленинградская область4);17;15;10;7;9;14;11;11;10;13;4;5;5;15;15;10;15;17;16
Мурманская область;1;1;1;0,0;0,0;0,0;0,0;0,0;0,0;-;-;-;-;-;-;-;-;-;-
Новгородская область;33;28;32;28;25;23;22;20;22;18;15;16;16;13;14;12;14;13;12
Псковская область;64;58;57;52;56;67;60;59;57;53;49;46;43;37;33;35;34;29;27
г. Санкт-Петербург;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…
Южный               федеральный округ;7248;7918;8426;9481;10607;11286;11958;14275;15563;15041;15458;15037;15593;16484;18185;17866;17428;18234;17870
Республика Адыгея;52;51;53;43;45;45;41;58;58;66;57;70;55;57;61;62;61;63;72
Республика Калмыкия;2434;2995;3259;3787;4302;4930;5614;7030;8118;7029;7181;6663;6960;7506;7998;7799;8017;8387;8309
Республика Крым;;;;;;;;;;;;;;;729;602;590;724;590
Краснодарский край;269;282;279;272;225;197;209;268;312;294;298;262;258;251;286;306;325;355;360
Астраханская область;1558;1676;1834;2028;2350;2459;2538;3049;3068;3279;3204;3207;3312;3336;3298;3117;2726;2909;2962
Волгоградская область;1190;1133;1137;1152;1272;1338;1277;1393;1522;1661;1965;2132;2160;2369;2499;2567;2502;2525;2422
