Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;;;;;;;
ЖИВОТНОВОДСТВО;;;;;;;;;;;;;;;;;;;
14.36. РАСХОД КОРМОВ В РАСЧЕТЕ НА ОДНУ УСЛОВНУЮ ГОЛОВУ КРУПНОГО СКОТА В СЕЛЬСКОХОЗЯЙСТВЕННЫХ ОРГАНИЗАЦИЯХ;;;;;;;;;;;;;;;;;;;
(центнеров кормовых единиц);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;27,8;29,5;29,8;29,2;29,8;30,1;29,9;29,4;29,6;29,4;28,4;28,3;28,8;28,0;29,2;28,6;28,9;28,6;28,3
Центральный    федеральный округ;27,6;30,2;29,9;28,8;30,5;31,0;30,2;28,9;28,3;28,1;27,0;26,6;26,4;25,9;28,7;27,1;27,5;25,9;25,7
Белгородская область;29,0;32,5;31,3;27,4;27,5;26,4;25,8;22,8;22,5;20,7;20,7;20,6;21,3;20,8;20,4;20,5;20,2;20,0;20,3
Брянская область;26,1;27,6;28,5;27,6;30,3;32,3;29,7;28,1;28,2;28,8;26,9;28,6;28,6;30,2;67,6;50,3;49,4;33,8;30,0
Владимирская область;28,4;30,1;30,4;28,7;30,5;32,0;32,4;31,6;32,0;31,9;29,5;31,0;33,4;33,1;34,4;33,8;35,4;36,8;38,9
Воронежская область;27,3;29,6;29,6;29,3;30,5;30,8;29,1;28,9;28,8;29,7;27,0;27,2;27,3;28,2;30,2;29,7;30,6;30,4;28,4
Ивановская область;22,8;25,9;26,4;28,3;27,7;29,6;30,3;29,2;27,1;29,1;29,1;27,8;29,2;28,1;26,1;30,5;31,0;31,5;31,7
Калужская область;25,4;33,3;27,3;25,9;29,4;31,3;31,9;30,8;30,6;33,7;32,2;33,7;35,8;35,5;34,6;33,1;34,6;34,9;35,0
Костромская область;24,3;27,0;26,5;24,4;25,9;26,4;26,4;27,0;26,8;26,8;26,8;26,9;26,0;25,0;25,7;25,3;26,3;27,3;25,6
Курская область;23,5;28,5;27,1;25,4;26,7;28,4;27,6;27,7;27,4;29,8;29,8;30,3;26,8;23,8;22,1;22,2;22,8;22,1;22,5
