Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;
ЛЕСНОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;
14.37. ЛЕСНЫЕ РЕСУРСЫ;;;;;;;;;;;;;
14.37.4. Общий запас древесины1);;;;;;;;;;;;;
"(по данным учета на конец года; миллионов  кубических метров)";;;;;;;;;;;;;
;2002;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;82130,0;83298,0;83573,0;83454,1;83386,3;83106,7;83022,4;83013,4;82825,8;82791,0;82734,2;82766,9;82756,0
Центральный    федеральный округ;3828,0;3971,0;3965,0;3989,4;3984,5;3981,8;3938,8;3939,1;3945,6;3977,0;3972,0;3976,2;3971,2
Белгородская область;38,0;37,0;37,0;37,3;39,1;39,0;39,1;42,0;45,0;47,1;50,0;50,0;50,0
Брянская область;199,0;232,0;231,0;230,3;229,4;228,0;226,7;225,4;224,4;223,5;222,4;221,4;220,6
Владимирская область;244,0;270,0;270,0;268,8;263,8;259,9;262,3;267,9;266,5;269,7;269,5;272,0;271,6
Воронежская область;65,0;76,0;76,0;75,5;71,0;71,4;66,2;66,4;66,2;66,1;65,8;66,5;68,1
Ивановская область;169,0;166,0;166,0;165,9;166,8;169,5;166,3;169,4;169,5;171,7;171,5;173,0;170,2
Калужская область;248,0;269,0;269,0;268,8;267,8;270,2;268,7;267,7;266,6;265,0;264,7;264,8;263,3
Костромская область;727,0;723,0;719,0;715,8;728,2;725,8;721,6;719,0;723,4;760,4;759,6;760,6;763,9
Курская область;37,0;37,0;37,0;37,1;37,2;37,1;37,1;44,4;44,3;44,3;44,2;44,1;42,4
Липецкая область;36,0;35,0;35,0;34,8;32,9;32,9;32,9;32,7;32,8;32,6;31,7;31,6;35,1
Московская область;411,0;412,0;402,0;418,9;418,6;426,4;403,2;398,8;396,8;394,8;399,5;397,8;394,9
Орловская область;30,0;30,0;30,0;30,0;30,0;30,0;30,5;29,4;24,5;25,9;26,9;26,9;27,0
