Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;;;;;;;;
ЛЕСНОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;;;;;;;;
14.39. ЛЕСНЫЕ ПОЖАРЫ НА ЗЕМЛЯХ ЛЕСНОГО ФОНДА И ЗЕМЛЯХ ИНЫХ КАТЕГОРИЙ1);;;;;;;;;;;;;;;;;;;;
14.39.1. Число лесных пожаров;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
Российская Федерация;22421;23700;43418;33050;27171;19249;32524;17812;26285;23245;33423;19743;19329;9991;16865;12337;11025;10922;12125;
Центральный       федеральный округ;2728;2461;14135;1907;747;1919;4017;3129;2984;4337;6907;1288;276;244;1189;582;266;108;615;
Белгородская область;40;74;111;23;-;76;92;107;54;48;17;2;-;-;-;-;-;-;-;
Брянская область;293;164;1569;261;80;206;408;145;241;399;424;61;33;16;114;119;2;11;11;
Владимирская область;422;385;1633;176;84;169;329;420;130;305;1178;230;51;31;79;53;30;8;130;
Воронежская область;452;673;1764;475;227;525;678;1069;1701;1659;995;113;45;30;22;16;7;14;65;
Ивановская область;124;93;405;30;15;60;240;31;14;50;102;59;12;3;16;7;9;3;18;
Калужская область;81;26;873;64;40;122;290;66;62;202;157;10;4;8;35;13;1;9;8;
Костромская область;83;269;408;21;5;66;126;34;44;70;145;36;13;36;42;8;11;-;14;
Курская область;15;33;123;31;16;32;57;4;15;14;22;-;-;1;-;-;-;-;-;
Липецкая область;57;65;339;93;43;88;146;151;251;322;369;22;2;1;1;-;-;-;-;
Московская область;436;185;2034;189;35;236;572;545;78;548;2327;470;55;28;474;208;134;54;296;
Орловская область;-;-;-;-;-;-;-;-;-;8;10;-;-;-;-;1;-;-;-;
Рязанская область;70;76;319;67;57;118;79;205;30;127;214;46;21;21;46;13;-;-;27;
Смоленская область;78;30;1046;27;27;4;203;11;9;63;50;3;3;4;15;54;5;1;13;
Тамбовская область;10;59;213;111;60;163;140;158;169;318;411;20;13;14;52;27;1;4;10;
Тверская область;440;210;2467;239;52;32;438;123;156;108;356;89;13;38;214;39;37;3;20;
Тульская область;3;2;64;1;2;-;5;-;1;31;9;-;-;-;1;-;-;-;-;
Ярославская область;124;117;767;99;4;22;214;60;29;65;121;127;11;13;78;24;29;1;3;
г. Москва;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Северо-Западный      федеральный округ;4048;3746;8681;2555;1639;2449;6996;1028;1283;1140;2163;2389;522;1906;1869;845;870;457;1542;
Республика Карелия;470;753;1089;564;137;518;1164;106;97;176;468;543;55;395;433;77;149;35;312;
Республика Коми;897;514;343;306;503;533;261;212;155;82;548;590;117;597;184;126;228;225;99;
Архангельская область;785;954;447;320;393;436;447;54;32;72;356;703;74;317;119;56;113;35;127;
в том числе:;;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;8;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;
