Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;;;;;;;
ЛЕСНОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;;;;;;;
14.39. ЛЕСНЫЕ ПОЖАРЫ НА ЗЕМЛЯХ ЛЕСНОГО ФОНДА И ЗЕМЛЯХ ИНЫХ КАТЕГОРИЙ1);;;;;;;;;;;;;;;;;;;
14.39.2. Площадь лесных земель, пройденная пожарами;;;;;;;;;;;;;;;;;;;
(гектар);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;1328557;896845;1369540;2352756;543289;845313;1493546;1036075;2069804;2111601;1962333;1367467;2054025;1158024;3190696;2748920;2508264;3282089;7408409
Центральный       федеральный округ;2031;1543;50268;2247;337;1556;7677;12134;3924;7297;261643;2270;192;281;2638;1292;189;330;2151
Белгородская область;9;201;58;22;-;43;93;122;70;75;651;1;-;-;-;-;-;-;-
Брянская область;95;44;2751;116;31;150;729;122;333;749;1974;24;43;24;246;822;1;36;3
Владимирская область;384;303;6592;247;40;79;405;703;183;383;30250;305;12;10;34;29;17;2;978
Воронежская область;103;195;1520;123;74;424;516;2708;1867;1868;19994;36;20;16;156;14;6;156;764
Ивановская область;143;69;1489;82;18;78;518;58;34;130;25915;834;9;3;34;12;6;2;14
Калужская область;40;6;2739;51;29;156;967;117;70;1376;1690;9;1;5;48;5;5;7;40
Костромская область;181;396;3510;20;3;60;291;63;35;96;787;46;10;114;75;8;14;-;46
Курская область;4;17;64;9;4;8;81;1;66;11;122;-;-;5;-;-;-;-;-
Липецкая область;5;19;290;19;8;39;68;20;215;93;9102;7;-;-;5;-;-;-;-
Московская область;83;23;5939;95;4;96;357;180;40;107;24309;293;19;5;127;58;50;121;253
Орловская область;-;-;-;-;-;-;-;-;-;29;33;-;-;-;;5;-;-;-
Рязанская область;17;14;1720;65;37;291;616;7402;204;1256;131379;57;17;36;86;22;-;-;13
