Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;;;;;;;
РАСТЕНИЕВОДСТВО;;;;;;;;;;;;;;;;;;;
14.4. ПОСЕВНЫЕ ПЛОЩАДИ СЕЛЬСКОХОЗЯЙСТВЕННЫХ КУЛЬТУР1);;;;;;;;;;;;;;;;;;;
"(в хозяйствах всех категорий; тысяча гектаров)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;84669,6;83820,4;83467,8;78296,8;77322,9;75837,0;75277,0;74697,6;76769,2;77547,7;74861,4;76285,3;75890,1;77561,9;77853,7;78634,8;79311,9;80048,7;79633,7
Центральный федеральный округ;16463,3;16228,7;16130,2;15094,6;14621,8;13990,9;13609,4;13364,6;13948,8;14178,8;13783,0;14357,8;14376,9;14757,3;14655,5;15151,7;15225,2;15530,6;15367,0
Белгородская область;1408,7;1418,7;1441,6;1395,7;1346,3;1287,5;1278,6;1328,4;1383,5;1385,3;1244,3;1363,7;1382,3;1424,1;1432,1;1439,9;1429,6;1426,5;1417,9
Брянская область;834,5;844,9;820,4;754,6;683,8;654,8;622,7;616,9;638,2;653,9;665,5;719,5;745,9;770,4;802,5;811,1;836,9;864,3;873,6
Владимирская область;473,3;463,5;455,5;439,5;424,7;409,1;387,9;376,3;373,8;343,8;321,8;325,5;327,5;322,3;310,7;314,0;313,2;312,2;299,4
Воронежская область;2292,1;2288,2;2314,4;2283,9;2259,3;2147,9;2166,7;2133,7;2329,1;2436,7;2326,9;2460,9;2481,5;2533,6;2528,6;2567,0;2532,5;2603,2;2576,9
Ивановская область;401,0;407,4;375,2;332,0;295,3;256,9;243,3;235,3;237,5;232,9;216,7;223,8;216,5;222,1;221,6;225,9;226,5;215,0;210,5
Калужская область;529,3;504,0;481,3;420,0;397,6;370,7;341,2;326,6;339,7;325,1;299,1;306,2;313,2;306,7;302,6;330,4;337,0;338,3;339,7
Костромская область;458,6;431,1;415,6;383,7;368,1;328,8;306,6;284,7;256,9;236,3;204,1;195,4;185,5;186,2;185,7;185,2;187,4;184,9;184,0
Курская область;1351,3;1316,9;1323,1;1180,3;1184,8;1197,6;1159,4;1207,8;1316,9;1342,6;1337,7;1438,4;1458,2;1516,3;1527,1;1586,9;1626,3;1625,7;1617,2
Липецкая область;1121,0;1139,2;1139,6;1081,9;1051,1;1050,0;1085,3;1095,8;1147,8;1188,7;1207,7;1223,5;1202,8;1282,1;1265,0;1309,6;1329,8;1333,6;1312,6
"Московская область2);3) ";955,0;918,6;899,4;836,7;786,0;699,4;659,9;625,4;608,7;571,7;545,2;541,0;517,0;497,5;509,6;569,4;595,5;598,2;578,9
Орловская область;1186,9;1211,3;1211,7;1079,9;1102,9;1079,9;996,0;956,3;1022,6;1077,6;1069,4;1074,1;1088,4;1111,0;1095,2;1198,0;1255,8;1261,2;1255,9
Рязанская область;981,0;905,8;881,2;806,5;807,4;808,2;803,4;784,5;806,2;791,7;767,7;799,1;815,3;841,3;809,5;855,6;871,5;908,0;904,8
Смоленская область;781,8;735,7;700,3;639,1;603,2;547,4;470,7;446,3;448,8;452,2;451,7;469,2;468,8;447,3;398,2;392,3;392,7;392,4;404,6
Тамбовская область;1343,5;1351,7;1434,8;1361,4;1299,2;1282,1;1342,5;1314,1;1414,2;1460,1;1425,1;1498,7;1472,6;1615,1;1641,4;1751,0;1638,7;1761,3;1713,1
Тверская область;883,1;872,2;848,2;801,8;754,9;688,9;640,1;597,0;569,4;612,2;625,0;642,7;635,1;626,2;572,7;525,1;524,1;527,4;523,3
Тульская область;897,1;855,5;852,3;791,1;777,5;739,6;684,9;644,0;684,1;714,6;740,1;734,6;719,8;724,3;726,9;763,4;805,5;855,8;836,9
Ярославская область;565,5;564,0;535,9;506,6;480,0;442,3;420,3;391,4;371,4;353,4;335,0;341,3;327,9;317,4;311,5;310,9;307,5;310,3;307,8
г. Москва3);…;…;…;…;…;…;…;…;…;…;…;…;18,6;13,7;14,7;16,0;14,6;12,3;10,0
Северо-Западный федеральный округ;2489,7;2387,3;2244,6;2110,8;1988,6;1840,5;1727,9;1662,3;1597,9;1570,1;1484,9;1445,8;1418,5;1375,6;1389,5;1401,1;1423,6;1404,6;1383,2
Республика Карелия;64,8;58,7;56,6;54,8;49,6;46,9;45,1;44,4;40,4;38,5;37,3;32,9;29,7;30,1;29,9;29,9;30,5;30,4;30,0
Республика Коми;80,0;79,7;77,3;66,8;59,9;52,7;47,4;46,2;43,5;40,8;39,5;38,3;37,3;36,8;39,1;38,5;37,1;37,2;37,2
Архангельская область;206,8;194,7;178,1;163,0;148,0;134,5;126,4;119,9;110,4;107,0;103,1;95,5;95,2;87,8;84,7;74,7;71,0;71,0;69,4
в том числе: ;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1
Архангельская область без автономного округа;206,6;194,5;177,9;162,8;147,8;134,3;126,3;119,7;110,3;106,9;103,0;95,5;95,2;87,7;84,7;74,6;71,0;70,9;69,3
Вологодская область;686,1;668,3;643,3;606,7;576,5;541,6;520,3;501,7;490,9;475,6;448,4;441,6;423,9;389,5;370,2;365,3;365,0;355,1;355,8
Калининградская область;257,9;259,4;222,9;226,5;231,7;217,9;195,0;182,1;158,2;164,7;147,5;143,1;166,3;183,1;221,6;244,9;261,3;249,5;249,5
Ленинградская область4);373,2;363,0;349,2;337,1;313,7;293,3;274,7;266,8;262,3;258,7;249,8;245,4;236,8;230,2;225,6;228,5;238,9;238,9;240,0
Мурманская область;11,5;10,9;10,3;8,4;8,2;7,8;7,7;7,6;7,3;7,1;6,9;7,3;7,1;7,0;7,0;7,4;6,9;6,9;7,1
Новгородская область;270,3;244,5;233,7;212,9;199,3;180,6;171,8;167,4;164,9;172,4;178,2;185,8;185,5;168,0;168,6;169,0;171,2;169,3;156,0
Псковская область;539,2;508,2;473,3;434,5;401,7;365,3;339,5;326,2;320,0;305,4;274,3;256,0;236,7;243,1;242,7;243,0;241,6;246,3;238,2
г. Санкт-Петербург;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…
Южный               федеральный округ;10671,4;11073,8;11311,2;10797,7;11291,9;11220,2;11575,3;11851,6;11969,3;11853,4;11292,0;11324,5;11234,0;11413,1;12073,8;12314,5;12506,1;12653,0;12853,5
Республика Адыгея;214,5;216,1;210,8;195,8;208,0;184,1;181,8;192,3;211,6;227,1;227,1;216,3;221,6;232,4;233,3;233,9;237,9;230,4;233,0
Республика Калмыкия;270,2;302,9;333,9;277,8;289,9;275,1;287,5;306,8;292,8;339,8;300,3;267,4;230,7;266,8;239,2;266,4;264,0;286,5;285,8
Республика Крым;;;;;;;;;;;;;;;629,7;652,2;706,1;744,6;751,1
Краснодарский край;3645,7;3737,3;3719,4;3666,3;3603,8;3531,7;3581,5;3653,2;3680,4;3642,3;3615,1;3596,1;3570,3;3622,9;3619,5;3636,3;3648,8;3658,2;3686,9
Астраханская область;93,8;93,6;81,2;72,3;68,3;70,0;70,7;69,5;71,7;75,0;75,9;77,5;77,7;68,7;69,8;72,6;72,3;74,5;83,1
Волгоградская область;2599,2;2637,3;2816,5;2522,0;2881,3;2979,3;3102,3;3110,2;3163,3;3072,6;2723,6;2748,6;2842,7;2838,4;2919,3;2989,6;3046,9;3119,2;3171,2
Ростовская область;3847,9;4086,7;4149,5;4063,7;4240,7;4180,1;4351,6;4519,6;4549,6;4496,7;4350,0;4418,7;4291,0;4383,8;4361,7;4462,1;4528,7;4538,1;4641,0
г. Севастополь;;;;;;;;;;;;;;;1,4;1,4;1,3;1,4;1,4
Северо-Кавказский федеральный округ;3829,4;3758,7;3908,6;3975,4;3922,1;3832,2;3822,8;3900,0;4027,5;4100,3;3980,9;4081,8;3978,9;4194,6;4215,3;4272,9;4356,3;4381,3;4430,6
Республика Дагестан;301,4;303,2;344,8;326,9;330,8;319,3;291,4;270,1;275,5;275,3;272,1;292,4;278,7;313,8;334,5;346,2;361,2;370,2;367,3
Республика Ингушетия ;54,8;67,7;66,5;70,1;65,6;53,3;46,6;49,5;56,9;57,5;62,7;79,1;71,6;62,7;67,7;67,5;62,9;60,4;61,3
Кабардино-Балкарская Республика;308,2;310,0;309,4;305,5;295,8;290,9;283,4;277,9;295,7;295,6;287,9;288,0;286,5;289,6;288,5;282,6;282,8;283,7;283,0
Карачаево-Черкесская Республика;147,9;140,1;139,4;131,8;125,2;117,6;109,1;117,0;113,3;134,9;121,5;144,9;132,2;139,2;140,9;142,0;145,7;131,0;137,7
Республика Северная Осетия – Алания;174,7;177,1;175,2;172,0;171,3;150,6;133,8;149,6;167,0;172,2;159,7;171,5;166,6;168,4;166,4;175,3;169,9;169,5;174,8
Чеченская Республика ;…;…;…;206,6;185,6;163,8;158,5;165,0;183,4;198,2;188,0;195,0;170,7;183,9;224,9;217,9;236,4;256,4;267,4
Ставропольский край;2842,5;2760,5;2873,4;2762,4;2747,7;2736,8;2800,1;2870,8;2935,8;2966,6;2888,9;2910,8;2872,7;3036,9;2992,5;3041,4;3097,4;3110,1;3139,3
Приволжский федеральный округ;27183,1;26568,6;26489,4;24422,2;24018,4;23517,7;23389,4;22799,0;23565,2;23796,2;23133,7;23262,2;22954,1;23739,7;23413,1;23629,0;23819,2;23906,6;23922,9
Республика Башкортостан;3713,1;3615,7;3507,2;3253,6;3092,2;3048,0;3000,3;2999,1;3019,0;3173,4;3142,3;3103,4;3052,9;3115,5;3094,4;3051,9;3069,3;3004,1;2952,8
Республика Марий Эл;492,2;472,2;474,7;424,2;411,1;400,8;384,7;366,8;363,8;333,5;303,0;305,0;293,4;292,7;300,4;297,9;300,6;300,5;293,6
Республика Мордовия;866,1;806,9;826,0;809,4;782,1;740,7;740,3;711,4;717,6;749,5;726,5;769,9;720,4;748,2;729,6;752,5;741,0;745,6;745,7
Республика Татарстан;2986,1;2977,9;2945,0;2857,7;2895,7;2897,1;2929,5;2928,2;2984,5;3036,1;2937,8;3093,3;2991,8;2972,3;2924,6;3024,3;3060,8;3058,7;2966,5
Удмуртская Республика;1145,3;1147,5;1151,3;1151,1;1146,1;1153,8;1158,9;1134,4;1124,9;1067,6;1060,8;1061,7;1062,4;1060,3;1034,1;1012,4;1008,6;1013,1;999,3
Чувашская Республика;683,7;655,2;664,3;630,4;584,4;551,3;549,1;548,0;567,2;577,1;561,1;562,8;529,6;535,9;541,1;554,3;555,3;542,0;537,3
Пермский край;1265,0;1237,2;1196,9;1115,0;1061,9;999,5;959,5;932,9;909,1;861,0;785,9;781,3;726,5;718,5;719,0;734,9;742,2;753,6;754,5
Кировская область;1601,5;1524,4;1452,4;1334,5;1279,4;1207,9;1096,2;1010,1;981,8;909,0;850,7;845,7;826,8;842,6;846,4;859,1;851,4;853,1;836,0
Нижегородская область ;1476,1;1395,0;1387,7;1268,9;1203,1;1186,8;1196,4;1204,3;1231,9;1193,2;1160,3;1179,1;1172,1;1171,5;1131,2;1113,9;1126,2;1133,3;1101,9
