Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;
"15. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО
";;;;;;;;;;;;;;;
РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;;;
"14.43.ОСНОВНЫЕ ПОКАЗАТЕЛИ ПО ВИДУ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ ""РЫБОВОДСТВО""1) ";;;;;;;;;;;;;;;
14.43.1. Число предприятий и организаций2);;;;;;;;;;;;;;;
 (на конец года);;;;;;;;;;;;;;;
;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
Российская Федерация;2172;2008;2041;2102;2152;2171;2176;2190;2197;2234;2399;2416;2346;2268;
Центральный федеральный округ;550;480;479;489;492;492;498;504;493;493;531;535;553;514;
Белгородская область;47;54;54;58;57;56;47;40;42;48;46;49;47;53;
Брянская область;16;16;14;16;10;9;9;7;7;8;10;12;11;11;
Владимирская область;21;22;20;18;19;20;18;16;14;12;17;18;18;14;
Воронежская область;37;33;31;30;29;27;26;27;28;31;32;29;33;36;
Ивановская область;7;5;4;3;6;7;7;8;8;7;6;5;5;5; 
Калужская область;18;14;15;17;15;12;11;12;11;12;16;18;22;18;
Костромская область;4;4;4;5;4;5;4;4;3;3;2;4;3;3;
Курская область;31;32;26;26;28;33;32;33;34;36;35;35;38;39;
Липецкая область;17;17;17;16;17;19;21;24;25;23;25;25;22;21;
Московская область;80;82;89;92;102;94;103;106;107;101;112;111;120;108;
Орловская область;12;14;16;16;16;16;15;15;14;15;15;13;10;10;
Рязанская область;20;17;18;20;20;19;21;24;22;24;21;18;18;13;
Смоленская область;16;13;13;15;16;18;19;18;22;22;22;24;29;28;
Тамбовская область;8;9;12;16;15;15;16;16;14;13;13;16;16;13;
Тверская область;28;31;28;27;26;25;21;22;22;20;25;26;26;26;
Тульская область;23;23;23;23;24;25;25;26;25;23;24;22;20;14;
Ярославская область;7;7;6;7;8;8;10;11;10;8;6;5;8;9;
г. Москва;158;87;89;84;80;84;93;95;85;87;104;105;107;93;
Северо-Западный федеральный округ;256;238;291;317;336;325;323;320;316;309;327;329;317;309;
Республика Карелия;64;67;86;83;84;92;94;90;92;93;96;95;95;90;
Республика Коми;16;14;17;20;21;9;11;9;9;13;11;10;9;9;
Архангельская область;11;9;10;10;11;10;10;9;7;8;8;17;6;7;
в том числе: ;;;;;;;;;;;;;;;
Ненецкий автономный округ;-;-;-;-;-;-;-;-;-;-;-;1;-;-;
Архангельская область без автономного округа;11;9;10;10;11;10;10;9;7;8;8;16;6;7;
Вологодская область;4;2;3;3;4;5;6;7;6;5;8;12;13;13;
Калининградская область;17;15;16;15;16;18;16;19;22;21;24;25;25;21;
Ленинградская область;59;56;71;73;75;66;64;63;60;56;61;62;61;67;
Мурманская область;22;25;29;47;53;54;51;48;50;50;49;41;33;31;
Новгородская область;7;6;8;11;12;10;11;12;12;12;11;12;13;11;
Псковская область;11;8;9;10;11;15;20;22;21;20;19;19;20;19;
г. Санкт-Петербург;45;36;42;45;49;46;40;41;37;31;40;36;42;41;
