Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;;;;;;;
РАСТЕНИЕВОДСТВО;;;;;;;;;;;;;;;;;;;
14.5. ПОСЕВНЫЕ ПЛОЩАДИ ЗЕРНОВЫХ И ЗЕРНОБОБОВЫХ КУЛЬТУР 1);;;;;;;;;;;;;;;;;;;
"(в хозяйствах всех категорий; тысяча гектаров)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;45585,4;47176,4;47395,9;42071,8;43597,1;43593,4;43174,1;44266,2;46745,3;47555,1;43203,0;43583,6;44455,1;45847,5;46157,1;46608,7;47099,8;47705,4;46339,4
Центральный     федеральный округ;7086,2;7272,7;7404,6;6454,9;6751,3;6685,8;6610,2;6798,1;7643,9;7782,9;6856,1;7332,1;7404,7;7798,5;7594,3;8132,7;8232,3;8249,2;7930,2
Белгородская область;623,9;645,8;692,9;645,8;680,2;704,5;671,6;757,9;839,9;821,0;613,8;722,1;747,8;819,6;794,1;790,8;739,7;750,6;738,5
Брянская область;321,8;345,6;337,9;296,4;276,7;275,3;292,0;273,0;290,0;314,0;316,7;290,5;314,7;331,6;320,1;322,5;384,8;392,9;374,4
Владимирская область;136,6;138,2;134,3;114,9;110,6;95,4;101,0;95,8;107,0;84,3;83,7;87,4;84,7;88,1;81,5;89,9;93,2;85,4;78,3
Воронежская область;1096,9;1157,9;1193,9;1101,9;1208,7;1150,4;1141,3;1204,6;1356,3;1389,5;1084,0;1310,4;1383,1;1455,4;1420,1;1448,0;1436,8;1486,7;1464,9
Ивановская область;119,7;134,1;118,4;98,3;83,9;71,5;68,1;66,6;72,7;68,4;67,5;64,9;63,5;64,6;62,2;64,1;66,1;64,3;62,0
Калужская область;130,4;115,9;121,1;85,6;86,7;78,9;79,5;77,4;97,8;93,4;75,4;79,4;79,7;70,1;68,8;84,0;82,4;91,8;77,1
Костромская область;146,4;134,3;124,1;102,5;102,0;78,0;77,2;72,8;74,9;63,4;51,9;47,9;45,2;42,9;41,1;38,9;39,3;36,0;31,5
Курская область;802,2;820,6;844,3;702,6;755,1;796,5;788,9;840,2;979,4;1002,1;895,2;960,3;950,9;1009,3;982,4;1066,0;1056,9;1023,4;969,1
Липецкая область;579,0;629,7;609,9;561,4;586,6;630,7;679,9;722,0;797,6;809,3;760,1;791,0;756,6;781,6;762,2;806,9;820,7;781,6;754,1
"Московская область 2);3)";170,2;157,5;161,8;121,0;124,4;111,3;95,0;85,8;94,8;84,3;85,4;94,4;94,6;98,4;103,3;133,6;144,8;148,2;137,1
Орловская область;752,4;791,2;790,9;641,6;711,8;717,8;640,2;629,2;746,5;795,5;781,0;763,5;773,1;804,0;789,5;892,6;941,1;886,0;879,6
Рязанская область;502,8;465,1;470,1;407,4;425,2;448,5;436,1;458,2;504,4;523,9;501,4;515,1;513,3;529,0;476,4;545,4;575,7;596,6;576,6
Смоленская область;203,5;166,1;152,2;136,4;121,3;104,3;96,0;78,7;97,2;101,2;87,3;111,7;125,1;117,2;109,0;108,0;117,1;115,9;120,2
Тамбовская область;701,5;777,3;850,7;754,2;799,7;786,8;846,5;860,6;943,9;965,7;817,8;878,2;892,8;993,2;993,3;1094,1;1034,9;1078,0;1009,3
Тверская область;205,3;200,0;196,4;149,1;140,2;118,0;110,6;98,6;97,3;87,4;74,0;68,0;66,6;66,4;66,6;70,6;75,9;70,4;65,7
Тульская область;477,9;475,1;489,2;434,1;451,5;453,5;427,6;423,3;482,4;524,1;513,2;497,8;464,7;478,7;474,7;527,7;570,5;590,8;546,4
Ярославская область;115,7;118,4;116,7;101,8;86,9;64,6;58,9;53,4;61,9;55,6;47,8;49,5;46,6;45,7;47,0;46,2;49,1;48,3;44,7
г. Москва 3);…;…;…;…;…;…;…;…;…;…;…;…;1,9;2,8;2,0;3,4;3,3;2,4;0,6
Северо-Западный      федеральный округ;449,4;435,2;380,2;328,5;332,4;300,3;283,1;258,1;283,3;278,1;261,0;269,8;267,6;276,8;313,6;353,9;367,0;337,0;285,7
Республика Карелия;1,8;1,6;1,2;0,9;0,8;0,6;0,6;0,6;0,3;0,2;0,1;0,1;0,1;0,1;0,1;…4);-;-;…4)
Республика Коми;0,5;1,0;0,3;0,1;0,4;0,5;0,6;0,5;0,5;0,0;0,0;0,0;0,0;0,0;0,0;…4);0,0;0,0;…4)
Архангельская область;16,1;12,5;8,9;4,9;3,6;2,9;2,7;3,2;1,8;1,8;2,2;3,2;2,7;2,4;3,0;2,8;3,2;1,3;1,1
    в том числе:;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Архангельская область без автономного округа;16,1;12,5;8,9;4,9;3,6;2,9;2,7;3,2;1,8;1,8;2,2;3,2;2,7;2,4;3,0;2,8;3,2;1,3;1,1
Вологодская область;169,7;169,7;161,3;140,1;138,2;130,0;133,9;125,4;147,3;132,1;133,7;131,8;119,3;109,0;105,8;116,7;116,4;111,3;103,8
Калининградская область;112,0;120,4;92,1;101,5;112,4;104,0;87,9;72,5;65,9;73,0;64,0;63,5;73,4;89,9;112,7;132,6;133,8;125,5;104,2
Ленинградская область 5);27,7;28,1;27,5;21,8;25,1;23,1;26,2;29,1;34,0;36,5;31,6;37,1;34,9;35,3;38,6;41,8;46,7;41,8;38,5
Мурманская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Новгородская область;27,5;19,7;17,7;11,8;9,9;7,6;6,9;6,7;9,3;11,3;11,7;13,0;12,5;12,8;14,5;16,7;21,2;12,5;9,9
Псковская область;94,2;82,4;71,1;47,4;42,1;31,7;24,4;20,0;24,1;23,3;17,7;21,0;24,7;27,2;39,0;43,3;45,7;44,7;28,2
г. Санкт-Петербург;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;…
Южный                            федеральный округ;6073,7;6883,0;7110,6;5938,2;7002,5;6792,2;6893,3;7404,6;7624,7;7601,2;6959,5;7094,2;7452,7;7842,4;8371,6;8527,9;8508,8;8871,9;9081,8
Республика Адыгея;101,4;115,6;114,3;77,7;109,6;88,2;85,8;102,7;118,6;122,5;114,2;110,2;109,9;130,4;134,6;143,4;151,5;143,3;147,2
Республика Калмыкия;186,5;232,3;260,3;208,1;221,6;201,7;204,3;242,8;225,5;277,8;218,2;198,1;182,8;221,0;193,9;217,6;206,7;242,3;248,8
Республика Крым;;;;;;;;;;;;;;;448,9;468,3;447,1;481,6;529,4
Краснодарский край;1962,7;2098,8;2039,1;1758,5;1981,4;1943,0;1998,7;2115,0;2239,8;2193,0;2152,9;2173,5;2161,3;2384,3;2404,7;2444,3;2470,3;2455,9;2424,7
Астраханская область;46,1;47,2;39,3;31,1;28,5;28,4;28,6;24,9;23,5;24,5;23,0;21,3;17,7;13,4;13,1;11,8;10,1;11,9;15,7
Волгоградская область;1544,1;1768,5;1931,9;1480,1;1999,2;2008,6;2021,6;2129,7;2149,1;2052,7;1619,9;1631,0;1963,4;1899,5;1951,0;1922,2;1925,5;2156,0;2215,9
Ростовская область;2232,9;2620,5;2725,6;2382,7;2662,2;2522,4;2554,2;2789,6;2868,1;2930,8;2831,3;2960,1;3017,6;3193,8;3225,0;3319,8;3297,2;3380,2;3499,5
г. Севастополь;;;;;;;;;;;;;;;0,4;0,6;0,6;0,7;0,6
Северо-Кавказский      федеральный округ;2284,0;2457,9;2640,4;2493,4;2583,4;2584,7;2549,1;2742,8;2910,6;2929,1;2732,9;2789,1;2755,3;2985,9;3032,3;3094,5;3202,0;3218,9;3282,3
Республика Дагестан;174,6;169,8;201,1;167,5;168,0;157,7;129,3;97,0;115,7;106,4;104,6;111,9;85,8;118,9;130,5;134,2;140,6;148,7;143,2
Республика Ингушетия ;36,4;51,2;52,0;49,1;43,2;35,6;31,9;33,5;37,9;39,4;39,1;45,7;38,7;44,1;46,8;48,0;44,9;44,0;43,5
Кабардино-Балкарская Республика;169,9;195,4;204,7;175,7;175,2;180,7;153,5;180,9;196,1;191,0;175,4;182,4;194,6;207,7;207,2;207,8;207,7;210,7;209,1
Карачаево-Черкесская Республика;70,1;77,7;75,6;51,3;58,5;57,6;51,9;66,8;65,5;78,5;59,0;76,1;75,2;81,6;84,6;93,7;101,9;96,3;106,8
Республика Северная Осетия – Алания;86,9;101,5;108,6;87,6;95,4;85,5;78,6;100,3;121,9;119,8;107,6;120,2;121,5;130,0;126,7;132,6;127,9;133,1;138,0
Чеченская Республика ;…;…;…;133,7;108,1;104,7;97,9;95,8;118,3;126,1;100,9;101,3;98,3;110,5;137,0;116,2;147,6;166,2;171,8
Ставропольский край;1746,1;1862,4;1998,4;1828,5;1935,0;1963,0;2006,1;2168,6;2255,2;2267,9;2146,4;2151,5;2141,3;2293,0;2299,5;2362,0;2431,3;2419,8;2469,8
Приволжский      федеральный округ;15448,5;15553,7;15387,3;13482,3;13557,0;13471,7;13359,5;13297,6;14006,6;14293,0;12949,0;12163,1;12706,9;13162,8;12922,0;12927,2;13011,8;13096,4;13039,0
Республика Башкортостан;1985,0;1962,6;1650,8;1500,1;1439,7;1585,3;1604,6;1651,7;1719,8;1892,6;1760,7;1589,9;1695,4;1740,5;1750,9;1757,1;1810,7;1785,7;1750,0
Республика Марий Эл;224,7;223,2;232,5;197,3;184,6;188,7;193,9;171,1;176,4;158,8;140,9;156,2;145,1;144,8;143,7;134,7;135,5;139,9;122,5
Республика Мордовия;457,2;421,0;445,2;429,5;411,9;398,8;429,1;417,1;426,8;442,8;430,6;444,5;426,3;446,6;432,5;447,5;442,9;448,4;436,6
Республика Татарстан;1543,9;1637,3;1600,1;1465,1;1531,5;1559,6;1550,7;1640,1;1702,9;1656,4;1512,4;1652,9;1554,9;1613,4;1572,3;1595,1;1591,7;1534,0;1484,0
Удмуртская Республика;538,2;541,3;520,8;494,8;473,6;467,7;468,5;417,2;427,2;406,5;415,7;375,2;352,5;426,0;358,1;369,1;362,2;353,9;346,0
Чувашская Республика;295,8;279,1;293,6;243,3;217,9;216,2;228,7;200,8;239,3;251,0;254,9;256,0;229,8;258,6;267,0;284,9;290,6;287,7;278,1
Пермский край;581,7;578,3;544,3;462,3;446,7;427,1;375,8;350,9;344,2;306,0;285,4;282,1;254,3;268,3;244,0;248,5;247,5;250,4;236,9
