Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;;;;;;;
РАСТЕНИЕВОДСТВО;;;;;;;;;;;;;;;;;;;
14.7. ПОСЕВНЫЕ ПЛОЩАДИ ПОДСОЛНЕЧНИКА1);;;;;;;;;;;;;;;;;;;
"(в хозяйствах всех категорий; тысяча гектаров)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;4642,9;3827,1;4126,4;5359,3;4862,4;5567,8;6154,7;5325,9;6200,9;6199,1;7158,5;7620,6;6536,5;7278,3;6911,3;7013,0;7606,8;7994,0;8160,1
Центральный федеральный округ;797,1;661,7;717,6;892,2;772,2;826,2;835,9;717,5;881,6;1021,1;1322,4;1305,9;1307,9;1393,4;1348,3;1322,6;1304,5;1430,4;1422,8
Белгородская область;120,0;97,2;109,2;126,4;132,8;122,3;118,5;91,8;120,5;151,5;189,6;186,0;184,7;151,6;140,5;131,5;143,7;138,6;145,2
Брянская область;0,1;0,0;-;-;-;-;-;0,0;0,0;-;6,1;2,6;1,8;2,6;1,7;1,3;2,2;3,5;4,1
Владимирская область ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Воронежская область;345,0;322,9;345,9;426,9;397,4;431,9;448,4;391,5;459,7;503,3;581,2;482,6;470,2;463,1;451,4;438,8;410,7;436,2;431,2
Ивановская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Калужская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,3;0,8;0,3;-
Костромская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Курская область;37,5;16,8;20,0;36,4;19,5;13,2;9,7;6,9;18,4;32,3;75,7;114,4;128,0;135,8;130,8;122,0;138,7;149,4;150,2
Липецкая область;43,2;29,0;26,1;37,7;25,3;31,6;29,9;20,4;29,3;45,0;96,8;101,3;113,1;161,2;161,6;172,2;164,6;185,7;185,8
Московская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,0;-
Орловская область;18,1;8,5;3,7;7,7;4,0;0,1;0,1;-;0,1;1,6;9,9;28,2;31,7;41,2;40,1;33,4;56,6;74,8;66,1
Рязанская область;5,4;2,3;1,6;2,2;0,5;1,3;1,3;0,4;0,8;3,7;6,3;16,9;27,9;32,5;24,7;23,4;34,1;48,2;42,8
Смоленская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,0;-;0,4
Тамбовская область;221,1;182,7;209,0;250,7;191,2;223,7;225,3;206,0;252,3;282,2;354,3;366,4;339,6;393,1;386,1;387,3;338,6;381,0;383,1
Тверская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,0;-;-
Тульская область;6,7;2,3;2,2;4,2;1,5;2,2;2,8;0,5;0,5;1,6;2,6;7,7;10,8;12,4;11,4;11,8;14,5;12,6;13,9
Ярославская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,4;0,0;-;-
г. Москва ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Северо-Западный федеральный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,0;-;-
