Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;;;
15. СТРОИТЕЛЬСТВО;;;;;;;;;;;;;;;;;;;;;;;;
СТРОИТЕЛЬНАЯ ДЕЯТЕЛЬНОСТЬ;;;;;;;;;;;;;;;;;;;;;;;;
15.1. ЧИСЛО ДЕЙСТВУЮЩИХ СТРОИТЕЛЬНЫХ ОРГАНИЗАЦИЙ ;;;;;;;;;;;;;;;;;;;;;;;;
(на конец года);;;;;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;;
Российская Федерация;129340;118374;113082;113720;114705;112846;122598;131394;155036;175817;196234;209185;205075;217961;226838;232154;271604;279496;278059;;;;;
Центральный федеральный округ;43126;39909;37014;38511;36689;38594;41796;45079;48920;57954;71209;72307;57724;59547;59534;60657;78430;83101;77451;;;;;
Белгородская область;864;860;1234;1307;1341;1479;1797;1898;2608;2754;3231;2805;3496;3879;3664;2971;3451;3273;3251;;;;;
Брянская область;620;581;530;490;416;432;443;504;510;540;505;752;1282;1431;1533;1480;1560;1584;1548;;;;;
Владимирская область;1373;1330;1408;1088;1031;976;821;927;1078;2013;2043;2401;2018;2172;2147;1410;2635;2334;2209;;;;;
Воронежская область;1985;1860;1972;1715;1865;1752;1800;2117;1874;2265;2273;2415;2344;2520;2745;2273;3488;4270;4446;;;;;
Ивановская область;1064;1181;1479;1217;1295;1155;985;1763;2005;2342;2292;1445;1358;1299;1624;1293;1251;2372;2397;;;;;
Калужская область;805;816;818;856;882;879;827;784;1278;1529;1524;1433;1658;1789;1925;1867;2065;2101;2040;;;;;
Костромская область;763;798;768;803;811;957;1142;1315;712;1064;1091;1113;1225;1280;1081;875;832;1388;1334;;;;;
Курская область;457;420;532;612;696;644;602;724;1134;1283;1152;1122;1304;1385;1366;1441;1586;1407;1539;;;;;
Липецкая область;620;620;631;622;593;572;566;574;585;594;613;967;960;1020;1083;1075;1154;1225;1669;;;;;
Московская область;8174;5815;5643;5839;6158;6367;8765;8686;6665;8546;8055;8645;8230;8367;8776;10829;20930;24070;19824;;;;;
Орловская область;344;460;336;354;325;450;475;403;562;880;757;748;972;910;990;676;820;921;1170;;;;;
Рязанская область;1101;1085;1220;1052;953;768;921;1011;1056;1524;2671;1596;1919;2073;2186;3003;2807;2692;2528;;;;;
Смоленская область;812;405;405;506;477;510;483;503;812;784;787;921;911;899;774;906;1232;1212;1253;;;;;
Тамбовская область;433;427;410;363;468;535;541;571;770;799;978;990;1073;1106;1133;1267;1398;1476;1355;;;;;
Тверская область;946;939;1147;1024;787;858;878;903;1167;1382;1490;1562;2206;2100;2088;2140;2676;2600;2518;;;;;
Тульская область;1267;1277;1152;1214;1078;1185;1215;1448;1727;1848;1819;1839;1912;2004;1838;1586;1876;2313;2457;;;;;
Ярославская область;1441;1377;1393;1418;1587;1479;1584;1500;2248;3651;3734;3580;3654;3710;3072;2034;2109;2051;2023;;;;;
г. Москва;20057;19658;15936;18031;15926;17596;17951;19448;22129;24156;36194;37973;21202;21603;21509;23531;26560;25812;23890;;;;;
Северо-Западный федеральный округ;18449;11562;12085;10418;10435;9864;11264;12491;15291;15271;15264;19560;18634;22084;25181;26889;25505;31271;32891;;;;;
