Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
15. СТРОИТЕЛЬСТВО;;;;;;;;;;;;;;;;;;;
ЖИЛИЩНОЕ И СОЦИАЛЬНО-КУЛЬТУРНОЕ СТРОИТЕЛЬСТВО;;;;;;;;;;;;;;;;;;;
15.10. ВВОД В ДЕЙСТВИЕ МОЩНОСТЕЙ БОЛЬНИЧНЫХ ОРГАНИЗАЦИЙ;;;;;;;;;;;;;;;;;;;
15.10.1. Всего;;;;;;;;;;;;;;;;;;;
(коек);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;9534;7551;7017;7835;8069;7025;8989;7920;8110;6334;8747;9536;9523;8647;2699;4271;6084;3869;2885
Центральный федеральный округ;1329;2145;1654;1378;2017;2260;2975;1498;1477;884;1346;2359;2877;2665;492;939;1070;2012;725
Белгородская область;310;35;150;210;266;443;209;118;6;-;110;274;-;120;53;140;-;12;12
Брянская область;140;56;-;-;50;210;150;-;60;206;-;88;60;66;98;-;-;130;-
Владимирская область;40;78;120;65;240;36;33;148;-;-;-;9;100;-;-;-;-;-;-
Воронежская область;50;45;122;36;-;25;333;-;135;30;66;549;356;346;-;-;-;40;-
Ивановская область;-;-;-;28;140;-;-;81;-;-;-;-;-;103;-;-;-;-;-
Калужская область;-;-;-;15;110;-;41;212;-;-;-;-;-;-;125;-;171;-;-
Костромская область;-;20;-;-;30;-;-;112;-;-;-;85;-;-;-;-;-;-;-
Курская область;40;269;35;28;51;157;-;30;90;-;130;-;142;-;5;6;120;-;-
Липецкая область;30;118;170;120;58;75;140;-;175;4;-;-;-;-;65;25;170;-;-
Московская область;20;160;448;354;275;174;305;173;230;340;-;130;320;605;25;120;100;826;99
Орловская область;40;60;-;-;-;82;-;-;-;-;-;56;336;-;-;-;96;30;-
Рязанская область;-;120;40;60;110;150;117;-;120;30;500;214;105;77;-;-;253;-;-
Смоленская область;100;120;-;-;-;-;106;120;92;-;-;-;165;-;-;145;-;-;130
Тамбовская область;80;-;6;112;16;54;264;154;178;75;138;181;205;-;-;-;-;324;-
Тверская область;103;112;25;120;-;38;-;50;31;23;214;121;-;-;-;62;-;-;24
Тульская область;246;102;-;20;123;-;55;60;-;-;30;-;-;-;-;-;-;-;-
Ярославская область;130;42;178;-;8;198;-;-;-;-;-;180;125;28;30;-;-;-;-
г. Москва;-;808;360;210;540;618;1222;240;360;176;158;472;963;1320;91;441;160;650;460
Северо-Западный  федеральный округ;180;581;520;534;503;507;445;317;1014;1161;898;970;436;405;53;675;866;-;515
Республика Карелия;-;65;12;20;-;100;170;-;-;81;-;-;47;-;-;-;200;-;130
Республика Коми;-;105;50;-;52;25;-;-;50;10;-;-;-;-;-;-;-;-;-
Архангельская область;70;4;30;10;77;268;79;-;50;140;-;480;-;360;53;-;-;-;130
в том числе:;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;-;-;30;10;52;-;-;-;50;10;-;-;-;-;10;-;-;-;-
Архангельская область    без автономного округа;70;4;-;-;25;268;79;-;-;130;-;480;-;360;43 ;-;-;-;130
Вологодская область;50;227;112;50;45;-;10;35;134;-;-;-;-;10;-;-;-;-;15
Калининградская область;60;-;-;57;52;54;-;-;600;150;-;100;150;-;-;-;-;-;-
Ленинградская область;-;130;179;-;-;-;-;165;-;120;-;-;110;-;-;-;-;-;130
Мурманская область;-;50;137;30;60;40;42;22;-;40;55;-;30;-;-;-;-;-;-
Новгородская область;-;-;-;-;-;20;-;26;-;70;100;-;99;-;-;75;-;-;-
Псковская область;-;-;-;287;129;-;144;48;30;-;-;10;-;35;-;-;92;-;110
г. Санкт-Петербург;-;-;-;80;88;-;-;21;150;550;743;380;-;-;-;600;574;-;-
Южный         федеральный округ;456;916;436;897;476;276;656;390;170;592;1202;678;134;440;78;68;170;10;367
Республика Адыгея;-;300;-;-;-;-;-;50;-;150;150;100;-;-;-;-;40;-;63
Республика Калмыкия;-;35;-;-;30;10;-;30;-;-;-;60;90;40;30;-;-;-;-
Республика  Крым;;;;;;;;;;;;;;;-;-;-;-;-
Краснодарский край;-;-;215;15;130;-;143;130;24;30;185;458;44;340;-;48;-;-;154
Астраханская область;24;150;-;-;-;60;222;140;96;167;337;-;-;-;-;-;-;-;-
Волгоградская область;232;250;-;33;55;-;240;-;25;65;400;-;-;49;-;-;-;3;150
Ростовская область;200;181;221;849;261;206;51;40;25;180;130;60;-;11;48;-;130;7;-
г. Севастополь;;;;;;;;;;;;;;;-;20;-;-;-
Северо-Кавказский  федеральный округ;663;302;414;289;375;136;392;330;575;415;325;2796;913;1018;255;644;1108;723;276
Республика Дагестан;93;62;32;245;11;136;81;330;205;390;-;150;18;95;205;83;248;150;-
Республика Ингушетия;100;-;-;-;-;-;41;-;-;-;-;50;-;-;50;-;360;-;-
Кабардино-Балкарская Республика;220;-;262;44;216;-;-;-;260;-;-;-;-;-;-;25;120;130;-
Карачаево-Черкесская Республика;50;-;-;-;-;-;-;-;-;-;25;-;-;-;-;80;-;210;-
Республика Северная Осетия – Алания;135;150;120;-;58;-;-;-;-;-;300;-;39;-;-;-;-;100;276
Чеченская Республика;-;-;-;-;-;-;-;-;-;-;-;2596;645;880;-;436;250;-;-
