Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
15. СТРОИТЕЛЬСТВО;;;;;;;;;;;;;;;;;;;
СТРОИТЕЛЬНАЯ ДЕЯТЕЛЬНОСТЬ;;;;;;;;;;;;;;;;;;;
15.2. ОБЪЕМ РАБОТ, ВЫПОЛНЕННЫХ ПО ВИДУ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ «СТРОИТЕЛЬСТВО»1);;;;;;;;;;;;;;;;;;;
"(в фактически действовавших ценах; миллионов рублей)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;503836,8;703831,3;830995,5;1042720,8;1313550,5;1754406,2;2350840,4;3293323,4;4528144,7;3998342,0;4454156,1;5140309,9;5714109,3;6019464,7;6125191,2;7010355,7;7213464,2;7573046,8;8385742,4
Центральный федеральный округ;144969,2;191698,0;224018,2;299631,4;391465,4;517238,7;706807,5;942811,1;1214848,3;1068106,7;1159676,1;1270451,8;1417953,4;1492522,7;1593876,3;1780675,5;1842119,0;1984091,3;2064936,3
Белгородская область;4572,6;4581,7;5356,0;7383,4;11636,6;14760,7;18543,5;32723,9;43588,6;29832,4;41302,7;70808,0;80017,7;71282,4;63342,7;76726,1;70984,8;88591,8;92754,5
Брянская область;2191,1;2263,4;2496,5;2707,4;3778,8;4122,9;4963,5;8145,5;11862,0;11499,0;13900,9;16941,9;18018,5;22496,7;23973,6;24983,8;27764,4;28564,6;22471,9
Владимирская область;2736,4;3141,4;3317,3;3226,8;4373,7;6446,5;8876,5;16250,7;20594,4;20069,0;21308,9;23311,6;27075,8;30211,5;32305,5;30576,2;34277,7;37927,0;40531,2
Воронежская область;3627,7;4893,8;6552,8;8210,5;9494,5;11125,2;14915,6;23289,2;32482,4;31139,4;40755,1;49766,9;61988,0;68720,0;74643,2;107591,4;100403,6;107531,1;117407,4
Ивановская область;1282,1;1371,9;1638,1;2245,5;3164,4;3620,0;6900,4;10403,7;12064,7;15007,8;12800,8;16221,5;16234,7;18578,8;20923,0;21859,1;20848,7;27843,5;25464,8
Калужская область;2556,5;3231,4;3745,2;4375,5;5917,9;7622,6;10933,6;15433,7;24283,7;23378,8;26812,4;33775,3;42733,8;42436,3;44969,3;59763,0;53878,9;66936,2;58467,0
Костромская область;1758,5;1730,4;2446,8;2901,3;2885,2;3916,0;5327,9;7991,2;9680,4;8416,9;8960,5;8045,9;8485,2;8307,4;8663,1;13498,7;10949,7;9020,1;11068,1
Курская область;2202,3;3325,4;3298,8;4372,5;6041,2;7125,6;10257,2;14665,9;20444,9;19970,0;23305,9;29581,8;33648,1;36918,3;42060,5;43495,9;44911,5;50200,5;51991,7
