Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
15. СТРОИТЕЛЬСТВО;;;;;;;;;;;;;;;;;;;
ЖИЛИЩНОЕ И СОЦИАЛЬНО-КУЛЬТУРНОЕ СТРОИТЕЛЬСТВО;;;;;;;;;;;;;;;;;;;
15.4. ВВОД В ДЕЙСТВИЕ ЖИЛЫХ ДОМОВ;;;;;;;;;;;;;;;;;;;
15.4.1.  Всего ;;;;;;;;;;;;;;;;;;;
(тысяч квадратных метров общей площади жилых помещений);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация ;30296;31703;33832;36449;41040;43560;50552;61221;64058;59892;58431;62265;65742;70485;84191;85350;80240;79224;75658
Центральный федеральный округ;10180;10611;11930;13297;15297;15257;17345;19894;19134;18893;17461;18064;18179;20255;24547;25550;23982;24285;23435
Белгородская область;704;595;663;671;807;831;939;1064;1112;1097;1100;1148;1215;1295;1469;1555;1350;1301;1216
Брянская область;225;237;242;222;229;198;246;299;322;353;391;421;453;527;551;644;665;558;403
Владимирская область;281;246;253;279;324;327;341;376;419;451;481;438;508;519;606;647;656;695;653
Воронежская область;569;585;653;750;703;784;854;974;1121;888;1050;996;1110;1349;1573;1627;1679;1687;1691
Ивановская область;106;92;99;120;90;106;179;142;171;187;191;217;222;232;253;260;177;340;369
Калужская область;178;194;198;217;215;263;265;458;632;457;501;598;613;657;808;796;737;882;787
Костромская область;157;185;112;105;82;117;109;140;149;180;151;156;205;228;328;322;309;310;197
Курская область;176;193;192;276;286;298;327;376;447;456;381;394;426;496;561;567;587;591;595
Липецкая область;321;386;304;348;421;508;621;705;722;732;737;762;807;858;1009;1061;1078;1084;903
Московская область;2611;2828;3415;4115;5720;5297;6484;7805;7881;8452;7939;8244;6620;7407;9945;9623;8914;9078;8867
Орловская область;245;246;233;239;242;248;253;310;326;302;249;334;359;379;469;479;360;268;290
Рязанская область;255;184;222;264;271;301;377;457;503;510;466;478;512;553;603;667;708;713;778
Смоленская область;170;180;196;260;264;270;297;300;345;346;348;371;261;411;449;514;630;484;360
Тамбовская область;241;221;248;259;311;350;421;502;560;559;569;603;636;704;771;826;833;839;859
Тверская область;218;259;259;293;321;291;354;419;347;450;452;422;410;505;538;556;496;585;425
Тульская область;251;128;192;223;216;199;251;322;417;395;395;263;310;503;580;771;623;697;735
Ярославская область;131;163;175;215;218;224;247;420;397;376;292;411;461;487;694;717;797;754;768
г. Москва;3342;3691;4274;4443;4579;4649;4780;4825;3264;2704;1768;1808;3050;3146;3342;3920;3385;3419;3541
Северо-Западный федеральный округ;2451;2436;2610;3255;3715;3981;4665;5659;6563;5720;5555;5809;5835;6380;8370;9042;8863;8967;9473
Республика Карелия;63;78;69;84;95;88;110;131;147;165;143;178;195;219;241;271;293;222;271
Республика Коми;263;116;149;160;141;159;177;197;184;120;80;116;88;144;156;210;240;223;290
Архангельская область;78;100;107;94;105;118;193;260;347;244;288;283;303;327;356;394;366;423;323
в том числе:;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;12;12;5;10;8;33;35;37;64;43;42;30;34;35;35;36;24;28;19
Архангельская область без автономного округа;66;88;102;85;97;85;158;223;283;201;246;253;269;292;321;358;343;395;304
Вологодская область;205;239;239;247;300;293;334;489;545;490;410;434;389;576;774;864;774;542;536
Калининградская область;172;176;198;232;245;266;502;753;801;608;525;545;582;639;1116;1207;1209;902;916
Ленинградская область;392;415;433;444;511;533;671;844;908;1031;1044;1076;1149;1360;1788;2323;2172;2626;2641
Мурманская область;28;8;5;13;7;8;14;13;9;22;28;23;24;25;25;33;59;59;46
Новгородская область;89;94;98;109;148;143;163;205;259;246;233;271;313;323;354;359;362;232;264
Псковская область;82;92;100;114;132;100;126;131;151;192;150;178;215;185;298;351;272;202;236
г. Санкт-Петербург;1081;1118;1214;1758;2032;2273;2376;2637;3212;2603;2657;2706;2577;2584;3262;3031;3116;3536;3950
Южный        федеральный округ;3337;3451;3782;3687;4159;4409;5505;7044;7289;6614;6803;6931;7934;7706;10098;9320;8962;9622;9067
Республика Адыгея;68;73;118;58;40;72;42;69;81;126;135;122;98;107;271;297;235;244;187
Республика Калмыкия;37;77;64;50;52;49;63;78;59;72;87;104;85;111;125;126;71;96;90
Республика Крым;;;;;;;;;;;;;;;634;253;286;834;775
Краснодарский край;1392;1440;1645;1580;1810;1940;2705;3704;3938;3412;3606;3692;4371;3949;4759;4644;4502;4728;4415
Астраханская область;485;496;521;582;631;648;669;725;382;476;500;504;511;595;624;575;603;484;328
Волгоградская область;401;407;450;412;509;515;638;762;820;723;667;629;885;810;1115;912;754;728;610
Ростовская область;956;956;984;1005;1119;1186;1388;1706;2008;1805;1809;1880;1984;2134;2325;2409;2293;2334;2347
г. Севастополь;;;;;;;;;;;;;;;245;105;219;174;314
Северо-Кавказский     федеральный округ;1493;1611;1501;1592;1665;1804;2083;2528;2629;2800;3031;3193;3749;4142;5012;4997;5031;5082;3557
Республика Дагестан;433;568;485;520;578;628;715;800;907;1066;1124;1212;1436;1536;1648;1810;1862;2000;976
Республика Ингушетия;15;25;14;20;18;24;24;231;62;37;158;82;89;251;260;262;272;309;236
Кабардино-Балкарская Республика;193;206;210;214;221;229;229;237;247;256;264;273;282;291;328;375;412;427;436
Карачаево-Черкесская Республика;50;75;66;69;63;62;81;93;96;90;70;82;88;113;174;184;165;202;175
Республика Северная Осетия – Алания;135;164;134;136;136;119;158;176;197;198;198;200;206;210;171;174;178;192;210
Чеченская Республика;-;-;-;-;-;41;80;45;55;75;115;76;316;366;1140;943;1042;1069;600
Ставропольский край;668;573;591;633;648;701;796;946;1065;1079;1101;1267;1333;1375;1292;1248;1101;882;925
Приволжский федеральный округ;6934;7462;7473;7604;8265;9142;10017;12289;13564;12726;12440;13602;14182;15260;16856;16889;16162;15641;15223
Республика Башкортостан;1255;1401;1407;1468;1509;1608;1705;1857;2352;2353;2007;2109;2324;2485;2652;2691;2698;2461;2290
Республика Марий Эл;120;131;140;147;162;182;229;284;299;300;304;315;351;370;416;440;466;470;337
Республика Мордовия;182;184;145;154;156;181;213;243;284;277;289;298;266;305;321;325;329;330;334
Республика Татарстан;1503;1548;1543;1562;1768;1642;1778;2041;2223;2010;2027;2396;2400;2400;2405;2406;2407;2408;2410
Удмуртская Республика;257;277;354;315;361;372;424;483;486;465;482;505;516;533;633;649;650;659;717
Чувашская Республика;502;508;515;543;625;733;855;1005;978;852;875;886;819;837;862;833;630;605;598
